sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;VAKBN;GÜÇLÜ AL;98;düşük (16);5,3;6/6;pozitif;notr;pozitif;45,47;2
2;INDES;GÜÇLÜ AL;98;düşük (8);2,5;5/6;notr;notr;pozitif;15,00;0
3;POLHO;GÜÇLÜ AL;97;düşük (10);1,3;6/6;notr;negatif;yok;;0
4;ENERY;GÜÇLÜ AL;97;orta (36);6,3;5/6;pozitif;notr;yok;;0
5;ALARK;GÜÇLÜ AL;96;düşük (10);3,1;6/6;pozitif;notr;pozitif;154,34;2
6;KCHOL;GÜÇLÜ AL;96;orta (38);3,9;6/6;pozitif;pozitif;pozitif;321,79;3
7;KLSYN;GÜÇLÜ AL;96;düşük (10);0,7;5/6;negatif;negatif;yok;;0
8;TRCAS;GÜÇLÜ AL;95;düşük (16);0,5;6/6;pozitif;negatif;yok;;0
9;SKYMD;GÜÇLÜ AL;95;düşük (10);8,2;5/6;negatif;negatif;yok;;1
10;MRGYO;GÜÇLÜ AL;94;orta (36);0,0;6/6;pozitif;notr;yok;;0
11;BIMAS;GÜÇLÜ AL;94;düşük (10);0,2;6/6;notr;pozitif;pozitif;503,80;3
12;ISDMR;GÜÇLÜ AL;94;düşük (10);7,5;6/6;pozitif;notr;notr;68,20;0
13;HALKB;GÜÇLÜ AL;94;düşük (20);8,3;5/6;notr;notr;notr;48,18;10
14;GUBRF;GÜÇLÜ AL;94;düşük (20);3,4;6/6;notr;notr;yok;;2
15;ARASE;GÜÇLÜ AL;94;düşük (8);0,7;6/6;pozitif;notr;notr;214,70;0
16;KRGYO;GÜÇLÜ AL;93;orta (24);6,6;6/6;notr;negatif;yok;;0
17;PETKM;GÜÇLÜ AL;93;orta (35);3,0;6/6;negatif;pozitif;notr;19,25;2
18;TARKM;GÜÇLÜ AL;93;düşük (8);8,8;4/6;yok;negatif;yok;;0
19;BORSK;GÜÇLÜ AL;93;düşük (0);7,2;5/6;notr;notr;yok;;2
20;KRDMD;GÜÇLÜ AL;92;düşük (10);2,0;6/6;pozitif;pozitif;notr;50,70;1
21;KARSN;GÜÇLÜ AL;92;orta (35);0,0;6/6;notr;notr;notr;18,53;0
22;EKGYO;GÜÇLÜ AL;92;orta (28);0,0;6/6;negatif;notr;pozitif;33,43;2
23;MARTI;GÜÇLÜ AL;91;orta (35);2,2;6/6;negatif;notr;yok;;1
24;CELHA;GÜÇLÜ AL;90;düşük (16);5,2;5/6;negatif;notr;yok;;0
25;DEVA;GÜÇLÜ AL;90;orta (28);2,0;6/6;notr;pozitif;yok;;0
26;BAGFS;GÜÇLÜ AL;89;düşük (18);2,2;6/6;pozitif;yok;yok;;0
27;KRPLS;GÜÇLÜ AL;89;orta (28);9,4;6/6;negatif;yok;yok;;0
28;AHGAZ;GÜÇLÜ AL;89;düşük (10);5,0;4/6;pozitif;notr;yok;;0
29;AGHOL;GÜÇLÜ AL;89;düşük (10);1,5;6/6;notr;notr;pozitif;50,40;1
30;DMLKT;GÜÇLÜ AL;89;düşük (20);3,1;4/6;yok;yok;pozitif;33,43;2
31;GENIL;GÜÇLÜ AL;89;orta (38);2,6;5/6;notr;pozitif;yok;;1
32;HURGZ;GÜÇLÜ AL;88;düşük (6);10,1;5/6;negatif;negatif;yok;;0
33;PNSUT;GÜÇLÜ AL;88;düşük (0);5,3;6/6;negatif;notr;yok;;0
34;BAHKM;GÜÇLÜ AL;87;düşük (10);14,3;4/6;negatif;notr;yok;;0
35;KZGYO;GÜÇLÜ AL;87;orta (35);0,0;5/6;notr;negatif;yok;;0
36;RYSAS;GÜÇLÜ AL;86;düşük (0);11,5;4/6;notr;negatif;yok;;0
37;MANAS;GÜÇLÜ AL;85;düşük (0);13,8;5/6;negatif;negatif;yok;;0
38;BVSAN;GÜÇLÜ AL;84;orta (28);1,0;6/6;negatif;negatif;yok;;0
39;TURGG;GÜÇLÜ AL;84;orta (22);9,5;6/6;pozitif;yok;yok;;0
40;EUKYO;GÜÇLÜ AL;83;düşük (0);4,8;4/6;negatif;pozitif;yok;;0
41;AKSGY;GÜÇLÜ AL;83;düşük (16);3,3;3/6;pozitif;notr;pozitif;13,68;0
42;BRSAN;GÜÇLÜ AL;83;düşük (16);6,1;5/6;notr;pozitif;pozitif;803,18;2
43;PETUN;GÜÇLÜ AL;82;düşük (0);5,7;6/6;pozitif;notr;yok;;1
44;NETAS;GÜÇLÜ AL;82;düşük (10);9,2;3/6;yok;yok;yok;;0
45;VBTYZ;GÜÇLÜ AL;82;düşük (10);8,5;2/6;notr;notr;yok;;0
46;OZSUB;GÜÇLÜ AL;82;düşük (16);9,0;3/6;notr;notr;yok;;0
47;AVOD;GÜÇLÜ AL;81;düşük (0);17,4;5/6;negatif;negatif;yok;;0
48;TRMET;GÜÇLÜ AL;81;düşük (0);5,7;4/6;pozitif;notr;notr;168,00;0
49;OZYSR;GÜÇLÜ AL;81;düşük (0);10,0;6/6;negatif;notr;yok;;2
50;TEHOL;GÜÇLÜ AL;80;düşük (10);11,7;5/6;pozitif;notr;yok;;0
51;OFSYM;GÜÇLÜ AL;80;düşük (0);9,8;3/6;notr;notr;notr;69,30;5
52;SISE;GÜÇLÜ AL;80;düşük (12);7,6;6/6;pozitif;notr;pozitif;63,50;2
53;CATES;GÜÇLÜ AL;80;düşük (10);11,8;3/6;pozitif;notr;yok;;0
54;FLAP;GÜÇLÜ AL;80;düşük (0);15,2;6/6;notr;notr;yok;;0
55;TKFEN;GÜÇLÜ AL;80;düşük (0);16,8;3/6;negatif;notr;notr;160,00;0
56;RYGYO;GÜÇLÜ AL;79;düşük (0);14,2;3/6;pozitif;notr;yok;;0
57;ISCTR;GÜÇLÜ AL;79;düşük (12);11,6;5/6;pozitif;negatif;pozitif;21,58;6
58;DZGYO;GÜÇLÜ AL;78;düşük (0);11,7;6/6;pozitif;notr;yok;;0
59;ORGE;GÜÇLÜ AL;78;orta (22);14,6;4/6;pozitif;notr;pozitif;112,00;0
60;SOKM;AL;95;orta (32);1,2;5/6;negatif;notr;pozitif;85,42;2
61;GMTAS;AL;94;düşük (0);3,5;5/6;negatif;notr;yok;;0
62;ASELS;AL;91;düşük (0);2,6;4/6;pozitif;pozitif;pozitif;462,91;6
63;ALTNY;AL;87;düşük (0);8,8;4/6;negatif;yok;yok;;1
64;AKCNS;AL;87;düşük (16);3,2;4/6;pozitif;yok;notr;277,97;0
65;AKFYE;AL;84;düşük (10);9,4;5/6;pozitif;notr;yok;;1
66;YKSLN;AL;84;orta (28);1,1;5/6;negatif;notr;yok;;0
67;ETILR;AL;81;düşük (6);15,0;4/6;negatif;notr;yok;;1
68;KONYA;AL;80;düşük (10);9,1;6/6;pozitif;yok;yok;;0
69;TDGYO;AL;80;düşük (10);7,3;6/6;pozitif;pozitif;yok;;0
70;TRALT;AL;80;düşük (10);6,6;3/6;pozitif;notr;notr;57,09;1
71;AKBNK;AL;79;düşük (8);13,8;3/6;pozitif;notr;pozitif;107,00;3
72;EGGUB;AL;79;düşük (0);5,6;2/6;pozitif;pozitif;yok;;0
73;ISMEN;AL;78;düşük (0);1,9;6/6;negatif;notr;yok;;6
74;SASA;AL;78;orta (22);7,3;5/6;negatif;notr;yok;;0
75;ADGYO;AL;77;düşük (10);11,6;3/6;negatif;negatif;yok;;0
76;GARAN;AL;76;orta (22);8,0;5/6;pozitif;notr;pozitif;179,60;5
77;MEPET;AL;76;düşük (0);23,1;5/6;pozitif;notr;yok;;0
78;MPARK;AL;76;düşük (0);5,6;3/6;notr;notr;pozitif;673,35;1
79;EGEEN;AL;75;orta (22);5,1;5/6;negatif;notr;yok;;0
80;VESTL;AL;75;düşük (0);12,9;5/6;negatif;notr;notr;33,17;3
81;CEMZY;AL;75;düşük (0);24,2;3/6;negatif;negatif;yok;;0
82;DENGE;AL;75;orta (22);9,2;6/6;notr;notr;yok;;0
83;BUCIM;AL;75;düşük (0);3,9;5/6;negatif;yok;yok;;0
84;ETYAT;AL;74;düşük (6);10,6;0/6;negatif;yok;yok;;0
85;TRENJ;AL;74;orta (30);3,6;3/6;pozitif;pozitif;notr;218,70;0
86;AKFIS;AL;73;düşük (16);13,0;1/6;notr;notr;yok;;0
87;BIZIM;AL;73;düşük (10);13,4;6/6;yok;notr;notr;36,00;0
88;TOASO;AL;73;düşük (0);22,4;5/6;notr;pozitif;pozitif;456,98;2
89;METRO;AL;71;düşük (0);11,0;3/6;pozitif;negatif;yok;;0
90;HUNER;AL;70;orta (28);11,0;1/6;negatif;negatif;yok;;1
91;YKBNK;AL;70;orta (30);20,8;4/6;pozitif;notr;pozitif;52,27;3
92;MIATK;AL;70;düşük (14);33,4;6/6;negatif;notr;yok;;0
93;DNISI;AL;70;düşük (10);16,7;4/6;pozitif;pozitif;yok;;0
94;DOHOL;AL;69;düşük (6);6,4;0/6;pozitif;notr;pozitif;32,43;0
95;DOCO;AL;68;orta (22);9,6;0/6;notr;notr;yok;;0
96;KRDMA;AL;68;düşük (16);27,9;3/6;pozitif;pozitif;notr;50,70;1
97;ENKAI;AL;68;düşük (8);5,5;6/6;pozitif;pozitif;pozitif;129,88;0
98;DSTKF;AL;67;düşük (0);60,3;6/6;notr;pozitif;yok;;0
99;MTRKS;AL;66;düşük (6);17,4;3/6;pozitif;notr;yok;;0
100;ATATP;AL;65;orta (22);28,0;2/6;pozitif;pozitif;notr;472,00;1
101;TERA;AL;65;düşük (18);1,8;6/6;notr;pozitif;yok;;3
102;SAYAS;AL;65;düşük (0);18,4;1/6;pozitif;notr;yok;;0
103;RUZYE;AL;64;düşük (6);11,4;6/6;negatif;notr;yok;;0
104;PRZMA;AL;64;orta (22);21,5;4/6;negatif;notr;yok;;0
105;ARTMS;AL;63;düşük (8);14,3;5/6;pozitif;negatif;yok;;0
106;CANTE;AL;63;düşük (0);15,0;5/6;notr;notr;yok;;0
107;BLCYT;AL;63;düşük (0);19,8;6/6;pozitif;notr;yok;;0
108;AVPGY;AL;62;düşük (0);12,6;5/6;pozitif;notr;pozitif;95,17;1
109;EYGYO;AL;62;düşük (10);8,6;3/6;negatif;pozitif;yok;;0
110;TTRAK;AL;62;düşük (18);5,1;5/6;negatif;notr;notr;592,39;0
111;ISBIR;AL;61;düşük (0);6,1;4/6;pozitif;yok;yok;;0
112;BOSSA;AL;61;düşük (6);11,1;5/6;notr;negatif;yok;;0
113;ALBRK;İZLE;99;yüksek (42);2,4;6/6;pozitif;pozitif;pozitif;11,85;4
114;BOBET;İZLE;97;yüksek (60);2,7;6/6;negatif;pozitif;yok;;1
115;TUPRS;İZLE;96;yüksek (50);0,9;5/6;pozitif;pozitif;pozitif;365,74;9
116;AYGAZ;İZLE;95;yüksek (50);4,6;4/6;pozitif;pozitif;pozitif;337,67;0
117;ENJSA;İZLE;93;orta (32);0,4;5/6;pozitif;notr;notr;158,36;0
118;ALKLC;İZLE;93;yüksek (45);0,4;6/6;negatif;notr;yok;;0
119;ANELE;İZLE;91;yüksek (43);4,6;4/6;negatif;negatif;yok;;1
120;AGESA;İZLE;89;orta (40);4,5;4/6;pozitif;pozitif;pozitif;352,13;2
121;RALYH;İZLE;87;yüksek (42);3,3;5/6;notr;negatif;yok;;0
122;ATSYH;İZLE;84;yüksek (42);4,7;5/6;negatif;notr;yok;;1
123;KUVVA;İZLE;84;yüksek (42);10,2;1/6;negatif;notr;yok;;0
124;IEYHO;İZLE;82;yüksek (43);0,5;5/6;negatif;notr;yok;;0
125;SELEC;İZLE;82;yüksek (43);0,0;6/6;notr;notr;notr;129,19;0
126;TRHOL;İZLE;82;yüksek (43);0,1;4/6;pozitif;notr;yok;;0
127;SAHOL;İZLE;81;orta (32);7,5;5/6;pozitif;notr;pozitif;157,19;1
128;OZATD;İZLE;78;yüksek (48);11,7;3/6;negatif;negatif;yok;;1
129;ISBTR;İZLE;68;orta (32);27,5;0/6;notr;negatif;pozitif;;6
130;KGYO;İZLE;66;düşük (16);26,1;0/6;negatif;notr;yok;;0
131;CVKMD;İZLE;66;düşük (0);15,9;1/6;notr;pozitif;yok;;1
132;SARKY;İZLE;66;orta (32);13,6;4/6;negatif;notr;yok;;0
133;TNZTP;İZLE;65;orta (38);10,2;2/6;pozitif;notr;notr;44,00;0
134;FROTO;İZLE;65;orta (32);9,6;6/6;notr;negatif;pozitif;145,00;2
135;GSDDE;İZLE;64;düşük (0);21,3;1/6;pozitif;yok;yok;;0
136;NTGAZ;İZLE;60;orta (40);8,2;6/6;pozitif;notr;yok;;0
137;ARDYZ;İZLE;60;düşük (0);21,4;0/6;notr;pozitif;notr;156,00;0
138;KLYPV;İZLE;60;düşük (0);16,4;2/6;notr;yok;yok;;0
139;DIRIT;İZLE;59;düşük (0);15,3;0/6;negatif;notr;yok;;0
140;NUHCM;İZLE;59;düşük (0);8,2;5/6;notr;pozitif;yok;;0
141;AKSA;İZLE;59;düşük (0);17,6;5/6;pozitif;pozitif;pozitif;16,65;0
142;NIBAS;İZLE;58;düşük (18);14,5;5/6;negatif;notr;yok;;0
143;HKTM;İZLE;57;düşük (10);27,0;2/6;negatif;negatif;yok;;1
144;BRKVY;İZLE;57;düşük (0);13,8;3/6;notr;negatif;yok;;0
145;PSDTC;İZLE;56;yüksek (46);32,6;1/6;notr;notr;yok;;0
146;TRGYO;İZLE;56;düşük (6);8,9;1/6;pozitif;pozitif;pozitif;131,49;0
147;ZOREN;İZLE;56;düşük (8);25,8;6/6;negatif;notr;notr;3,58;0
148;KNFRT;İZLE;55;düşük (10);30,5;3/6;negatif;pozitif;yok;;0
149;SONME;İZLE;55;düşük (10);18,2;3/6;negatif;yok;yok;;0
150;KAYSE;İZLE;54;düşük (8);11,4;4/6;negatif;notr;yok;;1
151;AYDEM;İZLE;54;orta (40);13,6;2/6;pozitif;pozitif;pozitif;42,43;0
152;YIGIT;İZLE;54;düşük (8);16,4;4/6;notr;notr;yok;;0
153;ZRGYO;İZLE;53;orta (40);4,1;1/6;pozitif;notr;yok;;0
154;YGGYO;İZLE;53;düşük (0);22,5;1/6;pozitif;notr;yok;;0
155;GOODY;İZLE;52;düşük (0);52,2;5/6;negatif;negatif;notr;3,93;0
156;TTKOM;İZLE;52;düşük (0);17,6;5/6;pozitif;notr;pozitif;88,99;3
157;ARCLK;İZLE;52;düşük (0);10,9;5/6;negatif;yok;pozitif;153,64;1
158;DURKN;İZLE;52;orta (28);18,2;0/6;negatif;notr;yok;;0
159;BINBN;İZLE;51;düşük (0);12,3;3/6;negatif;notr;yok;;1
160;BIOEN;İZLE;51;düşük (10);12,5;1/6;negatif;notr;notr;22,00;0
161;HLGYO;İZLE;51;orta (38);42,1;5/6;pozitif;pozitif;yok;;0
