sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;CELHA;GÜÇLÜ AL;99;orta (28);1,0;6/6;negatif;notr;yok;;0
2;AHGAZ;GÜÇLÜ AL;99;orta (36);0,5;6/6;pozitif;notr;notr;65,00;2
3;ISDMR;GÜÇLÜ AL;99;düşük (18);4,5;5/6;pozitif;notr;notr;68,20;0
4;FLAP;GÜÇLÜ AL;98;düşük (0);7,9;5/6;notr;notr;yok;;0
5;SKYMD;GÜÇLÜ AL;94;düşük (10);5,9;4/6;negatif;negatif;yok;;3
6;EUKYO;GÜÇLÜ AL;94;düşük (10);3,5;6/6;negatif;pozitif;yok;;0
7;TKFEN;GÜÇLÜ AL;93;düşük (20);6,6;5/6;negatif;notr;notr;160,00;4
8;TDGYO;GÜÇLÜ AL;93;orta (28);0,0;5/6;pozitif;pozitif;yok;;0
9;TRCAS;GÜÇLÜ AL;93;düşük (8);3,3;4/6;pozitif;negatif;yok;;0
10;BIMAS;GÜÇLÜ AL;92;düşük (0);5,2;4/6;notr;pozitif;pozitif;501,75;3
11;ENERY;GÜÇLÜ AL;92;orta (35);0,6;6/6;pozitif;notr;notr;20,00;2
12;PATEK;GÜÇLÜ AL;90;düşük (10);7,6;5/6;negatif;notr;yok;;0
13;KLSYN;GÜÇLÜ AL;89;düşük (0);11,4;3/6;negatif;negatif;yok;;1
14;BAHKM;GÜÇLÜ AL;89;düşük (18);18,8;6/6;negatif;notr;yok;;0
15;KZGYO;GÜÇLÜ AL;89;düşük (20);17,0;4/6;notr;negatif;yok;;0
16;KRGYO;GÜÇLÜ AL;88;orta (28);2,7;6/6;negatif;negatif;yok;;0
17;HUNER;GÜÇLÜ AL;88;orta (28);6,4;3/6;negatif;negatif;yok;;1
18;TERA;GÜÇLÜ AL;88;orta (35);0,9;6/6;notr;pozitif;yok;;11
19;CEOEM;GÜÇLÜ AL;88;orta (35);0,6;6/6;pozitif;pozitif;yok;;0
20;DEVA;GÜÇLÜ AL;87;düşük (18);12,4;4/6;notr;pozitif;yok;;0
21;AVPGY;GÜÇLÜ AL;87;düşük (0);9,4;5/6;pozitif;notr;pozitif;95,17;0
22;TEHOL;GÜÇLÜ AL;87;düşük (10);9,8;6/6;pozitif;notr;yok;;2
23;SASA;GÜÇLÜ AL;86;düşük (0);9,3;5/6;negatif;notr;yok;;1
24;PETKM;GÜÇLÜ AL;85;düşük (6);18,2;4/6;negatif;pozitif;notr;20,06;1
25;EGEEN;GÜÇLÜ AL;85;orta (22);9,9;6/6;negatif;notr;yok;;0
26;VAKBN;GÜÇLÜ AL;85;düşük (6);12,4;4/6;pozitif;notr;pozitif;45,47;6
27;AGHOL;GÜÇLÜ AL;84;düşük (0);7,1;4/6;notr;notr;pozitif;50,40;0
28;CEMZY;GÜÇLÜ AL;84;düşük (0);19,0;4/6;negatif;negatif;yok;;0
29;YKSLN;GÜÇLÜ AL;84;orta (35);0,0;5/6;negatif;notr;yok;;1
30;BJKAS;GÜÇLÜ AL;83;düşük (10);22,1;6/6;negatif;notr;yok;;1
31;KRPLS;GÜÇLÜ AL;83;düşük (0);24,8;4/6;negatif;yok;yok;;0
32;DZGYO;GÜÇLÜ AL;83;düşük (0);10,8;5/6;pozitif;notr;yok;;0
33;GENIL;GÜÇLÜ AL;83;orta (28);14,9;1/6;notr;pozitif;yok;;0
34;GMTAS;GÜÇLÜ AL;82;düşük (0);10,2;5/6;negatif;notr;yok;;0
35;TRHOL;GÜÇLÜ AL;82;orta (35);0,1;5/6;pozitif;notr;yok;;2
36;ALKLC;GÜÇLÜ AL;82;orta (35);0,2;6/6;negatif;notr;yok;;0
37;MARTI;GÜÇLÜ AL;82;orta (35);0,0;6/6;negatif;notr;yok;;0
38;HURGZ;GÜÇLÜ AL;82;düşük (0);15,7;5/6;negatif;negatif;yok;;0
39;DMLKT;GÜÇLÜ AL;80;düşük (20);3,1;3/6;yok;yok;pozitif;33,43;3
40;NETAS;GÜÇLÜ AL;80;düşük (10);13,0;4/6;yok;yok;yok;;0
41;GSDDE;GÜÇLÜ AL;79;düşük (0);19,1;6/6;pozitif;yok;yok;;0
42;OFSYM;GÜÇLÜ AL;79;düşük (20);10,5;2/6;notr;notr;notr;69,30;0
43;KCHOL;GÜÇLÜ AL;78;düşük (10);6,3;3/6;pozitif;pozitif;pozitif;325,61;1
44;ALARK;GÜÇLÜ AL;78;düşük (0);10,0;2/6;pozitif;notr;pozitif;154,34;1
45;CATES;GÜÇLÜ AL;78;düşük (6);15,9;2/6;pozitif;notr;yok;;1
46;MRGYO;GÜÇLÜ AL;77;orta (35);0,0;6/6;pozitif;notr;yok;;1
47;KRDMD;GÜÇLÜ AL;77;düşük (0);10,1;1/6;pozitif;pozitif;notr;50,70;1
48;HALKB;GÜÇLÜ AL;76;düşük (10);17,9;4/6;notr;notr;notr;47,86;7
49;RYSAS;GÜÇLÜ AL;76;düşük (10);20,8;1/6;notr;negatif;yok;;0
50;ARTMS;GÜÇLÜ AL;76;düşük (8);12,8;3/6;pozitif;negatif;yok;;0
51;BMSTL;AL;95;düşük (20);4,2;5/6;negatif;pozitif;yok;;0
52;KONYA;AL;82;düşük (10);7,4;6/6;pozitif;yok;yok;;0
53;SOKM;AL;79;orta (22);6,2;2/6;negatif;notr;pozitif;85,11;1
54;EGGUB;AL;79;düşük (0);5,0;3/6;pozitif;pozitif;yok;;0
55;MZHLD;AL;77;düşük (12);9,2;6/6;yok;yok;yok;;0
56;BOSSA;AL;77;düşük (0);10,8;4/6;notr;negatif;yok;;0
57;DSTKF;AL;76;düşük (10);45,6;5/6;notr;pozitif;yok;;0
58;ETILR;AL;74;düşük (0);15,2;3/6;negatif;notr;yok;;1
59;KGYO;AL;72;düşük (10);18,0;4/6;negatif;notr;yok;;0
60;BAGFS;AL;71;düşük (0);7,4;4/6;pozitif;yok;yok;;0
61;AKSGY;AL;71;düşük (16);4,6;0/6;pozitif;notr;pozitif;13,68;0
62;OZRDN;AL;70;düşük (8);20,6;5/6;negatif;notr;yok;;0
63;TARKM;AL;69;düşük (0);13,5;2/6;yok;negatif;yok;;0
64;VESTL;AL;69;düşük (0);18,7;4/6;negatif;notr;notr;33,17;2
65;TRENJ;AL;66;düşük (16);9,1;0/6;pozitif;pozitif;notr;218,70;0
66;KUYAS;AL;65;düşük (0);16,7;3/6;negatif;notr;yok;;0
67;KNFRT;AL;65;düşük (6);19,0;2/6;negatif;pozitif;yok;;0
68;OZSUB;AL;65;düşük (16);15,1;0/6;notr;notr;yok;;0
69;ECOGR;AL;64;düşük (0);24,4;4/6;notr;notr;yok;;0
70;DNISI;AL;64;düşük (10);16,8;4/6;pozitif;pozitif;yok;;0
71;ORGE;AL;64;orta (28);16,8;1/6;pozitif;notr;pozitif;112,00;3
72;ZOREN;AL;61;düşük (0);23,8;5/6;negatif;notr;notr;3,58;2
73;IEYHO;İZLE;92;yüksek (55);2,1;5/6;negatif;notr;yok;;0
74;TNZTP;İZLE;86;yüksek (48);3,6;4/6;pozitif;notr;notr;44,00;0
75;TUPRS;İZLE;85;yüksek (42);2,5;4/6;pozitif;pozitif;pozitif;366,18;6
76;OZATD;İZLE;85;yüksek (56);2,0;5/6;negatif;negatif;yok;;0
77;BOBET;İZLE;85;orta (32);14,0;4/6;negatif;pozitif;yok;;0
78;GATEG;İZLE;81;yüksek (46);5,7;5/6;notr;pozitif;yok;;0
79;ZRGYO;İZLE;81;orta (40);4,6;5/6;pozitif;notr;yok;;0
80;EPLAS;İZLE;81;yüksek (52);16,3;6/6;notr;pozitif;yok;;0
81;RALYH;İZLE;78;yüksek (42);8,5;2/6;notr;negatif;yok;;0
82;ENJSA;İZLE;78;orta (32);6,0;2/6;pozitif;notr;notr;158,36;0
83;AYGAZ;İZLE;77;yüksek (50);6,0;2/6;pozitif;pozitif;pozitif;337,67;1
84;KUVVA;İZLE;69;orta (38);17,6;0/6;negatif;notr;yok;;0
85;INDES;İZLE;68;düşük (0);9,6;0/6;notr;notr;pozitif;15,00;0
86;TRMET;İZLE;67;düşük (0);13,6;0/6;pozitif;notr;notr;168,00;0
87;TRALT;İZLE;67;düşük (10);13,9;1/6;pozitif;notr;notr;57,09;10
88;ARASE;İZLE;64;düşük (0);13,1;0/6;pozitif;notr;notr;214,70;0
89;MPARK;İZLE;64;düşük (0);5,8;3/6;notr;notr;pozitif;673,35;0
90;BRSAN;İZLE;63;düşük (10);17,3;0/6;notr;pozitif;pozitif;803,18;0
91;ASELS;İZLE;63;düşük (0);9,5;0/6;pozitif;pozitif;pozitif;462,91;5
92;YGGYO;İZLE;62;düşük (0);21,0;1/6;pozitif;notr;yok;;0
93;MAALT;İZLE;61;yüksek (52);26,0;6/6;negatif;notr;yok;;0
94;METRO;İZLE;61;düşük (0);16,2;0/6;pozitif;negatif;yok;;0
95;EKGYO;İZLE;60;düşük (0);13,5;3/6;negatif;notr;pozitif;33,43;3
96;ISCTR;İZLE;60;düşük (0);15,9;4/6;pozitif;negatif;pozitif;21,67;11
97;MIATK;İZLE;59;düşük (0);29,9;5/6;negatif;notr;yok;;0
98;GUBRF;İZLE;59;düşük (10);14,0;0/6;notr;notr;yok;;0
99;ATATP;İZLE;59;orta (22);36,4;2/6;pozitif;pozitif;notr;472,00;0
100;ADGYO;İZLE;59;düşük (10);16,4;0/6;negatif;negatif;yok;;0
101;AGESA;İZLE;58;düşük (6);9,3;0/6;pozitif;pozitif;pozitif;352,13;0
102;TOASO;İZLE;57;düşük (0);26,0;5/6;notr;pozitif;pozitif;456,00;2
103;KERVN;İZLE;57;orta (22);29,2;0/6;yok;negatif;yok;;0
104;POLHO;İZLE;57;orta (22);9,3;0/6;notr;negatif;yok;;0
105;ATLAS;İZLE;56;düşük (0);23,9;6/6;notr;negatif;yok;;0
106;IHYAY;İZLE;56;düşük (0);51,2;5/6;negatif;notr;yok;;0
107;BEYAZ;İZLE;56;düşük (0);17,1;5/6;negatif;notr;yok;;0
108;PNSUT;İZLE;56;düşük (0);16,0;2/6;negatif;notr;yok;;0
109;BUCIM;İZLE;55;düşük (0);9,0;1/6;negatif;yok;yok;;0
110;ISBTR;İZLE;55;orta (32);30,6;0/6;notr;negatif;pozitif;;11
111;DENGE;İZLE;55;orta (22);12,9;4/6;notr;notr;yok;;0
112;TURGG;İZLE;54;orta (32);17,9;2/6;pozitif;yok;yok;;0
113;SANKO;İZLE;54;orta (40);17,5;5/6;notr;notr;yok;;0
114;DOHOL;İZLE;54;düşük (10);7,1;0/6;pozitif;notr;pozitif;32,43;2
115;IHGZT;İZLE;53;düşük (0);25,2;4/6;pozitif;negatif;yok;;0
116;IHEVA;İZLE;53;düşük (0);15,2;4/6;pozitif;yok;yok;;0
117;BORSK;İZLE;53;düşük (0);15,9;1/6;notr;notr;yok;;1
118;AKFGY;İZLE;53;düşük (0);14,0;5/6;pozitif;negatif;yok;;0
119;MEPET;İZLE;53;düşük (0);18,8;4/6;pozitif;notr;yok;;0
120;GOZDE;İZLE;53;düşük (0);25,9;3/6;notr;notr;yok;;0
121;IHLAS;İZLE;53;düşük (12);26,1;6/6;negatif;notr;yok;;0
122;PETUN;İZLE;52;orta (32);11,5;1/6;pozitif;notr;yok;;0
123;CANTE;İZLE;52;düşük (0);18,9;2/6;notr;notr;yok;;0
124;IHLGM;İZLE;52;düşük (0);37,7;3/6;pozitif;notr;yok;;0
125;EYGYO;İZLE;52;düşük (6);15,1;0/6;negatif;pozitif;yok;;0
