sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;BAHKM;GÜÇLÜ AL;99;orta (28);5,5;4/6;negatif;notr;yok;;0
2;SKYMD;GÜÇLÜ AL;98;düşük (20);1,8;5/6;negatif;negatif;yok;;1
3;BORSK;GÜÇLÜ AL;97;düşük (0);7,1;5/6;notr;notr;yok;;3
4;DEVA;GÜÇLÜ AL;97;orta (36);0,0;6/6;notr;pozitif;yok;;0
5;KRPLS;GÜÇLÜ AL;97;orta (35);0,0;6/6;negatif;yok;yok;;0
6;ENERY;GÜÇLÜ AL;96;orta (36);2,8;6/6;pozitif;notr;yok;;1
7;PETKM;GÜÇLÜ AL;96;orta (40);7,3;6/6;negatif;pozitif;notr;19,25;2
8;GENIL;GÜÇLÜ AL;94;orta (32);6,8;4/6;notr;pozitif;yok;;1
9;KLSYN;GÜÇLÜ AL;94;düşük (10);2,8;5/6;negatif;negatif;yok;;0
10;KRGYO;GÜÇLÜ AL;94;orta (34);1,7;6/6;negatif;negatif;yok;;0
11;HUNER;GÜÇLÜ AL;94;orta (28);2,2;4/6;negatif;negatif;yok;;2
12;AHGAZ;GÜÇLÜ AL;94;orta (28);2,9;4/6;pozitif;notr;yok;;1
13;BIMAS;GÜÇLÜ AL;92;düşük (20);0,3;6/6;notr;pozitif;pozitif;503,80;3
14;KARSN;GÜÇLÜ AL;92;orta (35);2,4;5/6;notr;notr;notr;18,53;0
15;GUBRF;GÜÇLÜ AL;92;düşük (10);4,2;6/6;notr;notr;yok;;2
16;KLYPV;GÜÇLÜ AL;92;düşük (8);12,2;6/6;notr;yok;yok;;0
17;MRGYO;GÜÇLÜ AL;91;orta (35);0,0;6/6;pozitif;notr;yok;;0
18;MANAS;GÜÇLÜ AL;91;düşük (0);12,6;3/6;negatif;negatif;yok;;0
19;ISDMR;GÜÇLÜ AL;90;düşük (18);5,9;6/6;pozitif;notr;notr;68,20;0
20;AVOD;GÜÇLÜ AL;90;düşük (0);13,5;5/6;negatif;negatif;yok;;0
21;ALARK;GÜÇLÜ AL;90;düşük (10);2,8;6/6;pozitif;notr;pozitif;154,34;2
22;TEHOL;GÜÇLÜ AL;90;düşük (20);7,6;6/6;pozitif;notr;yok;;0
23;MARTI;GÜÇLÜ AL;89;orta (35);0,0;6/6;negatif;notr;yok;;1
24;INDES;GÜÇLÜ AL;88;düşük (8);3,3;4/6;notr;notr;pozitif;15,00;0
25;TRCAS;GÜÇLÜ AL;87;düşük (0);1,7;6/6;pozitif;negatif;yok;;0
26;KCHOL;GÜÇLÜ AL;87;orta (26);3,7;6/6;pozitif;pozitif;pozitif;321,79;2
27;HURGZ;GÜÇLÜ AL;87;düşük (6);7,6;6/6;negatif;negatif;yok;;0
28;EUKYO;GÜÇLÜ AL;87;düşük (0);4,7;5/6;negatif;pozitif;yok;;0
29;TARKM;GÜÇLÜ AL;87;düşük (8);11,1;4/6;yok;negatif;yok;;0
30;KRDMD;GÜÇLÜ AL;87;düşük (0);4,2;5/6;pozitif;pozitif;notr;50,70;1
31;PNSUT;GÜÇLÜ AL;86;düşük (0);5,0;6/6;negatif;notr;yok;;0
32;HALKB;GÜÇLÜ AL;86;orta (28);8,6;4/6;notr;notr;notr;48,18;6
33;EKGYO;GÜÇLÜ AL;86;düşük (0);8,1;6/6;negatif;notr;pozitif;33,43;2
34;KZGYO;GÜÇLÜ AL;86;orta (35);5,8;5/6;notr;negatif;yok;;0
35;VAKBN;GÜÇLÜ AL;86;düşük (14);8,1;5/6;pozitif;notr;pozitif;45,47;1
36;FLAP;GÜÇLÜ AL;85;düşük (0);14,7;6/6;notr;notr;yok;;0
37;DMLKT;GÜÇLÜ AL;85;düşük (20);3,3;4/6;yok;yok;pozitif;33,43;2
38;ARASE;GÜÇLÜ AL;84;düşük (0);5,3;6/6;pozitif;notr;notr;214,70;0
39;ANELE;GÜÇLÜ AL;84;düşük (20);16,2;4/6;negatif;negatif;yok;;2
40;CELHA;GÜÇLÜ AL;84;düşük (10);4,2;5/6;negatif;notr;yok;;0
41;YKSLN;GÜÇLÜ AL;82;orta (35);0,0;6/6;negatif;notr;yok;;0
42;OFSYM;GÜÇLÜ AL;82;düşük (0);7,3;3/6;notr;notr;notr;69,30;5
43;SELEC;GÜÇLÜ AL;82;orta (35);0,6;6/6;notr;notr;notr;129,19;0
44;PETUN;GÜÇLÜ AL;82;düşük (0);4,8;5/6;pozitif;notr;yok;;1
45;VBTYZ;GÜÇLÜ AL;81;düşük (10);9,3;2/6;notr;notr;yok;;0
46;TKFEN;GÜÇLÜ AL;81;düşük (0);16,0;3/6;negatif;notr;notr;160,00;1
47;AKSGY;GÜÇLÜ AL;81;düşük (16);4,1;4/6;pozitif;notr;pozitif;13,68;0
48;SASA;GÜÇLÜ AL;80;düşük (10);5,8;6/6;negatif;notr;yok;;0
49;NETAS;GÜÇLÜ AL;80;düşük (10);12,9;3/6;yok;yok;yok;;0
50;BAGFS;GÜÇLÜ AL;80;düşük (18);1,9;6/6;pozitif;yok;yok;;0
51;CATES;GÜÇLÜ AL;80;düşük (10);12,5;2/6;pozitif;notr;yok;;0
52;KERVN;GÜÇLÜ AL;79;orta (22);12,2;3/6;yok;negatif;yok;;0
53;OZSUB;GÜÇLÜ AL;79;düşük (16);11,7;3/6;notr;notr;yok;;0
54;ORGE;GÜÇLÜ AL;79;orta (22);12,4;4/6;pozitif;notr;pozitif;112,00;3
55;RYSAS;GÜÇLÜ AL;78;düşük (10);15,7;3/6;notr;negatif;yok;;0
56;BRSAN;GÜÇLÜ AL;78;düşük (16);7,8;2/6;notr;pozitif;pozitif;803,18;2
57;RYGYO;GÜÇLÜ AL;76;düşük (0);18,4;2/6;pozitif;notr;yok;;0
58;PRZMA;GÜÇLÜ AL;76;orta (22);18,8;3/6;negatif;notr;yok;;0
59;DZGYO;GÜÇLÜ AL;76;düşük (0);13,3;6/6;pozitif;notr;yok;;0
60;TURGG;GÜÇLÜ AL;75;orta (22);10,6;4/6;pozitif;yok;yok;;0
61;SOKM;AL;94;orta (32);1,6;5/6;negatif;notr;pozitif;85,42;1
62;AKFYE;AL;94;orta (28);4,5;5/6;pozitif;notr;yok;;1
63;ETILR;AL;93;düşük (0);6,3;5/6;negatif;notr;yok;;1
64;EGGUB;AL;90;düşük (8);2,6;5/6;pozitif;pozitif;yok;;0
65;MPARK;AL;87;düşük (0);3,6;5/6;notr;notr;pozitif;673,35;1
66;AKFGY;AL;85;düşük (10);0,7;5/6;pozitif;negatif;yok;;0
67;ADGYO;AL;83;düşük (6);9,7;3/6;negatif;negatif;yok;;0
68;ASELS;AL;81;düşük (0);3,6;3/6;pozitif;pozitif;pozitif;462,91;7
69;PATEK;AL;80;düşük (0);12,9;5/6;negatif;notr;yok;;0
70;GMTAS;AL;80;düşük (0);6,1;4/6;negatif;notr;yok;;0
71;DNISI;AL;79;düşük (10);13,0;5/6;pozitif;pozitif;yok;;0
72;KONYA;AL;79;düşük (10);10,0;6/6;pozitif;yok;yok;;0
73;TDGYO;AL;77;düşük (18);7,1;6/6;pozitif;pozitif;yok;;0
74;DENGE;AL;77;orta (22);8,4;5/6;notr;notr;yok;;0
75;TRMET;AL;76;düşük (0);8,1;3/6;pozitif;notr;notr;168,00;0
76;AKBNK;AL;76;düşük (8);15,1;2/6;pozitif;notr;pozitif;107,00;4
77;AKFIS;AL;76;düşük (6);11,4;1/6;notr;notr;yok;;0
78;BUCIM;AL;76;düşük (8);3,8;5/6;negatif;yok;yok;;0
79;ISCTR;AL;75;düşük (0);13,1;5/6;pozitif;negatif;pozitif;21,58;7
80;LOGO;AL;75;düşük (10);3,1;5/6;pozitif;pozitif;pozitif;236,00;1
81;AGHOL;AL;75;düşük (0);6,2;5/6;notr;notr;pozitif;50,40;1
82;RUZYE;AL;74;düşük (6);7,3;6/6;negatif;notr;yok;;0
83;POLHO;AL;74;düşük (10);6,6;1/6;notr;negatif;yok;;0
84;MIATK;AL;73;orta (24);26,2;6/6;negatif;notr;yok;;0
85;ALTNY;AL;73;düşük (0);10,5;3/6;negatif;yok;yok;;1
86;CEOEM;AL;73;düşük (0);16,7;5/6;pozitif;pozitif;yok;;0
87;TRALT;AL;73;düşük (10);9,5;3/6;pozitif;notr;notr;57,09;2
88;VESTL;AL;72;düşük (0);17,3;5/6;negatif;notr;notr;33,17;3
89;SONME;AL;72;düşük (6);15,4;4/6;negatif;yok;yok;;0
90;TRENJ;AL;72;düşük (20);4,8;3/6;pozitif;pozitif;notr;218,70;0
91;MEPET;AL;71;düşük (0);21,3;5/6;pozitif;notr;yok;;0
92;DOHOL;AL;70;düşük (6);5,6;1/6;pozitif;notr;pozitif;32,43;1
93;SISE;AL;70;düşük (0);9,6;5/6;pozitif;notr;pozitif;63,50;2
94;ARDYZ;AL;70;düşük (0);21,3;0/6;notr;pozitif;notr;156,00;0
95;AVPGY;AL;69;düşük (8);11,8;5/6;pozitif;notr;pozitif;95,17;1
96;EYGYO;AL;69;düşük (10);6,6;4/6;negatif;pozitif;yok;;0
97;GARAN;AL;68;orta (22);8,8;4/6;pozitif;notr;pozitif;179,60;4
98;KRDMA;AL;67;düşük (16);28,5;3/6;pozitif;pozitif;notr;50,70;1
99;TERA;AL;66;düşük (18);1,7;5/6;notr;pozitif;yok;;8
100;BIOEN;AL;66;düşük (6);9,7;3/6;negatif;notr;notr;22,00;0
101;METRO;AL;66;düşük (0);12,7;0/6;pozitif;negatif;yok;;0
102;ATATP;AL;65;orta (22);28,2;1/6;pozitif;pozitif;notr;472,00;0
103;DSTKF;AL;65;düşük (0);64,3;5/6;notr;pozitif;yok;;0
104;CEMZY;AL;65;düşük (0);28,4;0/6;negatif;negatif;yok;;0
105;TOASO;AL;65;düşük (0);23,2;6/6;notr;pozitif;pozitif;456,98;2
106;MTRKS;AL;63;düşük (0);17,7;0/6;pozitif;notr;yok;;0
107;BOSSA;AL;63;düşük (0);12,1;5/6;notr;negatif;yok;;0
108;ARTMS;AL;63;düşük (8);13,1;4/6;pozitif;negatif;yok;;0
109;DIRIT;AL;62;düşük (0);12,8;2/6;negatif;notr;yok;;0
110;OZRDN;AL;62;düşük (0);21,6;4/6;negatif;notr;yok;;0
111;YKBNK;AL;60;orta (22);22,1;1/6;pozitif;notr;pozitif;52,27;3
112;EGEEN;AL;60;düşük (0);10,8;5/6;negatif;notr;yok;;0
113;ENKAI;AL;60;düşük (0);6,2;6/6;pozitif;pozitif;pozitif;129,88;0
114;ALBRK;İZLE;95;yüksek (42);2,4;6/6;pozitif;pozitif;pozitif;11,85;4
115;AYGAZ;İZLE;95;yüksek (56);5,4;5/6;pozitif;pozitif;pozitif;337,67;1
116;TUPRS;İZLE;92;yüksek (50);1,5;5/6;pozitif;pozitif;pozitif;365,74;10
117;IEYHO;İZLE;92;yüksek (43);0,7;4/6;negatif;notr;yok;;0
118;BOBET;İZLE;92;yüksek (42);8,1;5/6;negatif;pozitif;yok;;1
119;MHRGY;İZLE;88;yüksek (45);9,3;6/6;pozitif;notr;yok;;1
120;ENJSA;İZLE;87;orta (32);2,2;5/6;pozitif;notr;notr;158,36;0
121;AGESA;İZLE;87;yüksek (48);3,8;3/6;pozitif;pozitif;pozitif;352,13;2
122;BVSAN;İZLE;83;yüksek (47);4,8;6/6;negatif;negatif;yok;;0
123;ALKLC;İZLE;83;yüksek (45);1,1;6/6;negatif;notr;yok;;0
124;TRHOL;İZLE;82;yüksek (43);0,1;4/6;pozitif;notr;yok;;0
125;AYDEM;İZLE;80;orta (40);8,8;4/6;pozitif;pozitif;pozitif;42,43;0
126;OZATD;İZLE;77;yüksek (48);13,5;3/6;negatif;negatif;yok;;0
127;TNZTP;İZLE;76;orta (38);9,3;2/6;pozitif;notr;notr;44,00;0
128;RALYH;İZLE;76;orta (32);6,0;5/6;notr;negatif;yok;;0
129;KUVVA;İZLE;75;yüksek (42);11,1;2/6;negatif;notr;yok;;0
130;ATSYH;İZLE;73;orta (32);8,3;3/6;negatif;notr;yok;;1
131;JANTS;İZLE;69;yüksek (58);9,7;6/6;notr;pozitif;yok;;0
132;ETYAT;İZLE;66;yüksek (46);14,4;0/6;negatif;yok;yok;;0
133;DOCO;İZLE;66;orta (22);10,6;0/6;notr;notr;yok;;0
134;ZRGYO;İZLE;66;orta (40);2,1;4/6;pozitif;notr;yok;;0
135;ISBTR;İZLE;66;orta (32);28,0;0/6;notr;negatif;pozitif;;7
136;AKMGY;İZLE;65;düşük (10);10,8;2/6;pozitif;pozitif;yok;;0
137;SAHOL;İZLE;64;orta (32);9,0;4/6;pozitif;notr;pozitif;157,19;0
138;NTGAZ;İZLE;62;orta (40);7,0;6/6;pozitif;notr;yok;;1
139;SAYAS;İZLE;61;düşük (0);21,3;1/6;pozitif;notr;yok;;0
140;GSDDE;İZLE;59;düşük (0);22,0;1/6;pozitif;yok;yok;;0
141;YGGYO;İZLE;59;düşük (0);20,2;3/6;pozitif;notr;yok;;0
142;ZOREN;İZLE;59;düşük (0);23,8;6/6;negatif;notr;notr;3,58;0
143;BINBN;İZLE;59;düşük (0);11,3;3/6;negatif;notr;yok;;1
144;TTRAK;İZLE;58;düşük (6);3,9;6/6;negatif;notr;notr;592,39;0
145;CANTE;İZLE;58;düşük (8);11,9;6/6;notr;notr;yok;;0
146;NIBAS;İZLE;58;düşük (18);14,7;5/6;negatif;notr;yok;;0
147;KGYO;İZLE;57;düşük (16);27,2;0/6;negatif;notr;yok;;0
148;TRGYO;İZLE;57;düşük (6);8,9;2/6;pozitif;pozitif;pozitif;131,49;0
