hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
BIZIM;izle;;32,3;5,4;17,9;9,1;10;1;zayif;25,8;46,8;65,8;asagi;zayif;zayif;asagi;0,29;-1,05;2;24,28;0,41;1943760;25,28;AL;NEGATIF;AL;POZITIF;AZALIYOR;SAT;SAT;NOTR;3;01.09.2026
ISCTR;izle;;32,2;4,9;18,0;9,3;0;0;zayif;24,5;51,6;47,4;asagi;zayif;zayif;asagi;0,56;-0,72;1;12,8;1,27;4177103219;13,05;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;01.09.2026
GARFA;izle;;32,1;2,0;20,9;9,2;0;0;zayif;12,2;54,4;71,7;asagi;zayif;zayif;asagi;0,54;-0,25;0;27,38;-0,07;17385670;28,60;AL;POZITIF;NOTR;POZITIF;AZALIYOR;AL;SAT;NOTR;4;01.09.2026
KZGYO;izle;;31,8;2,8;17,4;11,7;0;0;zayif;19,1;50,6;74,2;asagi;zayif;zayif;asagi;0,89;-1,00;1;20,14;3,07;17737016;20,98;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;SAT;NOTR;4;01.09.2026
BMSTL;izle;;31,6;18,2;11,2;2,1;10;1;zayif;15,2;42,7;25,2;asagi;zayif;zayif;asagi;0,16;-0,71;2;43,64;0,18;19943960;48,08;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;01.09.2026
SEGMN;izle;;31,6;17,5;6,1;8,0;6;0;zayif;18,5;39,6;57,7;yukari;zayif;zayif;asagi;0,26;-1,48;3;47,08;-1,09;18847442;46,64;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;01.09.2026
KLKIM;izle;;31,3;8,7;13,9;8,7;0;0;zayif;16,9;43,9;68,3;yukari;zayif;zayif;asagi;0,30;-1,55;1;26,46;-0,82;15935535;26,19;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
IHGZT;izle;;30,9;4,7;17,5;8,6;0;0;zayif;24,1;50,6;75,1;asagi;zayif;zayif;asagi;0,42;-1,04;0;1,21;1,68;7830519;1,26;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;UCUZ (AL);5;01.09.2026
KLMSN;izle;;30,8;13,3;13,5;4,0;10;1;zayif;25,6;43,4;42,7;yukari;zayif;zayif;asagi;0,44;-1,50;1;28,42;0,21;8999904;26,86;AL;NEGATIF;AL;NEGATIF;ARTIYOR;SAT;SAT;NOTR;2;01.09.2026
AKENR;izle;;30,5;4,0;18,5;8,0;18;1;zayif;22,2;48,7;64,2;asagi;zayif;zayif;asagi;0,36;-0,60;0;10,52;0,00;41945355;11,26;AL;NEGATIF;AL;NEGATIF;ARTIYOR;SAT;SAT;NOTR;2;01.09.2026
AKFYE;izle;;30,5;12,7;17,8;0,0;0;0;zayif;12,5;45,7;48,2;asagi;zayif;zayif;asagi;0,27;-0,74;1;23,06;1,77;41021826;25,16;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
HLGYO;izle;;30,3;10,0;12,3;8,0;0;0;zayif;40,2;39,3;62,2;asagi;zayif;zayif;asagi;0,21;-3,00;1;4,41;0,68;21291608;4,67;AL;NEGATIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;4;01.09.2026
ICBCT;izle;;30,2;13,0;9,2;8,0;0;0;zayif;10,9;39,8;38,8;asagi;zayif;zayif;asagi;0,31;-1,15;2;19,66;1,24;11463884;22,37;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;01.09.2026
GLCVY;izle;;30,1;2,1;18,1;9,8;10;1;zayif;17,5;49,5;54,0;asagi;zayif;zayif;asagi;0,21;-0,81;1;52,55;0,77;7763159;55,12;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;SAT;SAT;UCUZ (AL);2;01.09.2026
PINSU;izle;;30,0;4,6;17,4;8,0;0;0;zayif;23,8;46,5;71,5;asagi;zayif;zayif;asagi;0,58;-0,99;1;10,35;-3,27;23283919;11,02;AL;NEGATIF;AL;POZITIF;ARTIYOR;AL;SAT;UCUZ (AL);4;01.09.2026
EGEPO;izle;;29,8;15,4;6,4;8,0;0;0;zayif;29,4;33,1;16,2;asagi;zayif;zayif;asagi;0,36;-2,45;1;16;0,06;14986880;18,26;SAT;NEGATIF;SAT;NEGATIF;AZALIYOR;SAT;SAT;PAHALI (SAT);0;01.09.2026
