sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;ISCTR;13,05;0,31;12,04;9630678372;07.09.2026
AL;SASA;2,51;9,61;2,13;8631349968;07.09.2026
AL;DSTKF;2390;3,02;1802,90;2796775610;07.09.2026
AL;PETKM;22,06;9,97;18,58;2077188902;07.09.2026
AL;TOASO;288;5,01;251,91;1620034560;07.09.2026
AL;MIATK;33,76;9,97;28,63;252124575;07.09.2026
AL;AGHOL;34,54;5,05;30,33;211095078;07.09.2026
AL;ISDMR;59,5;7,79;49,77;202629452;07.09.2026
AL;DENGE;2,56;8,47;2,13;118653253;07.09.2026
AL;YKSLN;2,89;9,89;2,60;90283918;07.09.2026
AL;SERNT;8,51;1,92;7,61;47799700;07.09.2026
AL;MMCAS;51,35;9,96;42,73;14981363;07.09.2026
AL;FLAP;11,39;3,83;9,47;14691209;07.09.2026
AL;EMNIS;160;2,70;150,46;1198400;07.09.2026
SAT;RGYAS;196,6;-3,63;215,61;1185951360;07.09.2026
SAT;FENER;2,93;-5,18;3,28;500993551;07.09.2026
SAT;HRKET;85,05;-4,44;103,78;202625842;07.09.2026
SAT;ARMGD;176;-5,33;213,15;195258448;07.09.2026
SAT;TBORG;139,6;-2,92;163,04;36626852;07.09.2026
SAT;EDATA;17,51;-1,35;20,65;35093122;07.09.2026
