sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;RYSAS;GÜÇLÜ AL;98;orta (28);0,5;5/6;notr;negatif;yok;;4
2;RYGYO;GÜÇLÜ AL;98;orta (28);8,0;5/6;pozitif;notr;yok;;0
3;MANAS;GÜÇLÜ AL;97;orta (32);2,7;6/6;negatif;negatif;yok;;0
4;CATES;GÜÇLÜ AL;97;orta (36);6,9;4/6;pozitif;notr;yok;;0
5;DMLKT;GÜÇLÜ AL;97;orta (36);3,6;4/6;yok;yok;pozitif;33,43;1
6;BAHKM;GÜÇLÜ AL;96;orta (38);9,4;4/6;negatif;notr;yok;;0
7;KUVVA;GÜÇLÜ AL;95;orta (24);7,2;3/6;negatif;negatif;yok;;1
8;TNZTP;GÜÇLÜ AL;94;düşük (10);4,6;5/6;pozitif;notr;notr;44,00;0
9;ENERY;GÜÇLÜ AL;94;orta (28);12,3;5/6;pozitif;notr;yok;;0
10;TARKM;GÜÇLÜ AL;94;düşük (0);10,2;5/6;yok;negatif;yok;;0
11;BORSK;GÜÇLÜ AL;94;düşük (8);3,1;6/6;notr;notr;yok;;0
12;AHGAZ;GÜÇLÜ AL;93;orta (28);4,3;5/6;pozitif;notr;yok;;0
13;DURKN;GÜÇLÜ AL;93;düşük (0);6,8;4/6;negatif;notr;yok;;0
14;NETAS;GÜÇLÜ AL;93;düşük (18);17,2;4/6;yok;yok;yok;;0
15;KRDMA;GÜÇLÜ AL;93;orta (28);19,7;4/6;pozitif;pozitif;notr;50,70;0
16;VAKBN;GÜÇLÜ AL;92;düşük (0);4,0;5/6;pozitif;notr;pozitif;45,47;2
17;BIGEN;GÜÇLÜ AL;92;orta (35);4,8;6/6;negatif;yok;yok;;0
18;MRGYO;GÜÇLÜ AL;91;orta (25);5,4;5/6;pozitif;notr;yok;;0
19;HUNER;GÜÇLÜ AL;90;orta (30);7,0;4/6;negatif;negatif;yok;;0
20;OFSYM;GÜÇLÜ AL;90;düşük (10);1,9;6/6;notr;notr;notr;69,30;1
21;ALARK;GÜÇLÜ AL;90;düşük (0);5,3;3/6;pozitif;notr;pozitif;154,34;3
22;ARSAN;GÜÇLÜ AL;89;düşük (0);15,1;4/6;pozitif;notr;yok;;0
23;INDES;GÜÇLÜ AL;89;düşük (0);3,9;4/6;notr;notr;pozitif;15,00;9
24;VBTYZ;GÜÇLÜ AL;89;düşük (20);5,6;4/6;notr;notr;yok;;0
25;TUPRS;GÜÇLÜ AL;89;orta (30);6,4;2/6;pozitif;pozitif;pozitif;366,39;11
26;DEVA;GÜÇLÜ AL;89;orta (36);0,9;6/6;notr;pozitif;yok;;0
27;VERUS;GÜÇLÜ AL;88;düşük (10);9,2;3/6;negatif;notr;yok;;0
