sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;AHGAZ;GÜÇLÜ AL;98;orta (36);1,7;6/6;pozitif;notr;yok;;0
2;VAKBN;GÜÇLÜ AL;97;düşük (8);5,4;6/6;pozitif;notr;pozitif;45,47;2
3;TRCAS;GÜÇLÜ AL;96;orta (24);0,6;6/6;pozitif;negatif;yok;;0
4;MANAS;GÜÇLÜ AL;96;orta (28);4,4;6/6;negatif;negatif;yok;;0
5;KRPLS;GÜÇLÜ AL;96;düşük (10);0,2;5/6;negatif;yok;yok;;0
6;ENERY;GÜÇLÜ AL;95;orta (35);6,8;5/6;pozitif;notr;yok;;0
7;TARKM;GÜÇLÜ AL;94;düşük (0);12,2;4/6;yok;negatif;yok;;0
8;CATES;GÜÇLÜ AL;93;orta (36);1,4;4/6;pozitif;notr;yok;;0
9;RYGYO;GÜÇLÜ AL;92;orta (36);5,4;4/6;pozitif;notr;yok;;0
10;OFSYM;GÜÇLÜ AL;92;düşük (18);1,9;6/6;notr;notr;notr;69,30;6
11;BORSK;GÜÇLÜ AL;92;düşük (0);6,2;6/6;notr;notr;yok;;2
12;IEYHO;GÜÇLÜ AL;91;orta (35);0,4;5/6;negatif;notr;yok;;1
13;MARTI;GÜÇLÜ AL;91;orta (28);10,9;5/6;negatif;notr;yok;;1
14;NETAS;GÜÇLÜ AL;91;orta (28);6,3;5/6;yok;yok;yok;;0
15;DMLKT;GÜÇLÜ AL;91;düşük (16);6,1;4/6;yok;yok;pozitif;33,43;1
16;VBTYZ;GÜÇLÜ AL;90;düşük (20);2,3;4/6;notr;notr;yok;;0
17;DEVA;GÜÇLÜ AL;89;orta (28);4,2;4/6;notr;pozitif;yok;;0
18;ETYAT;GÜÇLÜ AL;89;düşük (10);2,9;6/6;negatif;yok;yok;;0
19;GUBRF;GÜÇLÜ AL;88;düşük (10);11,4;4/6;notr;notr;yok;;3
20;ALARK;GÜÇLÜ AL;88;düşük (8);3,8;6/6;pozitif;notr;pozitif;154,34;2
21;AVOD;GÜÇLÜ AL;88;orta (34);0,8;6/6;negatif;negatif;yok;;0
22;INDES;GÜÇLÜ AL;88;düşük (0);3,8;4/6;notr;notr;pozitif;15,00;0
23;RYSAS;GÜÇLÜ AL;88;düşük (10);7,9;4/6;notr;negatif;yok;;0
24;ARDYZ;GÜÇLÜ AL;88;düşük (0);14,2;3/6;notr;pozitif;notr;156,00;0
25;BRKVY;GÜÇLÜ AL;86;düşük (0);16,3;5/6;notr;negatif;yok;;0
26;HUNER;GÜÇLÜ AL;86;orta (22);6,7;3/6;negatif;negatif;yok;;0
27;BIMAS;GÜÇLÜ AL;85;düşük (0);1,7;3/6;notr;pozitif;pozitif;503,80;3
28;EUKYO;GÜÇLÜ AL;85;düşük (10);4,3;4/6;negatif;pozitif;yok;;0
29;KUVVA;GÜÇLÜ AL;85;orta (26);5,0;2/6;negatif;notr;yok;;1
30;MRGYO;GÜÇLÜ AL;84;düşük (0);11,5;4/6;pozitif;notr;yok;;0
31;POLHO;GÜÇLÜ AL;83;düşük (10);4,6;4/6;notr;negatif;yok;;0
32;TEHOL;GÜÇLÜ AL;83;düşük (10);16,7;3/6;pozitif;notr;yok;;0
33;AYGAZ;GÜÇLÜ AL;83;orta (32);6,4;2/6;pozitif;pozitif;pozitif;337,67;0
34;TUPRS;GÜÇLÜ AL;83;orta (30);7,4;2/6;pozitif;pozitif;pozitif;366,39;11
35;KLSYN;GÜÇLÜ AL;82;düşük (0);5,5;4/6;negatif;negatif;yok;;1
36;HALKB;GÜÇLÜ AL;82;orta (28);0,0;6/6;notr;notr;notr;48,18;9
37;TRHOL;GÜÇLÜ AL;82;orta (35);0,1;4/6;pozitif;notr;yok;;0
38;BIOEN;GÜÇLÜ AL;82;düşük (10);8,2;2/6;negatif;notr;notr;22,00;0
39;OZATD;GÜÇLÜ AL;80;orta (38);8,0;3/6;negatif;negatif;yok;;2
40;TKFEN;GÜÇLÜ AL;80;düşük (0);16,3;3/6;negatif;notr;notr;126,35;0
41;ATATP;GÜÇLÜ AL;80;orta (32);18,5;4/6;pozitif;pozitif;notr;472,00;1
42;GENIL;GÜÇLÜ AL;78;orta (32);13,0;3/6;notr;pozitif;yok;;0
43;TRMET;GÜÇLÜ AL;77;düşük (0);9,3;2/6;pozitif;notr;notr;168,00;0
44;KCHOL;GÜÇLÜ AL;77;orta (32);5,4;2/6;pozitif;pozitif;pozitif;321,79;4
45;AKSGY;GÜÇLÜ AL;76;düşük (10);3,8;2/6;pozitif;notr;pozitif;13,68;0
46;ARASE;GÜÇLÜ AL;76;düşük (0);8,3;2/6;pozitif;notr;notr;214,70;0
47;SKYMD;AL;93;düşük (10);5,4;5/6;negatif;negatif;yok;;3
48;AKCNS;AL;86;düşük (10);4,0;3/6;pozitif;yok;notr;274,35;0
49;BALAT;AL;81;düşük (10);3,7;5/6;negatif;yok;yok;;1
50;SOKM;AL;80;orta (22);5,3;3/6;negatif;notr;pozitif;85,42;2
51;RODRG;AL;79;düşük (0);5,6;5/6;pozitif;notr;yok;;0
52;DOHOL;AL;79;düşük (0);7,2;3/6;pozitif;notr;pozitif;32,43;0
53;DOCO;AL;77;orta (22);7,8;3/6;notr;notr;yok;;0
54;KZGYO;AL;77;düşük (0);8,4;6/6;notr;negatif;yok;;0
