sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;ENKAI;89,5;2,34;80,56;1207980426;28.08.2026
AL;CANTE;1,33;9,92;1,15;653067189;28.08.2026
AL;IZFAS;64,65;1,65;52,44;340073094;28.08.2026
AL;MARTI;1,57;7,53;1,28;321368117;28.08.2026
AL;MAKTK;10,79;3,65;9,45;105982800;28.08.2026
AL;ARTMS;41,3;4,40;35,62;40772888;28.08.2026
AL;MAALT;1100;10,00;954,44;35971100;28.08.2026
SAT;PLTUR;20,82;-1,33;23,82;27224544;28.08.2026
SAT;DSTKF;1965;-9,99;2370,64;21153225;28.08.2026
SAT;SEKUR;9,8;-2,97;11,78;10826236;28.08.2026
SAT;TDGYO;16,12;-1,71;18,13;9431748;28.08.2026
