sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;ETYAT;GÜÇLÜ AL;98;düşük (10);2,9;6/6;negatif;yok;yok;;0
2;RYGYO;GÜÇLÜ AL;97;orta (28);8,3;4/6;pozitif;notr;yok;;0
3;VAKBN;GÜÇLÜ AL;97;düşük (0);5,0;6/6;pozitif;notr;pozitif;45,47;2
4;NETAS;GÜÇLÜ AL;96;orta (28);10,7;4/6;yok;yok;yok;;0
5;POLHO;GÜÇLÜ AL;96;düşük (10);2,5;5/6;notr;negatif;yok;;0
6;TRCAS;GÜÇLÜ AL;96;düşük (14);1,2;4/6;pozitif;negatif;yok;;0
7;MANAS;GÜÇLÜ AL;95;orta (24);9,2;6/6;negatif;negatif;yok;;0
8;ENERY;GÜÇLÜ AL;95;orta (28);12,3;5/6;pozitif;notr;yok;;0
9;AHGAZ;GÜÇLÜ AL;94;orta (28);3,9;6/6;pozitif;notr;yok;;0
10;RYSAS;GÜÇLÜ AL;93;düşük (10);8,1;5/6;notr;negatif;yok;;0
11;ANELE;GÜÇLÜ AL;93;orta (35);0,2;4/6;negatif;negatif;yok;;0
12;KLSYN;GÜÇLÜ AL;93;düşük (0);4,4;3/6;negatif;negatif;yok;;1
13;ALARK;GÜÇLÜ AL;91;düşük (0);4,1;6/6;pozitif;notr;pozitif;154,34;1
14;VERUS;GÜÇLÜ AL;91;düşük (10);11,1;4/6;negatif;notr;yok;;0
15;OFSYM;GÜÇLÜ AL;90;düşük (10);4,0;6/6;notr;notr;notr;69,30;1
16;DMLKT;GÜÇLÜ AL;89;orta (36);2,0;5/6;yok;yok;pozitif;33,43;1
17;DEVA;GÜÇLÜ AL;88;orta (28);6,4;4/6;notr;pozitif;yok;;0
18;GUBRF;GÜÇLÜ AL;88;düşük (0);10,6;4/6;notr;notr;yok;;4
19;VBTYZ;GÜÇLÜ AL;88;düşük (20);7,5;4/6;notr;notr;yok;;0
20;CATES;GÜÇLÜ AL;87;orta (36);5,7;4/6;pozitif;notr;yok;;0
21;BORSK;GÜÇLÜ AL;87;düşük (8);6,1;5/6;notr;notr;yok;;0
22;AKSGY;GÜÇLÜ AL;87;düşük (10);3,9;1/6;pozitif;notr;pozitif;13,68;0
23;AVOD;GÜÇLÜ AL;87;düşük (6);8,2;6/6;negatif;negatif;yok;;0
24;INDES;GÜÇLÜ AL;87;düşük (0);6,6;3/6;notr;notr;pozitif;15,00;9
25;BAHKM;GÜÇLÜ AL;86;orta (28);11,2;4/6;negatif;notr;yok;;0
26;HUNER;GÜÇLÜ AL;86;orta (22);7,0;4/6;negatif;negatif;yok;;0
27;BRKVY;GÜÇLÜ AL;86;düşük (18);12,9;6/6;notr;negatif;yok;;0
28;BIMAS;GÜÇLÜ AL;85;düşük (0);2,4;3/6;notr;pozitif;pozitif;503,80;1
29;EUKYO;GÜÇLÜ AL;84;düşük (0);6,6;4/6;negatif;pozitif;yok;;0
30;BIGEN;GÜÇLÜ AL;84;düşük (20);16,4;4/6;negatif;yok;yok;;0
31;TUPRS;GÜÇLÜ AL;84;orta (30);6,7;2/6;pozitif;pozitif;pozitif;366,39;12
32;TNZTP;GÜÇLÜ AL;84;düşük (6);8,2;3/6;pozitif;notr;notr;44,00;0
33;MARTI;GÜÇLÜ AL;83;orta (35);4,7;5/6;negatif;notr;yok;;0
34;TARKM;GÜÇLÜ AL;82;düşük (0);14,5;4/6;yok;negatif;yok;;0
35;DURKN;GÜÇLÜ AL;82;orta (22);10,5;4/6;negatif;notr;yok;;0
36;TRHOL;GÜÇLÜ AL;82;orta (35);0,1;5/6;pozitif;notr;yok;;0
37;IEYHO;GÜÇLÜ AL;82;orta (35);0,3;6/6;negatif;notr;yok;;1
38;ARASE;GÜÇLÜ AL;82;düşük (8);8,0;3/6;pozitif;notr;notr;214,70;0
39;INVES;GÜÇLÜ AL;82;düşük (0);10,8;1/6;notr;notr;yok;;0
40;KUVVA;GÜÇLÜ AL;81;düşük (16);10,6;2/6;negatif;notr;yok;;1
41;KRPLS;GÜÇLÜ AL;81;düşük (0);8,8;2/6;negatif;yok;yok;;0
42;HALKB;GÜÇLÜ AL;81;orta (28);5,6;6/6;notr;notr;notr;48,18;9
43;KCHOL;GÜÇLÜ AL;80;orta (32);4,8;2/6;pozitif;pozitif;pozitif;321,79;4
44;KRDMA;GÜÇLÜ AL;80;düşük (10);26,0;4/6;pozitif;pozitif;notr;50,70;1
45;KARSN;GÜÇLÜ AL;80;orta (28);12,9;5/6;notr;notr;notr;18,53;0
46;ADGYO;GÜÇLÜ AL;80;düşük (10);15,5;0/6;negatif;negatif;yok;;0
47;OZSUB;GÜÇLÜ AL;80;düşük (10);8,8;1/6;notr;notr;yok;;0
48;TRMET;GÜÇLÜ AL;79;düşük (0);8,1;3/6;pozitif;notr;notr;168,00;0
49;CELHA;GÜÇLÜ AL;77;düşük (16);13,1;1/6;negatif;notr;yok;;1
50;TEHOL;GÜÇLÜ AL;76;düşük (10);20,6;3/6;pozitif;notr;yok;;0
51;ARDYZ;GÜÇLÜ AL;76;düşük (0);18,5;2/6;notr;pozitif;notr;156,00;0
52;GENIL;GÜÇLÜ AL;75;orta (32);17,1;1/6;notr;pozitif;yok;;0
53;SKYMD;AL;92;düşük (10);4,9;5/6;negatif;negatif;yok;;3
54;AKCNS;AL;88;düşük (16);4,7;2/6;pozitif;yok;notr;274,35;0
55;TRENJ;AL;85;düşük (16);6,5;3/6;pozitif;pozitif;notr;218,70;0
56;SOKM;AL;84;orta (22);5,3;3/6;negatif;notr;pozitif;85,42;1
57;RODRG;AL;83;düşük (0);6,6;5/6;pozitif;notr;yok;;0
58;TRALT;AL;80;düşük (10);11,1;2/6;pozitif;notr;notr;57,09;2
59;DIRIT;AL;78;düşük (6);8,7;4/6;negatif;notr;yok;;0
60;MRGYO;AL;78;düşük (12);15,9;5/6;pozitif;notr;yok;;0
61;DOHOL;AL;75;düşük (0);9,1;2/6;pozitif;notr;pozitif;32,43;0
62;ARMGD;AL;74;orta (22);11,7;3/6;notr;pozitif;notr;109,60;0
63;RUBNS;AL;74;düşük (0);22,1;2/6;notr;notr;yok;;0
64;BUCIM;AL;74;düşük (8);6,1;5/6;negatif;yok;yok;;0
65;KRGYO;AL;73;düşük (0);12,7;4/6;notr;negatif;yok;;0
66;PSDTC;AL;73;orta (22);21,5;4/6;notr;notr;yok;;0
67;BRSAN;AL;73;düşük (0);10,4;2/6;notr;pozitif;pozitif;803,18;0
68;AKBNK;AL;73;düşük (0);16,0;3/6;pozitif;notr;pozitif;107,11;3
69;AKFIS;AL;73;düşük (10);16,1;1/6;notr;notr;yok;;1
70;METRO;AL;72;düşük (0);12,2;0/6;pozitif;negatif;yok;;0
71;KLYPV;AL;72;düşük (0);15,6;4/6;notr;yok;yok;;1
72;TKFEN;AL;72;düşük (0);17,6;1/6;negatif;notr;notr;126,35;0
73;HURGZ;AL;71;düşük (6);17,3;1/6;negatif;negatif;yok;;0
74;KRDMD;AL;71;düşük (0);11,6;0/6;pozitif;pozitif;notr;50,70;1
75;PRZMA;AL;69;orta (22);26,3;1/6;negatif;notr;yok;;1
76;BLUME;AL;69;düşük (16);13,4;1/6;negatif;notr;yok;;0
77;DOCO;AL;69;orta (22);10,0;0/6;notr;notr;yok;;0
78;CVKMD;AL;68;düşük (6);15,1;0/6;notr;pozitif;yok;;0
79;ARTMS;AL;67;düşük (10);14,3;5/6;pozitif;negatif;yok;;0
80;EGGUB;AL;67;düşük (0);10,4;4/6;pozitif;pozitif;yok;;0
81;BIOEN;AL;66;düşük (10);12,3;2/6;negatif;notr;notr;22,00;0
82;ATATP;AL;66;orta (22);27,5;2/6;pozitif;pozitif;notr;472,00;1
83;CANTE;AL;65;düşük (0);14,2;5/6;notr;notr;yok;;1
84;ASELS;AL;65;düşük (6);8,5;0/6;pozitif;pozitif;pozitif;457,99;1
85;OZRDN;AL;65;düşük (0);20,0;4/6;negatif;notr;yok;;1
86;TBORG;AL;65;düşük (0);14,4;1/6;notr;pozitif;yok;;0
87;MTRKS;AL;64;düşük (0);19,6;1/6;pozitif;notr;yok;;0
88;ISMEN;AL;64;düşük (0);7,5;6/6;negatif;notr;yok;;10
89;TURGG;AL;63;orta (34);15,9;5/6;pozitif;yok;yok;;0
90;HKTM;AL;61;düşük (16);23,3;2/6;negatif;negatif;yok;;1
91;EYGYO;AL;60;düşük (10);8,6;4/6;negatif;pozitif;yok;;0
