sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;TEHOL;43,52;9,95;33,70;2897096197;03.09.2026
AL;DZGYO;7,62;7,48;6,86;102366211;03.09.2026
AL;KZGYO;21,24;4,02;18,82;98904485;03.09.2026
AL;AVOD;4,37;9,80;3,60;61426844;03.09.2026
SAT;ASTOR;293,5;-7,12;363,68;9398189915;03.09.2026
SAT;GLRMK;155;-3,67;181,91;645940335;03.09.2026
SAT;BIGTK;300;-7,19;394,41;421085400;03.09.2026
SAT;ULKER;88,65;-1,45;97,01;352083847;03.09.2026
SAT;OYAKC;21,06;-3,84;23,63;300408369;03.09.2026
SAT;ECILC;70;-3,45;80,64;265930560;03.09.2026
SAT;KCAER;13,92;-9,02;16,58;224935298;03.09.2026
SAT;KRDMB;110,7;-10,00;138,79;193930238;03.09.2026
SAT;IZFAS;49,46;-9,99;67,43;169574550;03.09.2026
SAT;KORDS;75,5;-9,63;93,40;144915229;03.09.2026
SAT;SDTTR;20,4;-3,86;24,84;129232552;03.09.2026
SAT;FRIGO;2,25;-10,00;2,80;127895600;03.09.2026
SAT;AKHAN;38,2;-4,60;44,30;127755354;03.09.2026
SAT;TGSAS;212;-3,59;279,18;123355168;03.09.2026
SAT;PATEK;19;-2,86;22,81;118428957;03.09.2026
SAT;ARSAN;3,79;-4,53;4,55;102870113;03.09.2026
SAT;DAGI;9,42;-5,04;11,32;85323638;03.09.2026
SAT;ADEL;30,84;-3,32;36,90;73798547;03.09.2026
SAT;FRMPL;31,14;-4,01;36,91;51906643;03.09.2026
SAT;EGPRO;35,72;-4,54;41,75;47786430;03.09.2026
SAT;RUZYE;7,83;-4,74;9,31;40141098;03.09.2026
SAT;IHAAS;49,52;-4,12;61,63;32463777;03.09.2026
SAT;MNDRS;10,95;-3,10;12,77;31951903;03.09.2026
SAT;MRSHL;1560;-1,64;1827,56;29396640;03.09.2026
SAT;DERHL;2,01;-2,90;2,28;20383376;03.09.2026
SAT;ETILR;5,41;-3,05;6,46;18450150;03.09.2026
SAT;GOLTS;292;-1,27;316,37;18302852;03.09.2026
SAT;SNICA;3,05;-2,56;3,62;16059494;03.09.2026
SAT;DERIM;34,54;-3,14;40,32;7529824;03.09.2026
SAT;COSMO;116,5;-4,12;144,82;5385795;03.09.2026
SAT;ERSU;22,66;-3,98;27,35;3996544;03.09.2026
SAT;ORMA;152;-1,30;166,45;2011872;03.09.2026
