sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;GENKM;11,15;6,39;9,38;1003194100;04.09.2026
AL;BALAT;78,95;9,50;67,38;4796686;04.09.2026
SAT;SVGYO;15,01;-8,20;19,11;1161734299;04.09.2026
SAT;INVES;765;-2,61;868,97;136869210;04.09.2026
SAT;VERUS;619,5;-9,96;766,32;79636725;04.09.2026
SAT;BYDNR;35,76;-1,92;40,32;49758037;04.09.2026
SAT;SEGMN;46,1;-1,91;56,19;29711634;04.09.2026
SAT;PAGYO;138;-4,70;159,59;19643472;04.09.2026
SAT;PAMEL;71,3;-2,79;79,53;16413688;04.09.2026
SAT;BIGEN;151,5;-9,98;188,58;11235240;04.09.2026
