hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
TKFEN;GUCLU AL;;98,6;35,0;28,6;35,0;28;0;guclu trend;30,0;74,7;58,5;yukari;guclu;yukselis;yukari;1,34;4,49;1;258;9,93;1975629840;203,20;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;PAHALI (SAT);6;17.09.2026
ISDMR;GUCLU AL;;98,6;33,6;30,0;35,0;8;0;guclu trend;26,4;64,5;69,9;yukari;guclu;yukselis;yukari;1,99;2,06;0;62,1;8,38;247826010;54,38;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;17.09.2026
ENERY;GUCLU AL;;98,2;35,0;29,0;34,2;28;0;guclu trend;46,9;73,9;62,2;yukari;guclu;yukselis;yukari;2,25;4,16;1;12,66;6,03;1891917629;11,31;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;17.09.2026
CEOEM;GUCLU AL;;97,3;32,4;29,8;35,0;28;0;guclu trend;23,4;72,3;82,8;yukari;guclu;yukselis;yukari;2,21;3,60;0;32;6,67;178730496;26,51;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;17.09.2026
CELHA;GUCLU AL;;96,5;35,0;30,0;31,5;0;0;guclu trend;30,6;61,7;71,8;yukari;guclu;yukselis;yukari;1,51;1,93;0;28;-1,20;103418028;24,80;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;17.09.2026
AGHOL;GUCLU AL;EVET;96,1;32,5;29,5;34,1;8;0;guclu trend;23,5;58,7;74,1;yukari;guclu;yukselis;yukari;1,26;1,27;2;34,88;5,00;240450861;31,63;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;17.09.2026
AHGAZ;GUCLU AL;;95,2;30,4;30,0;34,8;18;0;guclu trend;32,3;65,8;59,6;yukari;guclu;yukselis;yukari;1,78;2,86;1;40,98;5,08;531729146;37,30;AL;POZITIF;SAT;POZITIF;ARTIYOR;SAT;SAT;NOTR;3;17.09.2026
KRGYO;GUCLU AL;;91,8;35,0;30,0;26,8;0;0;guclu trend;46,1;55,6;56,7;yukari;guclu;yukselis;yukari;1,10;1,66;1;3,32;-9,78;92189455;3,16;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;17.09.2026
HUNER;GUCLU AL;;91,6;31,7;25,3;34,6;22;2;guclu trend;21,5;58,4;66,5;yukari;guclu;yukselis;yukari;1,94;1,20;2;4,02;2,55;496448413;3,50;SAT;POZITIF;AL;POZITIF;ARTIYOR;SAT;AL;NOTR;4;17.09.2026
EUKYO;GUCLU AL;;89,9;35,0;29,6;25,2;0;0;guclu trend;48,1;56,0;51,2;yukari;guclu;yukselis;yukari;0,95;1,35;1;13,9;-1,77;13512093;12,63;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;17.09.2026
