sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;KUYAS;72,65;0,48;63,45;1776129691;11.09.2026
AL;BJKAS;2,83;9,69;2,06;1678881143;11.09.2026
AL;ECOGR;37,7;3,91;32,03;202858460;11.09.2026
AL;MRSHL;1788;9,96;1442,70;156686016;11.09.2026
AL;BMSCH;11,6;3,76;10,06;108669020;11.09.2026
AL;GOZDE;24,4;5,17;21,35;72569480;11.09.2026
AL;AHSGY;17,09;9,97;13,66;26160398;11.09.2026
AL;GRNYO;13,62;9,93;10,80;19810876;11.09.2026
AL;KRTEK;5,8;2,11;4,98;13028070;11.09.2026
SAT;KRDMA;51,5;-6,96;65,05;669709039;11.09.2026
SAT;ARDYZ;80,45;-0,31;94,26;178740270;11.09.2026
SAT;ENDAE;16,61;-3,37;19,53;63196665;11.09.2026
SAT;ANELE;177,7;-9,98;221,63;24014023;11.09.2026
SAT;VANGD;88,3;-1,67;102,42;12879791;11.09.2026
SAT;CASA;66;-3,72;73,15;721050;11.09.2026
SAT;SNPAM;19,55;-0,76;21,36;484351;11.09.2026
