hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
POLHO;GUCLU AL;;99,8;34,8;30,0;35,0;10;1;guclu trend;29,5;62,8;37,4;yukari;guclu;yukselis;yukari;1,34;1,94;1;23,18;3,48;56357928;20,89;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;07.09.2026
KRPLS;GUCLU AL;;98,8;35,0;28,8;35,0;28;0;guclu trend;43,7;74,4;79,3;yukari;guclu;yukselis;yukari;2,04;4,27;0;12,43;10,00;101028914;10,07;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;07.09.2026
BAHKM;izle;;98,1;35,0;28,7;34,3;46;1;guclu trend;45,7;74,6;78,9;yukari;guclu;yukselis;yukari;2,42;3,41;2;168,7;-1,40;570553522;138,64;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;07.09.2026
ENERY;GUCLU AL;;97,1;35,0;30,0;32,1;28;0;guclu trend;34,6;71,8;97,2;yukari;guclu;yukselis;yukari;1,52;3,27;0;10,79;-2,26;702543255;9,63;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;07.09.2026
SKYMD;AL;;95,7;30,7;30,0;35,0;20;1;ilimli;19,0;68,3;77,2;yukari;guclu;yukselis;yukari;2,73;2,90;1;17,13;9,95;130158862;13,60;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;07.09.2026
CATES;GUCLU AL;;95,7;35,0;30,0;30,7;16;0;guclu trend;50,4;58,8;67,2;yukari;guclu;yukselis;yukari;1,48;2,56;3;64,9;-9,86;364036301;60,79;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;07.09.2026
TRCAS;GUCLU AL;;95,2;31,7;30,0;33,5;6;0;guclu trend;21,5;59,8;68,3;yukari;guclu;yukselis;yukari;1,21;1,88;3;48,86;-0,69;61155424;43,80;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;07.09.2026
KLSYN;GUCLU AL;;95,1;34,1;26,0;35,0;10;0;guclu trend;27,8;64,1;68,7;yukari;guclu;yukselis;yukari;1,63;2,25;0;16,15;2,93;79041265;14,08;SAT;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;5;07.09.2026
BORSK;GUCLU AL;;95,0;30,0;30,0;35,0;0;0;zayif;34,3;67,1;71,4;yukari;guclu;yukselis;yukari;1,92;1,97;2;6,8;3,50;120402520;5,78;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;07.09.2026
VAKBN;GUCLU AL;;94,9;33,5;29,4;32,0;8;0;guclu trend;26,0;58,5;63,2;yukari;guclu;yukselis;yukari;1,21;1,24;2;33,32;-0,89;2260552117;30,13;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;07.09.2026
TURGG;GUCLU AL;EVET;94,4;30,0;30,0;34,4;30;2;zayif;32,5;71,1;74,1;yukari;guclu;yukselis;yukari;2,62;1,98;1;31,22;7,95;88526183;25,81;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;07.09.2026
ATSYH;izle;;94,0;29,0;30,0;35,0;52;3;ilimli;14,6;61,3;63,3;yukari;guclu;yukselis;yukari;1,31;3,45;2;134;8,94;7994038;112,53;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;07.09.2026
ALKLC;izle;;93,9;35,0;24,7;34,2;45;1;guclu trend;61,3;82,7;47,1;yukari;guclu;yukselis;yukari;1,25;5,17;2;460;0,99;1295251440;429,36;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;07.09.2026
RYSAS;GUCLU AL;;93,8;35,0;30,0;28,8;10;0;guclu trend;35,7;62,7;77,5;yukari;guclu;yukselis;yukari;1,08;2,42;2;28,12;-0,64;512932899;24,77;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;07.09.2026
ISDMR;AL;EVET;93,1;30,3;30,0;32,8;10;0;ilimli;18,0;68,7;77,3;yukari;guclu;yukselis;yukari;1,92;2,23;0;59,5;7,79;202629452;49,77;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;07.09.2026
BOBET;izle;;92,2;30,0;30,0;32,2;60;3;zayif;40,5;71,3;66,8;yukari;guclu;yukselis;yukari;1,13;3,43;0;23,8;8,38;248599044;19,08;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;07.09.2026
