sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;SISE;45,82;9,99;39,09;10761054725;08.09.2026
AL;HEKTS;3;6,76;2,57;3769247826;08.09.2026
AL;FROTO;82,8;3,95;75,18;2831411081;08.09.2026
AL;AKSA;11,55;5,87;10,29;593922529;08.09.2026
AL;GMTAS;48,9;3,91;42,49;245446753;08.09.2026
AL;PRKAB;33,66;10,00;29,48;162686926;08.09.2026
AL;EGEEN;5537,5;9,98;4744,88;136338788;08.09.2026
AL;ERCB;47,5;5,65;40,99;120536238;08.09.2026
AL;BVSAN;121,7;9,94;104,02;89862428;08.09.2026
AL;ETILR;6,52;5,50;5,10;70097948;08.09.2026
SAT;BLUME;37,9;-2,07;45,13;92022489;08.09.2026
SAT;RUBNS;28,8;-2,44;35,24;72307382;08.09.2026
