hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
TGSAS;GUCLU AL;;99,2;35,0;29,2;35,0;28;0;guclu trend;30,8;73,6;84,8;yukari;guclu;yukselis;yukari;4,21;4,72;0;268,5;9,95;729825423;198,54;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;27.08.2026
GESAN;GUCLU AL;;99,0;34,4;30,0;34,6;28;0;guclu trend;28,3;70,4;70,0;yukari;guclu;yukselis;yukari;1,53;3,54;1;93,6;1,52;1530292514;83,74;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;27.08.2026
MTRKS;GUCLU AL;;97,5;35,0;30,0;32,5;10;0;guclu trend;32,5;63,2;87,3;yukari;guclu;yukselis;yukari;2,36;2,62;1;34,36;-0,69;134998310;31,00;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;27.08.2026
SANFM;GUCLU AL;;97,5;35,0;27,5;35,0;28;0;guclu trend;30,8;77,1;81,2;yukari;guclu;yukselis;yukari;1,39;3,98;0;11,16;2,20;80541363;9,85;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;27.08.2026
ARSAN;GUCLU AL;;97,0;35,0;28,3;33,6;28;0;guclu trend;33,0;75,4;98,3;yukari;guclu;yukselis;yukari;1,22;3,81;0;4,25;-0,93;137666459;3,69;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;27.08.2026
BAHKM;izle;;96,9;35,0;26,9;35,0;45;1;guclu trend;36,3;78,2;90,7;yukari;guclu;yukselis;yukari;4,10;4,71;0;159;9,96;559260558;128,13;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;27.08.2026
AKFIS;GUCLU AL;;96,1;35,0;28,1;33,0;38;1;guclu trend;30,4;75,9;84,0;yukari;guclu;yukselis;yukari;1,18;4,79;1;19,43;1,46;468291562;16,36;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;PAHALI (SAT);6;27.08.2026
PEKGY;izle;;95,7;33,1;27,6;35,0;60;3;guclu trend;25,1;76,7;63,5;yukari;guclu;yukselis;yukari;1,37;3,26;1;16,5;1,85;3448717025;14,42;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;27.08.2026
HATSN;GUCLU AL;;95,7;34,1;26,6;35,0;35;0;guclu trend;27,7;78,9;90,5;yukari;guclu;yukselis;yukari;1,40;5,10;0;79,4;2,12;714819382;65,09;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;27.08.2026
DURKN;GUCLU AL;;95,3;34,5;30,0;30,8;0;0;guclu trend;28,6;60,3;75,9;yukari;guclu;yukselis;yukari;1,16;1,64;1;22,74;-3,56;71287512;19,66;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;27.08.2026
