sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;RYSAS;GÜÇLÜ AL;100;orta (28);0,0;6/6;notr;negatif;yok;;4
2;KRDMD;GÜÇLÜ AL;99;düşük (18);1,2;6/6;pozitif;pozitif;notr;50,70;0
3;EUPWR;GÜÇLÜ AL;98;düşük (10);6,5;5/6;notr;notr;yok;;0
4;HUNER;GÜÇLÜ AL;98;orta (30);3,8;6/6;negatif;negatif;yok;;0
5;GESAN;GÜÇLÜ AL;98;düşük (20);5,5;5/6;notr;notr;yok;;0
6;TARKM;GÜÇLÜ AL;98;düşük (18);5,6;5/6;yok;negatif;yok;;0
7;TNZTP;GÜÇLÜ AL;97;orta (28);1,6;6/6;pozitif;notr;notr;44,00;0
8;BIMAS;GÜÇLÜ AL;97;düşük (0);4,3;4/6;notr;pozitif;pozitif;503,80;1
9;ARSAN;GÜÇLÜ AL;96;orta (35);3,9;5/6;notr;pozitif;yok;;0
10;SANFM;GÜÇLÜ AL;96;düşük (0);11,6;5/6;notr;notr;yok;;0
11;PSDTC;GÜÇLÜ AL;96;orta (32);12,6;5/6;notr;notr;yok;;0
12;HATSN;GÜÇLÜ AL;95;orta (28);13,6;5/6;negatif;negatif;yok;;0
13;AHGAZ;GÜÇLÜ AL;95;düşük (20);6,3;5/6;pozitif;notr;yok;;0
14;KUVVA;GÜÇLÜ AL;94;düşük (20);5,9;5/6;negatif;negatif;yok;;0
15;TBORG;GÜÇLÜ AL;94;düşük (20);4,3;4/6;notr;pozitif;yok;;0
16;RYGYO;GÜÇLÜ AL;94;orta (35);0,0;6/6;pozitif;notr;yok;;0
17;KCHOL;GÜÇLÜ AL;94;orta (32);5,5;4/6;pozitif;pozitif;pozitif;321,79;1
18;VERUS;GÜÇLÜ AL;94;düşük (10);14,1;4/6;negatif;notr;yok;;0
19;ORGE;GÜÇLÜ AL;93;orta (30);11,7;6/6;pozitif;notr;yok;;0
20;KRDMA;GÜÇLÜ AL;93;orta (35);0,0;6/6;pozitif;pozitif;notr;50,70;0
21;SELEC;GÜÇLÜ AL;93;orta (35);2,5;6/6;notr;notr;notr;129,78;0
22;KLSYN;GÜÇLÜ AL;93;düşük (8);5,5;3/6;negatif;negatif;yok;;0
23;TGSAS;GÜÇLÜ AL;92;düşük (0);20,9;5/6;pozitif;negatif;yok;;0
24;DEVA;GÜÇLÜ AL;92;orta (36);0,5;6/6;notr;pozitif;yok;;0
25;INDES;GÜÇLÜ AL;92;düşük (18);3,3;5/6;notr;notr;pozitif;15,00;9
26;DAGI;GÜÇLÜ AL;91;düşük (0);12,8;3/6;negatif;pozitif;yok;;0
27;TUPRS;GÜÇLÜ AL;91;orta (38);1,8;4/6;pozitif;pozitif;pozitif;357,35;3
28;GUBRF;GÜÇLÜ AL;90;düşük (0);10,7;5/6;notr;notr;yok;;1
29;DURKN;GÜÇLÜ AL;89;düşük (8);8,8;4/6;negatif;notr;yok;;0
30;PASEU;GÜÇLÜ AL;89;düşük (20);11,1;5/6;notr;negatif;yok;;0
31;EDIP;GÜÇLÜ AL;89;düşük (10);5,3;6/6;pozitif;notr;yok;;0
32;DMLKT;GÜÇLÜ AL;89;orta (34);5,4;4/6;yok;yok;pozitif;33,43;2
33;VBTYZ;GÜÇLÜ AL;89;düşük (10);5,7;4/6;notr;notr;yok;;1
34;TRMET;GÜÇLÜ AL;89;düşük (10);3,7;6/6;pozitif;notr;notr;168,00;0
35;AKFIS;GÜÇLÜ AL;88;düşük (20);9,7;4/6;notr;notr;yok;;1
36;ADGYO;GÜÇLÜ AL;88;düşük (6);13,8;2/6;negatif;negatif;yok;;0
37;KRPLS;GÜÇLÜ AL;88;düşük (0);7,3;4/6;negatif;yok;yok;;0
38;AKSGY;GÜÇLÜ AL;88;düşük (0);3,3;4/6;pozitif;notr;pozitif;13,68;0
