sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;POLHO;GÜÇLÜ AL;100;düşük (20);0,4;6/6;notr;negatif;yok;;0
2;VAKBN;GÜÇLÜ AL;99;orta (28);0,0;6/6;pozitif;notr;pozitif;45,47;3
3;HALKB;GÜÇLÜ AL;98;orta (32);7,0;5/6;notr;notr;notr;48,18;10
4;BAHKM;GÜÇLÜ AL;98;orta (28);7,3;4/6;negatif;notr;yok;;0
5;RYSAS;GÜÇLÜ AL;97;düşük (10);8,7;4/6;notr;negatif;yok;;0
6;SKYMD;GÜÇLÜ AL;96;düşük (20);4,3;6/6;negatif;negatif;yok;;1
7;BORSK;GÜÇLÜ AL;95;orta (22);3,2;6/6;notr;notr;yok;;2
8;TURGG;GÜÇLÜ AL;94;orta (30);4,3;6/6;pozitif;yok;yok;;0
9;TARKM;GÜÇLÜ AL;94;düşük (0);8,0;4/6;yok;negatif;yok;;0
10;GUBRF;GÜÇLÜ AL;92;düşük (18);5,9;6/6;notr;notr;yok;;4
11;KRGYO;GÜÇLÜ AL;91;orta (36);0,0;6/6;notr;negatif;yok;;0
12;ENERY;GÜÇLÜ AL;91;orta (28);9,0;5/6;pozitif;notr;yok;;0
13;AVOD;GÜÇLÜ AL;91;düşük (6);12,4;5/6;negatif;negatif;yok;;0
14;BIMAS;GÜÇLÜ AL;91;düşük (18);0,5;6/6;notr;pozitif;pozitif;503,80;3
15;RYGYO;GÜÇLÜ AL;90;düşük (10);12,0;3/6;pozitif;notr;yok;;0
16;DEVA;GÜÇLÜ AL;90;orta (28);0,5;5/6;notr;pozitif;yok;;0
17;AGHOL;GÜÇLÜ AL;90;düşük (0);2,7;5/6;notr;notr;pozitif;50,40;1
18;CELHA;GÜÇLÜ AL;89;düşük (16);7,2;5/6;negatif;notr;yok;;0
19;AHGAZ;GÜÇLÜ AL;89;düşük (10);5,2;4/6;pozitif;notr;yok;;0
20;ALARK;GÜÇLÜ AL;89;düşük (10);1,1;6/6;pozitif;notr;pozitif;154,34;3
21;ISDMR;GÜÇLÜ AL;88;düşük (10);7,5;6/6;pozitif;notr;notr;68,20;0
22;INDES;GÜÇLÜ AL;88;düşük (8);3,0;5/6;notr;notr;pozitif;15,00;0
23;KRPLS;GÜÇLÜ AL;88;orta (32);12,6;6/6;negatif;yok;yok;;0
24;TRCAS;GÜÇLÜ AL;87;düşük (6);1,9;6/6;pozitif;negatif;yok;;0
25;MANAS;GÜÇLÜ AL;87;orta (35);2,4;5/6;negatif;negatif;yok;;0
26;IEYHO;GÜÇLÜ AL;87;orta (35);0,4;4/6;negatif;notr;yok;;0
27;ETYAT;GÜÇLÜ AL;86;düşük (0);5,7;5/6;negatif;yok;yok;;0
28;SISE;GÜÇLÜ AL;86;düşük (18);5,1;6/6;pozitif;notr;pozitif;63,50;2
29;MARTI;GÜÇLÜ AL;86;orta (28);4,6;5/6;negatif;notr;yok;;1
30;NETAS;GÜÇLÜ AL;85;düşük (10);15,3;3/6;yok;yok;yok;;0
31;BRSAN;GÜÇLÜ AL;85;düşük (20);4,3;5/6;notr;pozitif;pozitif;803,18;2
32;PNSUT;GÜÇLÜ AL;85;düşük (0);5,5;6/6;negatif;notr;yok;;0
33;TEHOL;GÜÇLÜ AL;85;düşük (10);12,7;6/6;pozitif;notr;yok;;0
34;MRGYO;GÜÇLÜ AL;85;düşük (8);8,0;4/6;pozitif;notr;yok;;0
35;CATES;GÜÇLÜ AL;84;düşük (6);15,9;2/6;pozitif;notr;yok;;0
36;VBTYZ;GÜÇLÜ AL;84;düşük (20);5,5;2/6;notr;notr;yok;;0
37;EUKYO;GÜÇLÜ AL;84;düşük (0);5,5;4/6;negatif;pozitif;yok;;0
38;KZGYO;GÜÇLÜ AL;84;orta (35);0,0;6/6;notr;negatif;yok;;0
39;KLSYN;GÜÇLÜ AL;84;düşük (0);3,8;5/6;negatif;negatif;yok;;0
40;OFSYM;GÜÇLÜ AL;84;düşük (0);6,0;3/6;notr;notr;notr;69,30;5
41;FLAP;GÜÇLÜ AL;84;düşük (0);16,7;6/6;notr;notr;yok;;0
42;HUNER;GÜÇLÜ AL;83;orta (22);9,5;1/6;negatif;negatif;yok;;1
43;NIBAS;GÜÇLÜ AL;83;düşük (18);6,5;6/6;negatif;notr;yok;;0
44;GENIL;GÜÇLÜ AL;83;orta (28);8,8;3/6;notr;pozitif;yok;;1
45;KRDMD;GÜÇLÜ AL;83;düşük (0);4,3;4/6;pozitif;pozitif;notr;50,70;1
46;ISCTR;GÜÇLÜ AL;82;orta (28);8,3;6/6;pozitif;negatif;pozitif;21,58;5
47;PETUN;GÜÇLÜ AL;82;düşük (8);6,1;6/6;pozitif;notr;yok;;1
48;TKFEN;GÜÇLÜ AL;82;düşük (10);13,5;3/6;negatif;notr;notr;126,35;0
