sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;UNLU;11,33;10,00;9,82;29036139;16.09.2026
SAT;AKBNK;65,2;-6,25;74,93;20102019662;16.09.2026
SAT;ASELS;360;-4,51;413,49;16710953040;16.09.2026
SAT;YKBNK;32,12;-7,38;37,23;15378964522;16.09.2026
SAT;ISCTR;12,22;-8,53;14,36;14064480116;16.09.2026
SAT;KCHOL;206,5;-5,62;229,66;8536970397;16.09.2026
SAT;GARAN;120,9;-5,40;136,38;6534687194;16.09.2026
SAT;SISE;38,22;-9,86;46,60;6382897352;16.09.2026
SAT;TRALT;47,34;-6,16;56,70;6142363911;16.09.2026
SAT;SAHOL;84,3;-6,64;96,46;5447544062;16.09.2026
SAT;EKGYO;18,2;-8,08;21,83;4645163468;16.09.2026
SAT;VAKBN;30,86;-8,91;38,36;3758707234;16.09.2026
SAT;TTKOM;49,84;-9,13;60,22;3624337637;16.09.2026
SAT;PETKM;20,98;-7,50;25,77;3519781473;16.09.2026
SAT;FROTO;74,65;-4,78;83,94;3071880869;16.09.2026
SAT;KRDMD;41,56;-5,55;48,15;2910105385;16.09.2026
SAT;ENKAI;81,95;-4,49;92,02;1590641059;16.09.2026
SAT;BRSAN;637,5;-1,54;709,48;1589966438;16.09.2026
SAT;HEKTS;2,41;-9,74;3,00;1243281520;16.09.2026
SAT;GENIL;9,99;-10,00;12,39;1138283507;16.09.2026
SAT;AEFES;18,14;-4,43;20,18;1055375840;16.09.2026
SAT;GUBRF;415;-9,98;502,55;790139665;16.09.2026
SAT;KUYAS;62,7;-9,98;76,99;782496752;16.09.2026
SAT;ALTNY;14,96;-9,99;18,92;645115143;16.09.2026
SAT;TRMET;125,1;-5,30;146,21;576211726;16.09.2026
SAT;ALARK;104,6;-4,04;117,47;519165050;16.09.2026
SAT;MIATK;31,22;-9,98;41,24;322545090;16.09.2026
SAT;IHLAS;1,04;-9,57;1,28;295731685;16.09.2026
SAT;ALBRK;7,99;-4,88;9,13;274686948;16.09.2026
SAT;MCARD;137,7;-9,94;187,62;241580467;16.09.2026
SAT;ALKLC;468;-10,00;544,89;219392784;16.09.2026
SAT;ARCLK;86,85;-4,77;96,02;194375164;16.09.2026
SAT;TRGYO;89,9;-2,28;96,70;185008267;16.09.2026
SAT;KLYPV;57,5;-4,01;66,63;182393738;16.09.2026
SAT;OBAMS;4,8;-7,51;5,75;162944578;16.09.2026
SAT;BIOEN;16,27;-9,96;20,46;149712782;16.09.2026
SAT;LOGO;127,4;-5,21;142,97;147656345;16.09.2026
SAT;ADGYO;53,95;-4,60;64,23;138352941;16.09.2026
SAT;BERA;12,3;-6,82;14,25;133653239;16.09.2026
SAT;RTALB;2,64;-3,65;3,16;129545320;16.09.2026
SAT;PRKAB;29,7;-2,37;34,64;119744341;16.09.2026
SAT;ALGYO;3,32;-5,14;3,89;116036317;16.09.2026
SAT;KZGYO;25;-9,94;31,80;107124300;16.09.2026
