sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
SAT;AKFGY;2,54;-6,27;2,97;101741089;16.09.2026
SAT;HLGYO;4;-4,31;4,62;100938540;16.09.2026
SAT;BOBET;20,16;-10,00;26,65;100342912;16.09.2026
SAT;ZERGY;8,31;-9,97;10,57;92251147;16.09.2026
SAT;RALYH;238,5;-10,00;289,77;86584802;16.09.2026
SAT;PCILT;29,34;-1,41;34,31;85848195;16.09.2026
SAT;OZKGY;12,21;-2,94;13,54;85787900;16.09.2026
SAT;RUZYE;7,61;-8,31;9,97;85100530;16.09.2026
SAT;PAPIL;11,14;-7,93;13,70;81471198;16.09.2026
SAT;BORSK;5,91;-3,90;7,09;80472463;16.09.2026
SAT;INDES;10,59;-5,02;12,03;77798291;16.09.2026
SAT;JANTS;15,24;-5,63;18,09;76667777;16.09.2026
SAT;YIGIT;20,1;-4,74;22,79;74085726;16.09.2026
SAT;METRO;7,58;-6,99;8,97;71175154;16.09.2026
SAT;KLSYN;14,13;-9,94;17,19;70987354;16.09.2026
SAT;EGGUB;100,3;-8,32;117,45;67898486;16.09.2026
SAT;GOODY;2,51;-3,83;2,86;65564892;16.09.2026
SAT;BLCYT;1,82;-8,08;2,36;58956503;16.09.2026
SAT;VBTYZ;30,62;-6,65;37,61;58513932;16.09.2026
SAT;NTGAZ;10,4;-6,22;11,84;57797782;16.09.2026
SAT;ANGEN;8,35;-5,54;10,01;57344068;16.09.2026
SAT;HKTM;11,94;-5,24;14,64;56022492;16.09.2026
SAT;IHLGM;1,51;-5,03;1,78;55890778;16.09.2026
SAT;CATES;56,7;-10,00;74,91;54500891;16.09.2026
SAT;AGESA;235,7;-3,40;262,88;47963300;16.09.2026
SAT;YGGYO;214,1;-4,25;238,79;46293558;16.09.2026
SAT;NIBAS;3,76;-8,52;4,93;44952639;16.09.2026
SAT;SERNT;7,24;-8,93;8,68;44594874;16.09.2026
SAT;POLHO;20,94;-3,06;23,48;39727577;16.09.2026
SAT;BESLR;12,03;-3,99;13,44;38405895;16.09.2026
SAT;AYDEM;23,98;-5,59;27,67;37904850;16.09.2026
SAT;AVOD;3,86;-3,74;4,73;35368767;16.09.2026
SAT;PRZMA;62,9;-9,95;86,90;34340947;16.09.2026
SAT;BUCIM;5,36;-3,42;5,95;34163407;16.09.2026
SAT;BNTAS;5,74;-6,21;6,48;31321045;16.09.2026
SAT;DESA;8,9;-6,71;10,44;31121280;16.09.2026
SAT;BAGFS;25,5;-6,87;30,34;30204240;16.09.2026
SAT;ARASE;109,2;-4,71;126,57;30151321;16.09.2026
SAT;GOZDE;21,32;-4,14;24,70;29633286;16.09.2026
SAT;FMIZP;276,25;-3,66;310,00;24784874;16.09.2026
SAT;MHRGY;2;-7,41;2,39;23553914;16.09.2026
SAT;DYOBY;12,3;-3,30;13,77;21648197;16.09.2026
SAT;IHGZT;1,14;-4,20;1,31;19901999;16.09.2026
SAT;RNPOL;2,13;-3,18;2,47;19108106;16.09.2026
SAT;TSGYO;5,23;-5,94;6,09;17726065;16.09.2026
SAT;DOKTA;20,88;-6,45;24,48;12662008;16.09.2026
SAT;KERVN;7,74;-10,00;10,05;9129500;16.09.2026
SAT;BIZIM;22,62;-6,76;26,27;8151388;16.09.2026
SAT;IEYHO;207;-10,00;224,55;6179985;16.09.2026
SAT;GRNYO;10,7;-6,47;13,46;5535356;16.09.2026
SAT;IHEVA;1,85;-6,09;2,11;3820222;16.09.2026
SAT;KLNMA;8,6;-2,49;9,13;1902114;16.09.2026
SAT;ISBIR;68;-4,23;75,93;1152668;16.09.2026
SAT;EMNIS;149;-1,26;160,01;1051642;16.09.2026
SAT;SODSN;6,81;-4,49;7,50;776286;16.09.2026
