hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
EDIP;GUCLU AL;;96,9;32,8;30,0;34,1;10;1;guclu trend;24,5;63,7;54,7;yukari;guclu;yukselis;yukari;2,29;1,67;1;40,36;0,25;241568242;32,91;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;01.09.2026
KCHOL;izle;;92,1;35,0;30,0;27,1;42;2;guclu trend;30,3;61,8;68,9;yukari;guclu;yukselis;yukari;0,86;2,20;4;217,3;1,12;5996009748;202,86;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;AL;NOTR;5;01.09.2026
KRDMA;GUCLU AL;;92,0;35,0;22,9;34,1;35;0;guclu trend;43,7;86,2;95,1;yukari;guclu;yukselis;yukari;1,30;6,39;0;67,85;1,80;946390866;58,52;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;01.09.2026
INDES;GUCLU AL;;90,8;34,4;30,0;26,4;18;0;guclu trend;28,6;65,8;84,0;yukari;guclu;yukselis;yukari;0,78;2,26;0;11,89;0,17;68381043;10,83;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;01.09.2026
RYSAS;GUCLU AL;;90,1;35,0;28,8;26,2;28;0;guclu trend;32,0;74,3;85,0;yukari;guclu;yukselis;yukari;0,77;4,26;1;29,62;2,85;353845081;24,79;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
AGESA;izle;;90,1;33,2;30,0;26,9;58;4;guclu trend;25,3;70,6;72,4;yukari;guclu;yukselis;yukari;0,81;2,57;1;263,5;0,86;58613731;239,61;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;01.09.2026
VBTYZ;GUCLU AL;;90,0;35,0;30,0;25,0;20;0;guclu trend;34,3;64,1;77,2;yukari;guclu;yukselis;yukari;0,38;3,19;0;38,82;2,86;47172356;32,80;AL;POZITIF;AL;POZITIF;AZALIYOR;SAT;SAT;NOTR;4;01.09.2026
AYGAZ;izle;;90,0;35,0;30,0;25,0;50;2;guclu trend;44,5;69,2;80,2;yukari;guclu;yukselis;yukari;0,66;4,12;1;336;0,30;315101136;304,27;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
KUVVA;GUCLU AL;;89,9;35,0;30,0;24,9;36;1;guclu trend;35,5;70,1;85,2;yukari;guclu;yukselis;yukari;0,61;2,88;2;193,6;2,98;24664446;163,41;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;01.09.2026
TARKM;GUCLU AL;;89,7;34,8;30,0;25,0;28;0;guclu trend;29,4;72,1;88,0;yukari;guclu;yukselis;yukari;0,54;3,00;0;570,5;1,24;56077868;479,25;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
DIRIT;AL;;89,5;25,2;30,0;34,3;34;0;zayif;17,6;65,4;74,1;yukari;guclu;yukselis;yukari;1,26;3,34;3;29,44;9,93;2774161;25,54;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;01.09.2026
BRLSM;GUCLU AL;EVET;89,3;35,0;30,0;24,3;10;0;guclu trend;33,5;66,9;68,6;yukari;guclu;yukselis;yukari;1,09;2,91;1;22,7;-7,27;284734000;21,64;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;01.09.2026
TUPRS;izle;;89,2;35,0;29,2;25,0;46;1;guclu trend;52,1;73,6;80,6;yukari;guclu;yukselis;yukari;0,46;5,96;1;411;2,69;6178244064;365,86;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;01.09.2026
DMLKT;GUCLU AL;;88,7;35,0;30,0;23,7;26;0;guclu trend;51,4;69,1;80,8;yukari;guclu;yukselis;yukari;0,18;3,74;3;6,88;-0,43;11756757;6,58;AL;POZITIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;3;01.09.2026
HUNER;GUCLU AL;;88,7;33,7;30,0;25,0;30;2;guclu trend;26,6;62,7;73,5;yukari;guclu;yukselis;yukari;0,34;1,91;1;4,04;1,00;52644933;3,50;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
KRDMD;GUCLU AL;;88,5;34,2;30,0;24,3;8;0;guclu trend;27,9;59,1;83,3;yukari;guclu;yukselis;yukari;0,56;1,95;2;45,9;-3,12;1572792096;41,86;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;01.09.2026
BRSAN;GUCLU AL;;88,4;35,0;30,0;23,4;10;0;guclu trend;37,6;62,7;66,7;yukari;guclu;yukselis;yukari;0,22;2,95;1;714;-1,38;507451938;635,12;AL;POZITIF;AL;POZITIF;AZALIYOR;SAT;SAT;NOTR;4;01.09.2026
AKSGY;GUCLU AL;;88,1;35,0;28,1;25,0;0;0;guclu trend;30,3;57,7;66,8;yukari;guclu;yukselis;yukari;0,11;1,58;0;10,05;0,40;5699325;9,55;AL;POZITIF;AL;POZITIF;AZALIYOR;SAT;SAT;NOTR;4;01.09.2026
DEVA;GUCLU AL;;88,1;35,0;28,1;25,0;36;0;guclu trend;41,7;75,9;71,8;yukari;guclu;yukselis;yukari;0,53;4,76;0;94,85;1,28;48222973;82,40;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
ARSAN;GUCLU AL;;88,0;35,0;30,0;23,0;20;0;guclu trend;41,0;69,7;95,7;yukari;guclu;yukselis;yukari;0,45;3,18;0;4,26;-3,18;54770415;3,79;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;01.09.2026
BORSK;GUCLU AL;EVET;87,9;24,9;28,3;34,7;8;0;zayif;28,0;59,5;74,4;yukari;guclu;yukselis;yukari;1,33;1,00;2;6,37;3,75;57598425;5,76;AL;POZITIF;AL;NEGATIF;ARTIYOR;AL;AL;NOTR;5;01.09.2026
AKFIS;GUCLU AL;;87,7;34,7;30,0;23,0;20;1;guclu trend;29,3;61,6;72,9;yukari;guclu;yukselis;yukari;0,33;2,90;1;18,18;2,13;130849350;16,36;AL;POZITIF;AL;POZITIF;AZALIYOR;SAT;SAT;PAHALI (SAT);4;01.09.2026
PRZMA;GUCLU AL;EVET;87,6;35,0;30,0;22,6;32;2;guclu trend;30,7;62,1;74,1;yukari;guclu;yukselis;yukari;0,18;2,67;1;88,2;-3,08;83222521;67,71;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;PAHALI (SAT);5;01.09.2026
RGYAS;izle;;87,3;33,7;28,6;25,0;40;4;guclu trend;26,6;57,1;82,0;yukari;guclu;yukselis;yukari;0,42;1,73;1;210,5;-2,27;191495218;199,35;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;01.09.2026
TNZTP;GUCLU AL;;87,1;32,1;30,0;25,0;28;0;guclu trend;22,6;70,7;44,1;yukari;guclu;yukselis;yukari;0,57;3,12;1;31,9;-0,31;71011729;27,67;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;01.09.2026
BAHKM;GUCLU AL;EVET;87,0;35,0;27,6;24,3;38;1;guclu trend;43,4;76,7;85,2;yukari;guclu;yukselis;yukari;0,81;3,76;0;159,6;-0,99;147633352;138,64;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;01.09.2026
TRCAS;GUCLU AL;;86,9;32,1;29,8;25,0;14;0;guclu trend;22,6;57,1;62,7;yukari;guclu;yukselis;yukari;0,17;1,41;3;47,46;0,64;7952398;42,94;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
AHGAZ;GUCLU AL;;86,5;32,2;30,0;24,3;28;0;guclu trend;22,7;71,6;86,5;yukari;guclu;yukselis;yukari;0,54;3,44;1;38,6;1,63;98046972;34,46;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;01.09.2026
ANELE;izle;;86,0;35,0;23,8;27,3;67;3;guclu trend;34,8;84,5;92,4;yukari;guclu;yukselis;yukari;0,84;5,26;0;191,5;0,52;917563441;152,16;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;PAHALI (SAT);6;01.09.2026
BIGEN;izle;;85,6;35,0;24,7;25,8;57;2;guclu trend;41,7;82,5;97,5;yukari;guclu;yukselis;yukari;0,80;5,87;0;187,2;1,85;770551142;151,17;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;PAHALI (SAT);6;01.09.2026
BIMAS;GUCLU AL;;85,1;33,9;27,1;24,1;0;0;guclu trend;27,3;52,5;49,6;yukari;guclu;yukselis;yukari;0,44;1,01;1;402,5;-0,74;1779220660;383,65;AL;POZITIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;3;01.09.2026
OFSYM;GUCLU AL;;85,0;30,0;30,0;25,0;18;0;zayif;45,4;66,5;63,2;yukari;guclu;yukselis;yukari;0,37;2,65;0;69,65;3,88;85340613;56,79;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
TBORG;GUCLU AL;;85,0;30,0;30,0;25,0;36;0;zayif;42,3;70,5;83,9;yukari;guclu;yukselis;yukari;0,56;3,64;0;164,1;1,93;32666238;143,79;AL;POZITIF;AL;POZITIF;AZALIYOR;SAT;AL;NOTR;5;01.09.2026
