sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;PATEK;22,98;9,95;17,86;1095747435;10.09.2026
AL;AEFES;19,58;0,62;18,08;756860436;10.09.2026
AL;AKFGY;2,87;9,96;2,50;275361636;10.09.2026
AL;LOGO;143,1;3,62;131,11;173802391;10.09.2026
AL;CEOEM;26,3;5,20;22,13;42230857;10.09.2026
AL;KERVN;9,9;7,73;7,98;8861213;10.09.2026
AL;TRILC;1,1;1,85;1,03;3810224;10.09.2026
SAT;AKCNS;231,4;-5,86;250,39;307642366;10.09.2026
SAT;ISKPL;7,02;-0,28;8,33;129091026;10.09.2026
SAT;PSDTC;146,6;-0,95;177,00;24046945;10.09.2026
SAT;GEDZA;27,36;-0,87;30,03;7860911;10.09.2026
