hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
POLHO;GUCLU AL;;100,0;35,0;30,0;35,0;20;1;guclu trend;30,1;65,6;40,2;yukari;guclu;yukselis;yukari;1,42;2,32;1;23,5;1,38;59555181;21,14;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;08.09.2026
ALBRK;izle;;99,9;35,0;30,0;34,9;50;3;guclu trend;31,7;65,0;69,0;yukari;guclu;yukselis;yukari;1,39;2,22;2;9,13;2,70;182651557;8,39;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;08.09.2026
VAKBN;GUCLU AL;;99,0;34,0;30,0;35,0;28;0;guclu trend;27,3;70,4;66,4;yukari;guclu;yukselis;yukari;1,94;3,31;2;36,64;9,96;4226473171;30,35;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;08.09.2026
HALKB;GUCLU AL;;98,1;35,0;30,0;33,1;32;0;guclu trend;31,4;66,6;29,8;yukari;guclu;yukselis;yukari;2,76;3,61;2;50,8;1,76;7506133781;44,37;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;08.09.2026
BAHKM;GUCLU AL;EVET;98,0;35,0;30,0;33,0;28;1;guclu trend;46,7;69,1;80,5;yukari;guclu;yukselis;yukari;1,32;2,85;2;164,2;-2,67;319136657;138,64;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;08.09.2026
RYSAS;GUCLU AL;;97,4;35,0;30,0;32,4;10;0;guclu trend;35,7;62,6;80,0;yukari;guclu;yukselis;yukari;1,44;2,26;1;28,1;-0,07;716375134;24,77;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;08.09.2026
KCHOL;izle;;97,2;35,0;30,0;32,2;48;2;guclu trend;30,8;67,7;65,4;yukari;guclu;yukselis;yukari;1,13;3,08;3;224,8;2,32;7863502876;203,49;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;08.09.2026
SKYMD;GUCLU AL;EVET;96,0;31,6;30,0;34,4;20;1;guclu trend;21,3;67,0;80,3;yukari;guclu;yukselis;yukari;2,75;2,51;1;17,02;-0,64;143922856;14,00;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;08.09.2026
BORSK;GUCLU AL;;95,0;30,0;30,0;35,0;22;0;zayif;36,3;69,2;80,5;yukari;guclu;yukselis;yukari;2,78;2,21;2;6,91;1,62;200000808;5,97;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;08.09.2026
TURGG;GUCLU AL;;94,4;30,0;30,0;34,4;30;2;zayif;34,7;72,1;77,1;yukari;guclu;yukselis;yukari;2,38;1,97;1;31,5;0,90;85922802;25,81;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;08.09.2026
