hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
ALBRK;izle;;98,7;35,0;30,0;33,7;42;3;guclu trend;33,0;66,6;70,7;yukari;guclu;yukselis;yukari;1,22;2,38;2;9,21;0,88;163612242;8,39;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;09.09.2026
VAKBN;GUCLU AL;;98,4;34,5;30,0;33,9;16;0;guclu trend;28,8;63,8;72,4;yukari;guclu;yukselis;yukari;1,91;2,36;3;35,52;-3,06;4257440946;31,66;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;09.09.2026
INDES;GUCLU AL;;98,1;33,1;30,0;35,0;8;0;guclu trend;25,2;61,5;64,5;yukari;guclu;yukselis;yukari;1,45;1,92;2;11,92;1,02;145672568;10,83;AL;POZITIF;AL;NEGATIF;ARTIYOR;AL;AL;NOTR;5;09.09.2026
POLHO;GUCLU AL;;97,1;35,0;29,2;32,9;10;1;guclu trend;30,7;62,5;38,5;yukari;guclu;yukselis;yukari;1,17;2,02;1;23,3;-0,85;49401685;21,29;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;09.09.2026
ENERY;GUCLU AL;;97,0;35,0;28,6;33,3;36;0;guclu trend;39,2;74,8;91,3;yukari;guclu;yukselis;yukari;1,29;3,88;0;11,09;2,50;646546978;9,79;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;09.09.2026
BOBET;izle;;96,8;35,0;28,6;33,1;60;3;guclu trend;43,7;74,8;68,8;yukari;guclu;yukselis;yukari;1,19;3,89;0;24,86;2,81;295027119;20,54;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;09.09.2026
TUPRS;izle;;96,0;35,0;26,0;35,0;50;2;guclu trend;45,7;71,5;63,1;yukari;guclu;yukselis;yukari;1,34;4,99;1;414,25;5,01;16925061546;364,54;SAT;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;5;09.09.2026
ALARK;GUCLU AL;;95,7;34,2;30,0;31,5;10;0;guclu trend;27,9;66,8;59,3;yukari;guclu;yukselis;yukari;1,09;2,52;1;116,3;1,13;741050807;105,15;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;09.09.2026
KCHOL;GUCLU AL;EVET;95,6;35,0;30,0;30,6;38;2;guclu trend;32,3;65,8;67,0;yukari;guclu;yukselis;yukari;1,61;2,63;3;223,7;-0,49;11339546501;208,00;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;09.09.2026
KLSYN;GUCLU AL;;95,5;34,5;26,0;35,0;10;0;guclu trend;28,7;65,5;75,6;yukari;guclu;yukselis;yukari;3,94;2,44;0;16,43;3,07;227358406;14,12;SAT;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;5;09.09.2026
TRCAS;GUCLU AL;;95,4;32,1;30,0;33,3;16;0;guclu trend;22,7;62,6;78,2;yukari;guclu;yukselis;yukari;1,20;2,34;3;49,76;1,59;62597781;44,54;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;09.09.2026
AYGAZ;izle;;95,3;35,0;26,0;34,3;50;4;guclu trend;43,2;60,8;69,2;yukari;guclu;yukselis;yukari;1,81;2,96;2;331,25;2,16;795299119;299,67;SAT;POZITIF;AL;POZITIF;AZALIYOR;SAT;AL;NOTR;4;09.09.2026
SOKM;AL;;94,8;30,0;30,0;34,8;32;2;ilimli;17,1;68,0;66,8;yukari;guclu;yukselis;yukari;1,29;2,86;1;60,4;2,37;403979722;53,40;AL;POZITIF;NOTR;POZITIF;AZALIYOR;AL;AL;NOTR;5;09.09.2026
SKYMD;GUCLU AL;;94,5;32,5;30,0;32,1;10;1;guclu trend;23,5;60,7;74,7;yukari;guclu;yukselis;yukari;1,27;1,78;1;16,42;-3,53;67183793;14,00;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;09.09.2026
MRGYO;GUCLU AL;;94,3;30,0;29,3;35,0;36;0;zayif;37,9;73,5;69,6;yukari;guclu;yukselis;yukari;2,29;3,13;1;1,78;9,88;579193541;1,38;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;09.09.2026
BIMAS;GUCLU AL;;93,9;33,8;30,0;30,1;10;0;guclu trend;26,9;66,1;54,8;yukari;guclu;yukselis;yukari;1,01;2,85;1;427,5;1,66;4388304173;391,56;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;09.09.2026
ISDMR;GUCLU AL;;93,8;32,1;30,0;31,8;10;0;guclu trend;22,5;69,0;77,8;yukari;guclu;yukselis;yukari;1,23;2,12;0;59,65;0,00;134314084;53,30;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;09.09.2026
GMTAS;AL;;93,6;29,5;29,3;34,8;0;0;ilimli;15,8;61,2;63,8;yukari;guclu;yukselis;yukari;1,32;1,56;0;49,08;0,37;203617018;42,49;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;09.09.2026
HALKB;GUCLU AL;;93,5;35,0;30,0;28,5;20;0;guclu trend;31,5;65,2;27,8;yukari;guclu;yukselis;yukari;1,50;3,29;2;50,2;-1,18;4116918265;44,37;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;09.09.2026
GUBRF;GUCLU AL;;93,5;35,0;30,0;28,5;20;1;guclu trend;30,9;65,6;77,3;yukari;guclu;yukselis;yukari;0,92;2,40;1;512;1,59;1815367680;452,83;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;09.09.2026
ARASE;GUCLU AL;;93,5;32,5;30,0;31,0;8;0;guclu trend;23,7;63,1;70,8;yukari;guclu;yukselis;yukari;1,06;2,06;0;128,7;6,19;59884625;109,26;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;09.09.2026
