hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
ENERY;GUCLU AL;;98,4;35,0;28,5;35,0;36;0;guclu trend;45,4;75,1;64,0;yukari;guclu;yukselis;yukari;1,50;4,16;1;12,85;1,50;1363439947;11,31;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;18.09.2026
ISDMR;GUCLU AL;;98,2;33,3;30,0;34,8;8;0;guclu trend;25,7;62,9;76,4;yukari;guclu;yukselis;yukari;1,80;1,86;0;61,65;-0,72;235055606;54,38;AL;POZITIF;AL;POZITIF;AZALIYOR;SAT;SAT;NOTR;4;18.09.2026
TKFEN;GUCLU AL;;96,9;35,0;30,0;31,9;10;0;guclu trend;32,0;65,0;54,7;yukari;guclu;yukselis;yukari;1,70;2,99;2;244,8;-5,12;2426216717;203,20;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;PAHALI (SAT);5;18.09.2026
CEOEM;GUCLU AL;;95,6;32,9;30,0;32,7;10;0;guclu trend;24,6;63,2;84,4;yukari;guclu;yukselis;yukari;1,74;2,36;0;30,22;-5,56;142724074;26,51;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;18.09.2026
AHGAZ;GUCLU AL;;94,1;35,0;30,0;29,1;28;0;guclu trend;30,5;68,2;59,4;yukari;guclu;yukselis;yukari;0,94;3,13;1;41,76;1,90;297815073;37,30;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;18.09.2026
AGHOL;GUCLU AL;;93,6;32,2;27,9;33,6;0;0;guclu trend;23,0;53,6;72,5;yukari;guclu;zayif;yukari;1,56;0,59;2;34,06;-2,35;303197215;31,63;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;18.09.2026
BOSSA;AL;;89,5;25,7;30,0;33,8;0;0;zayif;19,1;63,1;72,3;yukari;guclu;yukselis;yukari;2,04;1,54;0;7,01;2,64;48844404;6,19;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;18.09.2026
MPARK;AL;;89,4;27,9;27,7;33,8;0;0;ilimli;17,1;54,2;60,0;yukari;guclu;yukselis;yukari;1,27;0,52;2;436,75;0,40;312463179;411,23;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;18.09.2026
CELHA;GUCLU AL;;88,5;34,9;28,7;24,9;0;0;guclu trend;29,8;51,3;70,5;yukari;guclu;yukselis;yukari;1,08;0,94;0;26,32;-6,00;69737025;24,80;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;18.09.2026
TUPRS;izle;;88,0;35,0;26,0;27,0;42;2;guclu trend;37,0;66,4;61,3;yukari;guclu;yukselis;yukari;0,82;3,89;2;417,25;1,27;10068242083;374,32;SAT;POZITIF;AL;POZITIF;AZALIYOR;SAT;SAT;PAHALI (SAT);3;18.09.2026
