sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;POLHO;GÜÇLÜ AL;100;düşük (10);1,1;6/6;notr;negatif;yok;;0
2;KRPLS;GÜÇLÜ AL;99;orta (28);0,0;6/6;negatif;yok;yok;;0
3;ENERY;GÜÇLÜ AL;97;orta (28);9,3;5/6;pozitif;notr;yok;;0
4;CATES;GÜÇLÜ AL;96;düşük (16);12,5;4/6;pozitif;notr;yok;;0
5;TRCAS;GÜÇLÜ AL;95;düşük (6);2,1;6/6;pozitif;negatif;yok;;0
6;KLSYN;GÜÇLÜ AL;95;düşük (10);2,5;5/6;negatif;negatif;yok;;1
7;BORSK;GÜÇLÜ AL;95;düşük (0);2,6;6/6;notr;notr;yok;;2
8;VAKBN;GÜÇLÜ AL;95;düşük (8);6,4;5/6;pozitif;notr;pozitif;45,47;3
9;TURGG;GÜÇLÜ AL;94;orta (30);4,2;5/6;pozitif;yok;yok;;0
10;RYSAS;GÜÇLÜ AL;94;düşük (10);8,6;4/6;notr;negatif;yok;;0
11;OFSYM;GÜÇLÜ AL;92;düşük (0);6,6;3/6;notr;notr;notr;69,30;5
12;MARTI;GÜÇLÜ AL;92;orta (28);7,2;5/6;negatif;notr;yok;;1
13;AHGAZ;GÜÇLÜ AL;91;orta (28);3,6;5/6;pozitif;notr;yok;;0
14;AVOD;GÜÇLÜ AL;91;düşük (18);12,4;6/6;negatif;negatif;yok;;0
15;ETYAT;GÜÇLÜ AL;91;düşük (10);2,6;6/6;negatif;yok;yok;;0
16;INDES;GÜÇLÜ AL;90;düşük (0);2,6;4/6;notr;notr;pozitif;15,00;0
17;DEVA;GÜÇLÜ AL;90;orta (28);2,1;4/6;notr;pozitif;yok;;0
18;HALKB;GÜÇLÜ AL;89;düşük (20);8,9;6/6;notr;notr;notr;48,18;9
19;ALARK;GÜÇLÜ AL;89;düşük (10);2,1;6/6;pozitif;notr;pozitif;154,34;3
20;GUBRF;GÜÇLÜ AL;88;düşük (18);8,6;4/6;notr;notr;yok;;3
21;BIMAS;GÜÇLÜ AL;88;düşük (18);1,1;6/6;notr;pozitif;pozitif;503,80;3
22;PNSUT;GÜÇLÜ AL;88;düşük (8);3,7;6/6;negatif;notr;yok;;0
23;PETUN;GÜÇLÜ AL;88;düşük (8);3,3;6/6;pozitif;notr;yok;;0
24;TRHOL;GÜÇLÜ AL;88;orta (35);0,3;4/6;pozitif;notr;yok;;0
25;NETAS;GÜÇLÜ AL;87;orta (28);9,9;4/6;yok;yok;yok;;0
26;MANAS;GÜÇLÜ AL;87;orta (35);1,2;6/6;negatif;negatif;yok;;0
27;RYGYO;GÜÇLÜ AL;87;düşük (0);16,5;3/6;pozitif;notr;yok;;0
28;ARASE;GÜÇLÜ AL;86;düşük (0);7,3;2/6;pozitif;notr;notr;214,70;0
29;ADGYO;GÜÇLÜ AL;86;düşük (10);10,4;3/6;negatif;negatif;yok;;0
30;HUNER;GÜÇLÜ AL;86;orta (22);6,4;3/6;negatif;negatif;yok;;0
31;KZGYO;GÜÇLÜ AL;86;orta (28);1,3;6/6;notr;negatif;yok;;0
32;BRSAN;GÜÇLÜ AL;85;düşük (20);4,3;3/6;notr;pozitif;pozitif;803,18;2
33;ARTMS;GÜÇLÜ AL;85;düşük (10);6,8;6/6;pozitif;negatif;yok;;0
34;AGHOL;GÜÇLÜ AL;85;orta (22);4,6;5/6;notr;notr;pozitif;50,40;3
35;TUPRS;GÜÇLÜ AL;85;orta (30);5,8;2/6;pozitif;pozitif;pozitif;366,39;10
36;DMLKT;GÜÇLÜ AL;85;orta (26);3,9;4/6;yok;yok;pozitif;33,43;2
37;EUKYO;GÜÇLÜ AL;84;düşük (0);5,9;4/6;negatif;pozitif;yok;;0
38;KARSN;GÜÇLÜ AL;84;orta (35);0,6;5/6;notr;notr;notr;18,53;0
39;SAYAS;GÜÇLÜ AL;84;düşük (0);12,6;3/6;pozitif;notr;yok;;0
40;VBTYZ;GÜÇLÜ AL;83;düşük (10);6,9;2/6;notr;notr;yok;;0
41;TARKM;GÜÇLÜ AL;83;düşük (0);14,6;4/6;yok;negatif;yok;;0
42;TEHOL;GÜÇLÜ AL;82;düşük (10);13,9;4/6;pozitif;notr;yok;;0
43;GENIL;GÜÇLÜ AL;82;orta (32);11,4;3/6;notr;pozitif;yok;;1
44;KRDMD;GÜÇLÜ AL;82;düşük (0);6,1;3/6;pozitif;pozitif;notr;50,70;1
45;IEYHO;GÜÇLÜ AL;82;orta (35);1,0;4/6;negatif;notr;yok;;0
46;AYGAZ;GÜÇLÜ AL;82;orta (38);8,8;2/6;pozitif;pozitif;pozitif;337,67;0
47;AKFIS;GÜÇLÜ AL;81;düşük (20);7,4;4/6;notr;notr;yok;;0
48;KUVVA;GÜÇLÜ AL;81;düşük (16);9,9;2/6;negatif;notr;yok;;1
49;DENGE;GÜÇLÜ AL;80;orta (30);6,3;6/6;notr;notr;yok;;0
50;OZATD;GÜÇLÜ AL;80;orta (30);9,8;3/6;negatif;negatif;yok;;2
51;CELHA;GÜÇLÜ AL;79;düşük (16);13,9;1/6;negatif;notr;yok;;0
52;MRGYO;GÜÇLÜ AL;78;düşük (0);11,5;4/6;pozitif;notr;yok;;0
53;ARDYZ;GÜÇLÜ AL;77;düşük (0);17,0;3/6;notr;pozitif;notr;156,00;0
54;TRMET;GÜÇLÜ AL;77;düşük (0);8,6;3/6;pozitif;notr;notr;168,00;0
55;ORGE;GÜÇLÜ AL;77;orta (22);16,6;3/6;pozitif;notr;pozitif;112,00;1
56;KRGYO;GÜÇLÜ AL;76;düşük (0);7,9;4/6;notr;negatif;yok;;0
57;TKFEN;GÜÇLÜ AL;76;düşük (0);18,5;2/6;negatif;notr;notr;126,35;0
58;SKYMD;AL;96;düşük (20);0,0;5/6;negatif;negatif;yok;;2
59;ISDMR;AL;93;düşük (10);7,8;5/6;pozitif;notr;notr;68,20;0
60;PETKM;AL;86;düşük (10);5,2;5/6;negatif;pozitif;notr;19,25;1
61;RODRG;AL;81;düşük (0);8,1;4/6;pozitif;notr;yok;;0
62;ASELS;AL;81;düşük (0);5,2;2/6;pozitif;pozitif;pozitif;457,99;2
63;AKCNS;AL;81;düşük (20);2,0;4/6;pozitif;yok;notr;274,35;0
64;BALAT;AL;79;düşük (10);3,7;5/6;negatif;yok;yok;;0
65;SOKM;AL;78;orta (22);5,3;3/6;negatif;notr;pozitif;85,42;2
66;DOHOL;AL;78;düşük (0);7,1;4/6;pozitif;notr;pozitif;32,43;0
67;DIRIT;AL;78;düşük (10);7,1;5/6;negatif;notr;yok;;0
68;METRO;AL;77;düşük (0);10,0;2/6;pozitif;negatif;yok;;0
69;AKBNK;AL;75;düşük (8);13,6;5/6;pozitif;notr;pozitif;107,00;3
70;EGGUB;AL;74;düşük (0);7,4;2/6;pozitif;pozitif;yok;;0
71;NIBAS;AL;74;düşük (18);4,6;6/6;negatif;notr;yok;;0
72;FLAP;AL;74;düşük (8);22,7;6/6;notr;notr;yok;;0
73;AKSGY;AL;74;düşük (16);4,7;2/6;pozitif;notr;pozitif;13,68;0
74;DOCO;AL;73;orta (22);9,1;1/6;notr;notr;yok;;0
75;MTRKS;AL;72;düşük (0);12,1;3/6;pozitif;notr;yok;;0
76;HURGZ;AL;72;düşük (6);15,5;2/6;negatif;negatif;yok;;0
77;VESTL;AL;72;düşük (8);14,4;6/6;negatif;notr;notr;33,17;2
78;BIOEN;AL;71;düşük (10);9,4;2/6;negatif;notr;notr;22,00;0
79;TRALT;AL;71;düşük (10);12,0;2/6;pozitif;notr;notr;57,09;0
80;ATATP;AL;71;orta (22);20,5;3/6;pozitif;pozitif;notr;472,00;1
81;RUBNS;AL;70;düşük (0);27,0;1/6;notr;notr;yok;;0
82;GARAN;AL;70;orta (30);8,7;4/6;pozitif;notr;pozitif;178,15;6
83;KNFRT;AL;70;düşük (6);29,7;3/6;negatif;pozitif;yok;;0
84;CEMZY;AL;70;düşük (0);25,9;2/6;negatif;negatif;yok;;0
85;TRENJ;AL;70;düşük (16);7,1;1/6;pozitif;pozitif;notr;218,70;0
86;KRDMA;AL;70;düşük (0);29,0;3/6;pozitif;pozitif;notr;50,70;1
87;BRKVY;AL;69;düşük (0);12,3;4/6;notr;negatif;yok;;0
88;TOASO;AL;69;düşük (0);24,4;5/6;notr;pozitif;pozitif;456,98;1
89;GSDDE;AL;69;düşük (6);20,9;2/6;pozitif;yok;yok;;0
90;CVKMD;AL;67;düşük (0);15,1;0/6;notr;pozitif;yok;;1
91;PRZMA;AL;65;orta (22);22,4;2/6;negatif;notr;yok;;0
92;BUCIM;AL;64;düşük (0);7,9;3/6;negatif;yok;yok;;0
93;BLUME;AL;63;düşük (20);17,1;1/6;negatif;notr;yok;;0
94;KLYPV;AL;63;düşük (0);15,9;2/6;notr;yok;yok;;0
95;OZSUB;AL;62;düşük (16);18,7;0/6;notr;notr;yok;;0
96;DSTKF;AL;62;düşük (0);65,7;5/6;notr;pozitif;yok;;0
97;EKGYO;AL;61;düşük (6);12,1;2/6;negatif;notr;pozitif;33,43;2
98;BLCYT;AL;60;düşük (8);23,0;6/6;pozitif;notr;yok;;0
99;BAHKM;İZLE;98;yüksek (46);4,4;4/6;negatif;notr;yok;;0
100;ATSYH;İZLE;94;yüksek (52);0,7;5/6;negatif;notr;yok;;1
101;ALKLC;İZLE;94;yüksek (45);1,4;6/6;negatif;notr;yok;;0
102;BOBET;İZLE;92;yüksek (60);0,5;6/6;negatif;pozitif;yok;;1
103;ALBRK;İZLE;89;orta (32);6,1;3/6;pozitif;pozitif;pozitif;11,85;5
104;AGESA;İZLE;87;orta (40);5,0;4/6;pozitif;pozitif;pozitif;352,13;0
105;SELEC;İZLE;82;yüksek (43);0,3;6/6;negatif;notr;notr;129,78;0
106;ANELE;İZLE;82;yüksek (43);0,0;4/6;negatif;negatif;yok;;1
107;ENJSA;İZLE;81;orta (40);5,0;4/6;pozitif;notr;notr;158,36;2
108;KCHOL;İZLE;80;yüksek (42);3,2;5/6;pozitif;pozitif;pozitif;321,79;3
109;RALYH;İZLE;72;orta (38);6,5;3/6;notr;negatif;yok;;0
110;SAHOL;İZLE;71;orta (40);9,8;3/6;pozitif;notr;pozitif;157,19;1
111;KGYO;İZLE;69;orta (40);17,7;2/6;negatif;notr;yok;;0
112;TNZTP;İZLE;68;yüksek (42);12,8;0/6;pozitif;notr;notr;44,00;0
113;VANGD;İZLE;63;düşük (0);16,3;2/6;pozitif;pozitif;yok;;0
114;PSDTC;İZLE;62;orta (40);30,1;1/6;notr;notr;yok;;0
115;DURKN;İZLE;61;orta (22);15,9;0/6;negatif;notr;yok;;0
116;ISBTR;İZLE;61;orta (32);28,0;2/6;notr;negatif;pozitif;;3
117;OZRDN;İZLE;60;düşük (0);23,0;4/6;negatif;notr;yok;;0
118;PRKME;İZLE;59;düşük (0);44,2;6/6;notr;negatif;yok;;0
119;TDGYO;İZLE;59;düşük (10);15,3;3/6;pozitif;pozitif;yok;;0
120;SASA;İZLE;59;düşük (0);12,0;5/6;negatif;notr;yok;;2
121;BAGFS;İZLE;58;düşük (0);6,6;5/6;pozitif;yok;yok;;0
122;ENKAI;İZLE;58;düşük (8);8,7;6/6;pozitif;pozitif;pozitif;126,89;0
123;ZRGYO;İZLE;58;orta (40);4,1;2/6;pozitif;notr;yok;;0
124;YKBNK;İZLE;56;orta (22);21,9;1/6;pozitif;notr;pozitif;52,27;2
125;YIGIT;İZLE;56;düşük (8);16,8;6/6;notr;notr;yok;;0
126;AYDEM;İZLE;56;orta (40);14,2;1/6;pozitif;pozitif;pozitif;42,43;0
127;SNPAM;İZLE;55;düşük (6);8,3;5/6;notr;yok;yok;;0
128;EYGYO;İZLE;55;düşük (10);10,7;2/6;negatif;pozitif;yok;;0
129;CANTE;İZLE;54;düşük (0);16,8;4/6;notr;notr;yok;;0
130;TERA;İZLE;54;düşük (10);14,6;5/6;notr;pozitif;yok;;2
131;HKTM;İZLE;54;düşük (16);27,1;1/6;negatif;negatif;yok;;1
132;KONYA;İZLE;53;düşük (10);14,7;5/6;pozitif;yok;yok;;0
133;ISCTR;İZLE;53;düşük (0);19,1;6/6;pozitif;negatif;pozitif;21,58;3
134;SERNT;İZLE;53;düşük (0);36,9;6/6;yok;notr;yok;;0
135;TTRAK;İZLE;52;düşük (14);6,0;3/6;negatif;notr;notr;592,39;0
136;BINBN;İZLE;52;düşük (0);12,7;1/6;negatif;notr;yok;;1
137;MEPET;İZLE;52;düşük (0);53,7;2/6;pozitif;notr;yok;;1
138;SONME;İZLE;51;düşük (10);19,9;1/6;negatif;yok;yok;;0
139;ZOREN;İZLE;51;düşük (0);32,2;5/6;negatif;notr;notr;3,58;0
140;TUCLK;İZLE;50;düşük (0);11,6;4/6;negatif;notr;yok;;0
