sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;BMSTL;49,86;9,97;42,10;634459276;15.09.2026
AL;BEYAZ;24,08;7,21;20,56;76154276;15.09.2026
AL;GATEG;299;2,22;251,47;75807862;15.09.2026
AL;KSTUR;2350;6,38;2128,87;2411100;15.09.2026
SAT;MANAS;33,44;-2,51;41,33;794370410;15.09.2026
SAT;KARSN;13;-9,28;17,14;601659461;15.09.2026
SAT;AKFYE;23;-6,43;28,53;206181499;15.09.2026
SAT;RYGYO;42,2;-4,09;51,91;134445655;15.09.2026
SAT;SARKY;22,36;-4,53;26,41;120585244;15.09.2026
SAT;BESTE;28,18;-4,28;34,05;99506905;15.09.2026
SAT;BIENY;19,83;-1,54;22,03;23684198;15.09.2026
SAT;KLGYO;4,4;-3,51;5,09;22256758;15.09.2026
SAT;KAYSE;3,82;-3,05;4,31;17504948;15.09.2026
SAT;KLMSN;26,62;-2,20;29,33;15692357;15.09.2026
SAT;BRKVY;79,5;-1,43;92,61;15315119;15.09.2026
SAT;ETYAT;12,79;-7,32;16,21;14541130;15.09.2026
SAT;DURKN;19,5;-1,56;22,70;12835173;15.09.2026
SAT;DOFER;26,72;-1,40;29,38;10558141;15.09.2026
SAT;INTEM;229,4;-3,86;265,20;8984451;15.09.2026
SAT;RODRG;22,1;-2,81;26,40;4894067;15.09.2026
SAT;AKMGY;240,9;-1,67;274,44;4020380;15.09.2026
SAT;ATSYH;110;-5,98;128,94;2738560;15.09.2026
SAT;TRILC;1,02;-3,77;1,13;2717704;15.09.2026
SAT;DIRIT;25,04;-2,64;28,86;944859;15.09.2026
