sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;IHLGM;1,73;4,85;1,52;345439964;14.09.2026
AL;GRTHO;234,7;2,58;187,30;302718407;14.09.2026
AL;IHGZT;1,26;0,80;1,14;175514341;14.09.2026
AL;ALCAR;754;3,93;664,39;73412456;14.09.2026
AL;RTALB;3,03;9,78;2,68;66569909;14.09.2026
AL;ANGEN;9,82;9,97;8,71;43789688;14.09.2026
AL;IHYAY;1,36;9,68;1,17;20891247;14.09.2026
AL;IHEVA;2,09;5,03;1,89;14162413;14.09.2026
AL;ATLAS;6,82;9,82;5,53;9995078;14.09.2026
SAT;BVSAN;119,6;-7,14;146,62;236270637;14.09.2026
SAT;CVKMD;14,18;-5,97;16,57;224538244;14.09.2026
SAT;AKFIS;15,32;-7,04;19,54;172890566;14.09.2026
SAT;SAYAS;51,2;-4,83;61,63;76984320;14.09.2026
SAT;MEYSU;10,82;-2,70;12,70;74499790;14.09.2026
SAT;SNGYO;3,13;-3,40;3,52;69189442;14.09.2026
SAT;ULUUN;7,84;-2,85;8,99;55805394;14.09.2026
SAT;DOCO;10902,5;-2,07;11885,24;31192053;14.09.2026
SAT;PRDGS;6,85;-2,14;8,00;18947675;14.09.2026
SAT;MTRKS;29,96;-5,13;36,10;17980973;14.09.2026
SAT;MAKTK;9,35;-3,31;10,74;17123450;14.09.2026
SAT;SELEC;324;-10,00;385,71;11877516;14.09.2026
SAT;ENPRA;53,7;-1,47;60,15;2084741;14.09.2026
SAT;MMCAS;43,2;-10,00;53,79;1746576;14.09.2026
