hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
DEVA;GUCLU AL;;98,5;35,0;29,3;34,1;28;0;guclu trend;49,4;73,3;76,7;yukari;guclu;yukselis;yukari;1,56;4,50;2;104,2;1,56;213427025;91,73;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;14.09.2026
TRCAS;GUCLU AL;;98,1;33,1;30,0;35,0;8;0;guclu trend;25,1;60,9;76,5;yukari;guclu;yukselis;yukari;1,50;2,01;1;49,5;0,04;76273065;45,06;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;14.09.2026
FLAP;GUCLU AL;;97,5;35,0;28,8;33,6;18;0;guclu trend;40,2;74,3;83,7;yukari;guclu;yukselis;yukari;1,69;2,55;0;13,16;-0,23;28813096;10,92;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;14.09.2026
BAHKM;izle;;97,1;35,0;28,9;33,2;46;1;guclu trend;45,7;74,1;81,9;yukari;guclu;yukselis;yukari;1,58;3,80;2;189;2,89;545037444;146,75;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;14.09.2026
CELHA;GUCLU AL;;96,9;34,6;30,0;32,2;20;0;guclu trend;29,0;69,5;59,0;yukari;guclu;yukselis;yukari;1,13;3,03;1;28,4;3,65;77599138;23,79;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;14.09.2026
GMTAS;AL;;94,1;30,9;30,0;33,2;0;0;ilimli;19,4;63,0;67,6;yukari;guclu;yukselis;yukari;1,40;1,80;0;50,3;1,99;232514014;43,62;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;SAT;NOTR;4;14.09.2026
HURGZ;GUCLU AL;;93,6;32,1;30,0;31,5;10;0;guclu trend;22,6;66,5;74,4;yukari;guclu;yukselis;yukari;1,14;2,34;1;8,45;2,55;87487236;7,13;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;14.09.2026
KARSN;GUCLU AL;;93,5;35,0;30,0;28,5;28;0;guclu trend;43,7;66,1;84,5;yukari;guclu;yukselis;yukari;1,40;3,02;0;14,33;-3,57;985365407;13,02;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;14.09.2026
AHGAZ;GUCLU AL;;93,5;35,0;29,4;29,1;36;0;guclu trend;34,7;73,2;87,1;yukari;guclu;yukselis;yukari;0,95;4,16;0;40,78;0,59;218024846;37,08;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;14.09.2026
EPLAS;izle;;93,3;28,3;30,0;35,0;60;5;zayif;25,7;69,8;63,1;yukari;guclu;yukselis;yukari;2,00;3,26;1;6,77;9,90;58678650;5,66;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;14.09.2026
