sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;VESTL;24,86;10,00;20,30;507713642;02.09.2026
AL;ISMEN;34,7;2,24;31,47;354895638;02.09.2026
AL;ZOREN;2,44;5,63;2,18;308889636;02.09.2026
AL;VESBE;5,8;9,85;4,99;247991975;02.09.2026
AL;CASA;72,35;3,65;66,38;2237641;02.09.2026
SAT;KTLEV;51;-9,81;68,49;14323289922;02.09.2026
SAT;PASEU;195,4;-10,00;262,29;3076851640;02.09.2026
SAT;EFOR;16,9;-7,04;21,41;723629456;02.09.2026
SAT;BRLSM;19,88;-9,80;26,82;525074437;02.09.2026
SAT;GRTHO;197,3;-4,08;241,58;512714434;02.09.2026
SAT;TSPOR;1,02;-3,77;1,22;292209361;02.09.2026
SAT;GUNDG;1350;-10,00;2118,32;271563300;02.09.2026
SAT;GSRAY;1,03;-2,83;1,15;169910070;02.09.2026
SAT;ESEN;3,37;-5,07;3,83;150029573;02.09.2026
SAT;ESCOM;5,19;-3,17;5,90;106317980;02.09.2026
SAT;ANSGR;26,5;-1,34;28,55;88875939;02.09.2026
SAT;MARMR;2,19;-1,79;2,52;85388729;02.09.2026
SAT;LMKDC;22,7;-1,30;25,26;82929343;02.09.2026
SAT;YYLGD;9,99;-0,50;10,69;66327416;02.09.2026
SAT;HOROZ;57,6;-1,54;65,85;62363117;02.09.2026
SAT;HATSN;65,65;-9,95;85,52;60528184;02.09.2026
SAT;AKFGY;2,54;-0,39;2,72;51514898;02.09.2026
SAT;SANFM;9,74;-6,53;11,82;37505857;02.09.2026
SAT;CEMAS;4,04;-1,22;4,54;34157962;02.09.2026
SAT;ISGYO;25,1;-3,39;28,63;29505326;02.09.2026
SAT;DENGE;2,23;-2,19;2,56;28404473;02.09.2026
SAT;PNLSN;40,52;-0,64;46,08;21512027;02.09.2026
SAT;GLRYH;3,01;-3,22;3,51;19233232;02.09.2026
SAT;BURVA;697;-8,11;864,19;14139342;02.09.2026
SAT;OYAYO;41,44;-2,59;46,57;2704664;02.09.2026
SAT;KRTEK;5,09;-1,74;5,90;2168564;02.09.2026
SAT;AGYO;7,19;-2,04;7,83;2157115;02.09.2026
SAT;BASCM;13,7;-0,58;14,38;1010320;02.09.2026
SAT;MEGAP;1,67;-2,34;1,79;882144;02.09.2026
