hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
RYSAS;GUCLU AL;;98,1;35,0;28,1;35,0;28;0;guclu trend;34,1;75,7;88,3;yukari;guclu;yukselis;yukari;1,92;4,29;1;30,28;0,87;995705022;24,77;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;02.09.2026
RYGYO;GUCLU AL;;97,6;35,0;30,0;32,6;28;0;guclu trend;50,0;71,1;71,0;yukari;guclu;yukselis;yukari;1,46;4,17;0;48,22;-0,12;237402635;43,73;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;02.09.2026
MANAS;GUCLU AL;;97,1;32,6;30,0;34,4;32;0;guclu trend;23,9;70,2;69,1;yukari;guclu;yukselis;yukari;1,27;2,67;3;35,4;4,80;1008993031;30,47;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;02.09.2026
CATES;GUCLU AL;;96,9;35,0;29,1;32,8;36;0;guclu trend;53,0;73,7;85,4;yukari;guclu;yukselis;yukari;1,28;4,67;2;68,3;-5,40;307672786;60,79;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;02.09.2026
DMLKT;GUCLU AL;;96,9;35,0;29,0;32,9;36;0;guclu trend;52,2;74,1;82,3;yukari;guclu;yukselis;yukari;1,19;4,24;2;7,03;2,03;82375171;6,58;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;02.09.2026
ALBRK;izle;;96,3;35,0;29,5;31,8;32;3;guclu trend;29,9;57,8;66,7;yukari;guclu;yukselis;yukari;1,23;1,30;1;8,8;1,38;144744424;8,39;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;02.09.2026
BAHKM;GUCLU AL;EVET;96,1;35,0;29,0;32,0;38;1;guclu trend;43,6;73,9;76,6;yukari;guclu;yukselis;yukari;1,72;3,11;1;158,1;-2,17;342432901;138,64;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;02.09.2026
KUVVA;GUCLU AL;;95,1;35,0;30,0;30,1;24;1;guclu trend;35,8;61,6;79,7;yukari;guclu;yukselis;yukari;1,13;2,08;3;186,5;-3,77;42857887;163,41;AL;POZITIF;AL;NEGATIF;ARTIYOR;SAT;SAT;NOTR;3;02.09.2026
TNZTP;GUCLU AL;;94,1;31,8;30,0;32,3;10;0;guclu trend;21,8;63,5;40,2;yukari;guclu;yukselis;yukari;1,18;2,32;2;31,06;-2,94;149895063;27,67;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;02.09.2026
SKYMD;AL;;94,0;29,0;30,0;35,0;10;1;ilimli;14,6;59,4;62,3;yukari;guclu;yukselis;yukari;2,48;1,52;1;15,58;6,57;83313520;13,12;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;02.09.2026
