hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
AHGAZ;GUCLU AL;;97,6;34,2;28,4;35,0;36;0;guclu trend;27,9;75,2;91,6;yukari;guclu;yukselis;yukari;1,51;4,08;0;39,7;2,21;331086765;35,70;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;04.09.2026
VAKBN;GUCLU AL;;97,4;33,5;30,0;33,9;8;0;guclu trend;26,2;60,6;66,7;yukari;guclu;yukselis;yukari;1,59;1,58;2;33,62;-0,36;2954130128;30,13;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;04.09.2026
TRCAS;GUCLU AL;;96,4;31,5;30,0;34,8;24;0;guclu trend;21,1;61,3;62,9;yukari;guclu;yukselis;yukari;1,29;2,15;3;49,2;2,50;64794284;43,35;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;04.09.2026
MANAS;GUCLU AL;;96,1;33,9;27,8;34,4;28;0;guclu trend;27,3;76,4;74,2;yukari;guclu;yukselis;yukari;2,44;3,01;2;37,22;4,61;2373329169;30,47;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;04.09.2026
KRPLS;GUCLU AL;;95,6;35,0;26,0;34,6;10;0;guclu trend;42,5;65,9;77,4;yukari;guclu;yukselis;yukari;1,27;2,68;0;11,3;8,65;60328282;9,48;SAT;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;5;04.09.2026
ENERY;GUCLU AL;;95,0;35,0;26,7;33,2;35;0;guclu trend;32,1;78,5;94,6;yukari;guclu;yukselis;yukari;1,74;4,10;0;11,04;5,14;819650017;9,53;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;04.09.2026
TARKM;GUCLU AL;;94,0;34,4;28,8;30,8;0;0;guclu trend;28,5;55,3;78,3;yukari;guclu;yukselis;yukari;1,31;0,97;1;520,5;2,06;136058180;478,25;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;04.09.2026
CATES;GUCLU AL;;93,4;35,0;27,1;31,2;36;0;guclu trend;52,1;77,7;77,3;yukari;guclu;yukselis;yukari;1,07;4,73;2;72;4,27;280662264;60,79;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;04.09.2026
SKYMD;AL;;93,4;30,0;29,5;33,9;10;1;ilimli;17,0;58,5;73,0;yukari;guclu;yukselis;yukari;1,78;1,30;1;15,58;2,16;67925341;13,24;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;04.09.2026
RYGYO;GUCLU AL;;92,4;35,0;29,4;28,1;36;0;guclu trend;50,7;73,3;79,7;yukari;guclu;yukselis;yukari;0,95;4,10;0;49,42;2,70;162032316;43,73;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;04.09.2026
OFSYM;GUCLU AL;;92,2;35,0;30,0;27,2;18;0;guclu trend;49,0;65,4;72,8;yukari;guclu;yukselis;yukari;0,83;2,48;0;70;2,49;180999700;58,06;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;04.09.2026
BORSK;GUCLU AL;;92,1;29,1;29,6;33,5;0;0;zayif;32,8;62,1;70,9;yukari;guclu;yukselis;yukari;2,16;1,32;2;6,57;3,30;123521841;5,78;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;04.09.2026
IEYHO;GUCLU AL;;91,2;35,0;22,0;34,2;35;0;guclu trend;86,0;93,3;100,0;yukari;guclu;yukselis;yukari;1,25;11,41;0;214,6;0,99;340684796;203,38;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;PAHALI (SAT);5;04.09.2026
