hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
ETYAT;GUCLU AL;;98,4;33,4;30,0;35,0;10;0;guclu trend;26,0;65,3;48,7;yukari;guclu;yukselis;yukari;1,31;2,40;1;16,13;4,74;19616645;13,55;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;03.09.2026
RYGYO;GUCLU AL;;96,9;35,0;30,0;31,9;28;0;guclu trend;50,3;70,6;72,9;yukari;guclu;yukselis;yukari;1,26;3,76;0;48,12;-0,21;208122513;43,73;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;03.09.2026
VAKBN;GUCLU AL;;96,8;32,7;30,0;34,0;0;0;guclu trend;24,2;61,4;72,5;yukari;guclu;yukselis;yukari;1,51;1,71;1;33,74;-1,00;2645993505;30,13;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;03.09.2026
NETAS;GUCLU AL;;96,5;35,0;30,0;31,5;28;0;guclu trend;43,7;66,4;69,5;yukari;guclu;yukselis;yukari;1,38;3,51;1;99;5,88;339963030;83,84;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;03.09.2026
POLHO;GUCLU AL;;95,9;34,9;26,0;35,0;10;1;guclu trend;29,8;62,1;37,5;yukari;guclu;yukselis;yukari;1,46;1,68;2;22,86;1,96;57793006;20,89;SAT;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;5;03.09.2026
TRCAS;GUCLU AL;;95,6;31,5;30,0;34,1;14;0;guclu trend;20,9;57,7;61,3;yukari;guclu;yukselis;yukari;1,25;1,55;3;48;4,26;61157616;42,75;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;03.09.2026
MANAS;GUCLU AL;;95,4;33,3;30,0;32,1;24;0;guclu trend;25,7;70,9;70,8;yukari;guclu;yukselis;yukari;1,33;2,32;3;35,58;0,51;1111539232;30,47;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;03.09.2026
BOBET;izle;;95,0;30,0;30,0;35,0;50;3;zayif;37,8;65,5;59,2;yukari;guclu;yukselis;yukari;1,69;2,56;1;22,16;7,57;310882507;18,14;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;03.09.2026
ENERY;GUCLU AL;;94,8;34,8;29,2;30,8;28;0;guclu trend;29,5;73,5;89,7;yukari;guclu;yukselis;yukari;1,69;3,03;0;10,5;0,00;712272288;9,28;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;03.09.2026
AHGAZ;GUCLU AL;;93,6;33,5;29,8;30,3;28;0;guclu trend;26,1;72,4;87,0;yukari;guclu;yukselis;yukari;1,04;3,48;1;38,84;0,36;210484913;35,02;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;03.09.2026
