sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
SAT;SASA;2,42;-3,97;2,94;19787288404;17.09.2026
SAT;CEMZY;12,79;-9,99;16,74;228826862;17.09.2026
SAT;GENKM;9,21;-9,97;11,79;168442408;17.09.2026
SAT;RYSAS;23,8;-5,18;29,30;156884388;17.09.2026
SAT;ATATP;265;-1,03;315,46;156833095;17.09.2026
SAT;TNZTP;28,14;-2,97;33,23;127151012;17.09.2026
SAT;GRTHO;178,5;-9,98;232,93;116511948;17.09.2026
SAT;BJKAS;2,13;-9,75;2,83;92088927;17.09.2026
SAT;TUCLK;3,64;-5,21;4,16;85054005;17.09.2026
SAT;TARKM;465;-5,58;560,01;84187320;17.09.2026
SAT;BINBN;150,8;-9,97;193,64;73869078;17.09.2026
SAT;AHSGY;13,71;-9,98;17,69;57553607;17.09.2026
SAT;KUVVA;157,6;-3,67;196,10;43855825;17.09.2026
SAT;ERCB;39,88;-3,11;46,14;30383096;17.09.2026
SAT;TERA;181,5;-9,97;210,18;29096084;17.09.2026
SAT;OZYSR;10,85;-6,55;13,27;25121884;17.09.2026
SAT;EYGYO;2,26;-5,44;2,75;19325020;17.09.2026
SAT;DSTKF;2204;-9,97;2736,97;14711700;17.09.2026
SAT;ATLAS;5,67;-10,00;7,55;9579936;17.09.2026
SAT;TEHOL;38,74;-9,99;47,11;7917526;17.09.2026
SAT;MEPET;17,85;-5,95;22,37;6872179;17.09.2026
SAT;OZATD;4035;-9,98;4861,34;6092850;17.09.2026
SAT;MZHLD;5,25;-2,42;6,13;5430395;17.09.2026
SAT;ULAS;19,48;-3,56;22,75;5312547;17.09.2026
SAT;IHYAY;1,17;-0,85;1,34;3604108;17.09.2026
SAT;GATEG;242,4;-9,97;292,83;3353604;17.09.2026
SAT;YKSLN;4,13;-9,83;5,04;2164347;17.09.2026
SAT;TRHOL;3645;-10,00;4416,41;2044845;17.09.2026
SAT;BRKSN;7,2;-2,70;8,07;1683180;17.09.2026
