sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;LOGO;143,5;3,68;121,32;137478166;18.09.2026
AL;AZTEK;3,8;9,83;3,20;19025240;18.09.2026
SAT;DOHOL;20,2;-3,16;22,71;468766068;18.09.2026
SAT;PATEK;18,49;-9,89;25,56;269411651;18.09.2026
SAT;EGEEN;5235;-9,97;6716,05;218603130;18.09.2026
SAT;NETAS;81,45;-3,21;108,15;127494744;18.09.2026
SAT;GMTAS;41,82;-4,91;50,60;124922780;18.09.2026
SAT;OZSUB;37,42;-2,30;45,04;113279957;18.09.2026
SAT;AKSGY;9,27;-3,03;10,25;55637845;18.09.2026
SAT;HURGZ;6,69;-8,98;8,48;54670513;18.09.2026
SAT;KRGYO;2,99;-9,94;3,86;50004389;18.09.2026
SAT;MAALT;942;-4,56;1087,30;37384212;18.09.2026
SAT;EPLAS;5,59;-5,73;7,04;33255335;18.09.2026
SAT;DENGE;2,22;-1,77;2,56;29779950;18.09.2026
SAT;PNSUT;10,44;-2,70;12,26;26637921;18.09.2026
SAT;NUHCM;204,2;-2,72;227,87;24599974;18.09.2026
SAT;EDIP;31,84;-6,35;37,69;24110235;18.09.2026
SAT;PRKME;16,36;-4,10;19,10;23222529;18.09.2026
SAT;MACKO;30,7;-6,35;36,95;20064507;18.09.2026
SAT;BMSCH;9,59;-6,44;12,04;17492505;18.09.2026
SAT;BEYAZ;20,4;-2,76;23,87;16198498;18.09.2026
SAT;TURGG;25,44;-6,47;32,13;13432600;18.09.2026
SAT;HATEK;11,48;-1,37;13,45;13306973;18.09.2026
SAT;PETUN;10,81;-3,48;12,49;11752459;18.09.2026
SAT;TDGYO;14,94;-10,00;19,91;9470272;18.09.2026
SAT;EUKYO;12,51;-10,00;15,49;4751974;18.09.2026
SAT;ISBTR;445000;-8,06;501970,82;1780000;18.09.2026
SAT;MRGYO;1,73;-9,90;2,23;1750461;18.09.2026
SAT;MARTI;2,23;-9,72;2,97;805574;18.09.2026
