sira;hisse;karar;yildiz;skor;risk;guclu_yonler;dikkat;fiyat;stop_seviyesi;bugun_yeni;tarih
153;ALBRK;İZLE;***;90;yüksek (50);trend güçlü, momentum tam, endeksten güçlü, haftalık yukarı, osilatör 6/6;uyumsuzluk 3/5, aşırı uzamış (2.7× ATR), RSI aşırı alım, hacim zayıf;9,07;8,39;;27.08.2026
154;ISGYO;İZLE;***;89;orta (40);trend güçlü, momentum tam, endeksten güçlü, haftalık yukarı, osilatör 6/6;uyumsuzluk 4/5, hacim zayıf;28,12;24,99;;27.08.2026
155;BIGEN;İZLE;***;86;yüksek (57);trend güçlü, endeksten güçlü, haftalık yukarı, osilatör 6/6;uyumsuzluk 2/5, aşırı uzamış (5.6× ATR), RSI aşırı alım, hacim zayıf;175;133,04;;27.08.2026
156;IZMDC;İZLE;***;86;yüksek (48);trend güçlü, endeksten güçlü, haftalık yukarı, osilatör 5/6;uyumsuzluk 2/5, aşırı uzamış (3.1× ATR), dağıtım 3 gün, hacim zayıf;14,12;11,87;;27.08.2026
157;ENJSA;İZLE;**;85;orta (40);momentum tam, endeksten güçlü, haftalık yukarı, osilatör 5/6;uyumsuzluk 4/5;114;103,40;;27.08.2026
158;ALKLC;İZLE;**;85;yüksek (42);trend güçlü, endeksten güçlü, haftalık yukarı;uyumsuzluk 1/5, aşırı uzamış (2.7× ATR), dağıtım 5 gün, doruk hacim;421;401,45;;27.08.2026
159;AYDEM;İZLE;**;84;orta (40);trend güçlü, endeksten güçlü, haftalık yukarı, osilatör 5/6;uyumsuzluk 4/5, hacim zayıf;27;24,22;;27.08.2026
160;KGYO;İZLE;**;84;yüksek (48);trend güçlü, momentum tam, endeksten güçlü, haftalık yukarı;uyumsuzluk 4/5, momentum sönümü, hacim zayıf;12,93;10,80;;27.08.2026
161;TRHOL;İZLE;**;83;yüksek (45);trend güçlü, endeksten güçlü, haftalık yukarı, osilatör 5/6;uyumsuzluk 1/5, aşırı uzamış (6.5× ATR), RSI aşırı alım, hacim zayıf;2957,5;2292,63;;27.08.2026
162;OZATD;İZLE;**;78;yüksek (45);trend güçlü, endeksten güçlü, haftalık yukarı, osilatör 5/6;uyumsuzluk 1/5, aşırı uzamış (6.3× ATR), RSI aşırı alım, hacim zayıf;4775;4011,56;;27.08.2026
163;RALYH;İZLE;**;78;orta (32);trend güçlü, endeksten güçlü, haftalık yukarı;uyumsuzluk 3/5;261,75;229,92;;27.08.2026
164;KOCMT;İZLE;**;77;orta (32);trend güçlü, endeksten güçlü, haftalık yukarı;uyumsuzluk 3/5, hacim zayıf;5,17;4,58;;27.08.2026
165;SONME;İZLE;**;76;orta (40);momentum tam, endeksten güçlü, haftalık yukarı;uyumsuzluk 4/5, hacim zayıf;140,9;126,44;;27.08.2026
166;ATSYH;İZLE;**;75;orta (32);endeksten güçlü, haftalık yukarı;uyumsuzluk 3/5, hacim zayıf;120;108,73;;27.08.2026
167;EFOR;İZLE;*;71;yüksek (46);trend güçlü, endeksten güçlü, haftalık yukarı;uyumsuzluk 4/5, dağıtım 3 gün;19,03;17,85;;27.08.2026
168;PKART;İZLE;*;71;düşük (8);endeksten güçlü, haftalık yukarı, osilatör 6/6;momentum sönümü;134,5;140,43;;27.08.2026
169;DMRGD;İZLE;*;71;düşük (6);haftalık yukarı, osilatör 5/6;dağıtım 3 gün;11,9;12,14;;27.08.2026
170;EBEBK;İZLE;*;71;düşük (10);haftalık yukarı, osilatör 6/6;uyumsuzluk 1/5, hacim zayıf;83,1;87,54;;27.08.2026
171;CRFSA;İZLE;*;68;düşük (20);endeksten güçlü, haftalık yukarı;aşırı uzamış (3.2× ATR), hacim zayıf;276,25;337,96;;27.08.2026
172;SEGMN;İZLE;*;67;düşük (0);trend güçlü;fiyat EMA50 altında;51,6;46,64;;27.08.2026
173;AVGYO;İZLE;*;66;düşük (0);trend güçlü, haftalık yukarı;fiyat EMA50 altında;15,36;14,98;;27.08.2026
174;DGNMO;İZLE;*;66;düşük (10);trend güçlü, haftalık yukarı;uyumsuzluk 1/5;8,1;7,58;;27.08.2026
175;KENT;İZLE;*;66;düşük (20);momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 6/6;uyumsuzluk 1/5, aşırı uzamış (2.3× ATR);403,5;404,52;;27.08.2026
176;EKSUN;İZLE;*;65;düşük (14);haftalık yukarı, osilatör 5/6;dağıtım 3 gün, momentum sönümü;6,56;6,76;;27.08.2026
177;KBORU;İZLE;*;65;düşük (0);haftalık yukarı, osilatör 6/6;fiyat EMA50 altında;23,76;20,03;;27.08.2026
178;PAGYO;İZLE;*;65;düşük (0);trend güçlü, haftalık yukarı;hacim zayıf;151,6;143,65;;27.08.2026
179;ZRGYO;İZLE;*;65;yüksek (46);momentum tam, endeksten güçlü, haftalık yukarı;uyumsuzluk 4/5, dağıtım 3 gün, hacim zayıf;19,5;18,29;;27.08.2026
180;MARKA;İZLE;*;64;düşük (0);haftalık yukarı;Supertrend aşağı;86,25;90,30;;27.08.2026
181;IZFAS;İZLE;*;63;orta (32);haftalık yukarı;uyumsuzluk 3/5;63,6;64,00;;27.08.2026
182;SKYMD;İZLE;*;62;düşük (10);haftalık yukarı;uyumsuzluk 1/5, hacim zayıf;14,28;13,12;;27.08.2026
183;UFUK;İZLE;*;62;düşük (0);trend güçlü, haftalık yukarı;hacim zayıf;1710;1641,83;;27.08.2026
184;FONET;İZLE;*;61;orta (22);haftalık yukarı;uyumsuzluk 2/5, hacim zayıf;5,28;5,61;;27.08.2026
185;FADE;İZLE;*;61;düşük (0);haftalık yukarı;Supertrend aşağı;16,29;17,54;;27.08.2026
186;ESCOM;İZLE;*;60;yüksek (46);haftalık yukarı;uyumsuzluk 4/5, dağıtım 3 gün, hacim zayıf;5,7;5,25;;27.08.2026
187;BIENY;İZLE;*;59;düşük (0);endeksten güçlü, osilatör 6/6;skor düşük;22,52;19,77;;27.08.2026
188;CVKMD;İZLE;*;59;düşük (0);trend güçlü, haftalık yukarı;hacim zayıf;15,73;14,58;;27.08.2026
189;GEREL;İZLE;*;59;orta (28);haftalık yukarı;uyumsuzluk 2/5, dağıtım 3 gün, hacim zayıf;39,2;38,25;;27.08.2026
190;GLRYH;İZLE;*;59;düşük (8);momentum tam, endeksten güçlü, osilatör 6/6;momentum sönümü;3,36;2,95;;27.08.2026
191;MARMR;İZLE;*;59;düşük (0);-;skor düşük;2,36;2,19;;27.08.2026
192;PETUN;İZLE;*;59;düşük (20);osilatör 5/6;doruk hacim, momentum sönümü;11,59;10,87;;27.08.2026
193;SARKY;İZLE;*;59;düşük (8);osilatör 5/6;momentum sönümü;26,34;23,35;;27.08.2026
194;PSGYO;İZLE;*;58;düşük (10);trend güçlü, haftalık yukarı;uyumsuzluk 1/5, hacim zayıf;3,32;3,25;;27.08.2026
195;DNISI;İZLE;*;58;düşük (0);haftalık yukarı, osilatör 5/6;hacim zayıf;4,84;4,34;;27.08.2026
196;TAVHL;İZLE;*;58;düşük (0);haftalık yukarı, osilatör 5/6;skor düşük;283;262,42;;27.08.2026
197;KAYSE;İZLE;*;58;düşük (0);osilatör 5/6;skor düşük;4,2;3,85;;27.08.2026
198;CEMAS;İZLE;*;57;düşük (12);endeksten güçlü;doruk hacim;4,47;4,05;;27.08.2026
199;OZYSR;İZLE;*;57;düşük (0);trend güçlü, haftalık yukarı;hacim zayıf;12,59;11,56;;27.08.2026
200;COSMO;İZLE;*;57;düşük (0);endeksten güçlü, osilatör 5/6;skor düşük;135,8;120,67;;27.08.2026
201;DMSAS;İZLE;*;57;düşük (0);haftalık yukarı;hacim zayıf;9;9,08;;27.08.2026
202;GLYHO;İZLE;*;57;düşük (0);haftalık yukarı;hacim zayıf;17;17,60;;27.08.2026
203;ISFIN;İZLE;*;57;düşük (16);-;uyumsuzluk 1/5, dağıtım 3 gün;19,84;19,45;;27.08.2026
204;NIBAS;İZLE;*;56;orta (22);momentum tam, endeksten güçlü, osilatör 5/6;dağıtım 4 gün, doruk hacim;4,48;3,94;;27.08.2026
205;BYDNR;İZLE;*;56;orta (22);-;uyumsuzluk 2/5, hacim zayıf;38,18;35,98;;27.08.2026
206;ICBCT;İZLE;*;56;düşük (0);haftalık yukarı;hacim zayıf;20,18;19,94;;27.08.2026
207;TMPOL;İZLE;*;55;düşük (0);-;Supertrend aşağı;460;629,51;;27.08.2026
208;ISBIR;İZLE;*;55;düşük (0);endeksten güçlü;hacim zayıf;74,1;70,46;;27.08.2026
209;ICUGS;İZLE;*;55;düşük (6);haftalık yukarı;dağıtım 3 gün, hacim zayıf;5,36;6,11;;27.08.2026
210;EREGL;İZLE;*;54;düşük (10);haftalık yukarı;uyumsuzluk 1/5, hacim zayıf;38,6;41,35;;27.08.2026
211;FMIZP;İZLE;*;54;düşük (8);-;momentum sönümü, hacim zayıf;296,25;280,92;;27.08.2026
212;BAGFS;İZLE;*;54;orta (32);endeksten güçlü, osilatör 5/6;uyumsuzluk 3/5, hacim zayıf;26,3;24,47;;27.08.2026
213;DSTKF;İZLE;*;53;düşük (0);osilatör 5/6;hacim zayıf;2183;2072,78;;27.08.2026
214;DERIM;İZLE;*;53;düşük (0);-;hacim zayıf;37,1;34,92;;27.08.2026
215;BRKVY;İZLE;*;53;düşük (0);osilatör 5/6;skor düşük;82,3;73,58;;27.08.2026
216;BORSK;İZLE;*;53;düşük (0);-;hacim zayıf;6,15;5,76;;27.08.2026
217;ONCSM;İZLE;*;53;düşük (0);-;Supertrend aşağı;255,25;265,53;;27.08.2026
218;TTRAK;İZLE;*;53;düşük (0);osilatör 5/6;hacim zayıf;430,5;407,42;;27.08.2026
219;TURSG;İZLE;*;52;düşük (0);-;Supertrend aşağı;6,3;6,60;;27.08.2026
220;SEKUR;İZLE;*;52;orta (32);haftalık yukarı;uyumsuzluk 2/5, dağıtım 4 gün;10,1;9,99;;27.08.2026
221;TATGD;İZLE;*;52;düşük (8);-;momentum sönümü;18;19,42;;27.08.2026
222;ODINE;İZLE;*;52;düşük (0);haftalık yukarı;Supertrend aşağı;1869;2534,49;;27.08.2026
223;ESCAR;İZLE;*;52;düşük (0);haftalık yukarı;hacim zayıf;45,88;48,26;;27.08.2026
224;TSGYO;İZLE;*;52;düşük (0);osilatör 6/6;skor düşük;6,13;5,50;;27.08.2026
225;ISDMR;İZLE;*;52;düşük (0);haftalık yukarı;hacim zayıf;54,35;56,72;;27.08.2026
226;SNICA;İZLE;*;51;düşük (0);osilatör 6/6;skor düşük;3,74;3,10;;27.08.2026
227;AYES;İZLE;*;51;düşük (0);haftalık yukarı;hacim zayıf;31,26;29,80;;27.08.2026
228;BNTAS;İZLE;*;51;düşük (0);-;hacim zayıf;6,39;5,97;;27.08.2026
229;PLTUR;İZLE;*;51;düşük (6);-;dağıtım 3 gün;21,1;21,08;;27.08.2026
230;TKNSA;İZLE;*;50;düşük (10);endeksten güçlü, osilatör 5/6;uyumsuzluk 1/5, hacim zayıf;19,2;18,60;;27.08.2026
231;ESEN;İZLE;*;50;düşük (10);osilatör 6/6;uyumsuzluk 1/5, hacim zayıf;3,62;3,33;;27.08.2026
232;BOSSA;İZLE;*;49;düşük (0);-;hacim zayıf;6,51;6,19;;27.08.2026
233;AVPGY;İZLE;*;49;düşük (0);-;skor düşük;54,2;50,70;;27.08.2026
234;TUCLK;İZLE;*;49;düşük (0);osilatör 5/6;hacim zayıf;3,98;3,67;;27.08.2026
235;PNSUT;İZLE;*;49;düşük (0);osilatör 6/6;skor düşük;11,02;10,05;;27.08.2026
236;MZHLD;İZLE;*;48;düşük (0);osilatör 6/6;hacim zayıf;5,56;5,18;;27.08.2026
237;FLAP;İZLE;*;48;düşük (6);osilatör 6/6;dağıtım 3 gün;11;11,32;;27.08.2026
238;AGYO;İZLE;*;48;düşük (6);-;dağıtım 3 gün;7,45;7,21;;27.08.2026
239;PAPIL;İZLE;*;48;düşük (0);osilatör 5/6;skor düşük;13,12;11,65;;27.08.2026
240;GMTAS;İZLE;*;48;düşük (6);haftalık yukarı;dağıtım 3 gün, hacim zayıf;44,68;48,51;;27.08.2026
241;ECILC;İZLE;*;47;düşük (8);-;momentum sönümü;76,5;70,03;;27.08.2026
242;YIGIT;İZLE;*;47;düşük (0);osilatör 5/6;skor düşük;22,12;20,44;;27.08.2026
243;INFO;İZLE;*;47;düşük (0);haftalık yukarı;hacim zayıf;6,7;7,47;;27.08.2026
244;ULKER;İZLE;*;46;orta (32);osilatör 5/6;uyumsuzluk 3/5;92,65;89,00;;27.08.2026
245;ANSGR;İZLE;*;46;orta (32);-;uyumsuzluk 2/5, dağıtım 4 gün;27,18;26,74;;27.08.2026
246;TABGD;İZLE;*;46;düşük (10);-;dağıtım 4 gün;245,2;237,22;;27.08.2026
247;ENKAI;İZLE;*;46;düşük (0);osilatör 6/6;hacim zayıf;87,45;88,34;;27.08.2026
248;OZGYO;İZLE;*;45;düşük (16);osilatör 5/6;uyumsuzluk 1/5, dağıtım 3 gün;2,11;2,35;;27.08.2026
249;TERA;İZLE;*;45;düşük (10);momentum tam, endeksten güçlü, osilatör 5/6;uyumsuzluk 1/5, hacim zayıf;185;170,40;;27.08.2026
250;BRKO;İZLE;*;45;düşük (8);osilatör 5/6;momentum sönümü;12,11;13,21;;27.08.2026
251;INTEM;İZLE;*;45;düşük (8);osilatör 5/6;momentum sönümü, hacim zayıf;258,5;237,10;;27.08.2026
252;MARBL;İZLE;*;44;düşük (0);-;Supertrend aşağı;12,63;13,00;;27.08.2026
253;MOBTL;İZLE;*;44;orta (22);-;uyumsuzluk 2/5;13,31;14,35;;27.08.2026
254;KONYA;İZLE;*;44;düşük (0);-;hacim zayıf;3800;3704,36;;27.08.2026
255;CEOEM;İZLE;*;44;düşük (0);haftalık yukarı;Supertrend aşağı;24,9;26,21;;27.08.2026
256;PENTA;İZLE;*;44;düşük (0);osilatör 5/6;Supertrend aşağı;13,76;13,99;;27.08.2026
257;AKSUE;İZLE;*;43;düşük (10);haftalık yukarı;dağıtım 4 gün;41,52;48,58;;27.08.2026
258;ENSRI;İZLE;*;43;düşük (0);endeksten güçlü, osilatör 5/6;skor düşük;6,14;5,16;;27.08.2026
259;NUHCM;İZLE;*;43;düşük (6);-;dağıtım 3 gün;219,5;229,90;;27.08.2026
260;SNGYO;İZLE;*;43;düşük (0);osilatör 5/6;hacim zayıf;3,46;3,11;;27.08.2026
261;BRKSN;İZLE;*;43;düşük (6);-;dağıtım 3 gün, hacim zayıf;7,99;7,34;;27.08.2026
262;TDGYO;İZLE;*;43;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;16,4;16,24;;27.08.2026
263;ANHYT;İZLE;*;42;düşük (0);-;hacim zayıf;106;115,03;;27.08.2026
264;NTGAZ;İZLE;*;42;düşük (0);-;hacim zayıf;11,29;10,15;;27.08.2026
265;DYOBY;İZLE;*;42;orta (30);-;uyumsuzluk 2/5, momentum sönümü, hacim zayıf;13,5;12,15;;27.08.2026
266;KLKIM;İZLE;*;42;düşük (0);-;hacim zayıf;27,74;26,19;;27.08.2026
267;DOFRB;İZLE;*;42;düşük (10);-;dağıtım 4 gün;138,3;152,89;;27.08.2026
268;PRKME;İZLE;*;41;düşük (0);osilatör 5/6;skor düşük;18,41;16,33;;27.08.2026
269;ECZYT;İZLE;*;41;orta (40);-;uyumsuzluk 4/5;322;351,36;;27.08.2026
270;BMSTL;İZLE;*;41;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;44,04;43,81;;27.08.2026
271;OTKAR;İZLE;*;41;düşük (8);-;momentum sönümü, hacim zayıf;328;298,05;;27.08.2026
272;GOLTS;İZLE;*;40;düşük (0);-;skor düşük;304,5;294,80;;27.08.2026
273;BLCYT;İZLE;*;40;düşük (0);osilatör 5/6;hacim zayıf;21,2;18,63;;27.08.2026
274;OBASE;İZLE;*;40;düşük (6);-;dağıtım 3 gün;38,6;42,16;;27.08.2026
275;MEPET;İZLE;*;40;düşük (8);-;momentum sönümü, hacim zayıf;20,4;17,93;;27.08.2026
276;OBAMS;İZLE;*;40;düşük (8);osilatör 5/6;momentum sönümü, hacim zayıf;5,3;4,77;;27.08.2026
277;JANTS;İZLE;*;39;düşük (0);osilatör 5/6;skor düşük;15,73;14,45;;27.08.2026
278;MAKTK;İZLE;*;39;düşük (0);osilatör 6/6;Supertrend aşağı;10,41;10,52;;27.08.2026
279;DERHL;İZLE;*;39;düşük (0);-;hacim zayıf;2,22;2,05;;27.08.2026
280;ALGYO;İZLE;*;39;düşük (8);osilatör 5/6;momentum sönümü, hacim zayıf;3,7;3,33;;27.08.2026
281;KARTN;İZLE;*;39;düşük (10);haftalık yukarı;uyumsuzluk 1/5, hacim zayıf;162;198,48;;27.08.2026
282;PETKM;İZLE;*;39;düşük (0);-;hacim zayıf;19,88;21,04;;27.08.2026
283;DESA;İZLE;*;38;düşük (8);osilatör 5/6;momentum sönümü, hacim zayıf;10,2;9,23;;27.08.2026
284;EDIP;İZLE;*;38;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;36,44;39,68;;27.08.2026
285;KOPOL;İZLE;*;38;düşük (0);-;Supertrend aşağı;5,67;6,06;;27.08.2026
286;AFYON;İZLE;*;38;düşük (6);-;dağıtım 3 gün;12,7;13,12;;27.08.2026
287;IHLAS;İZLE;*;38;düşük (0);-;hacim zayıf;1,06;0,99;;27.08.2026
288;BERA;İZLE;*;38;düşük (8);-;momentum sönümü, hacim zayıf;13,44;12,59;;27.08.2026
289;EGSER;İZLE;*;38;düşük (8);osilatör 5/6;momentum sönümü, hacim zayıf;3,06;3,13;;27.08.2026
290;GATEG;İZLE;*;38;orta (40);-;uyumsuzluk 5/5;289,5;308,77;;27.08.2026
291;MARTI;İZLE;*;38;düşük (0);-;Supertrend aşağı;1,46;1,55;;27.08.2026
292;KZGYO;İZLE;*;37;düşük (0);osilatör 5/6;Supertrend aşağı;20,06;20,98;;27.08.2026
293;TLMAN;İZLE;*;37;düşük (0);-;Supertrend aşağı;82,05;85,09;;27.08.2026
294;PINSU;İZLE;*;37;düşük (0);-;Supertrend aşağı;10,35;11,02;;27.08.2026
295;KLNMA;İZLE;*;37;düşük (0);osilatör 5/6;hacim zayıf;9,05;8,79;;27.08.2026
296;AKFGY;İZLE;*;37;düşük (6);-;dağıtım 3 gün;2,6;2,55;;27.08.2026
297;BAYRK;İZLE;*;37;orta (32);-;uyumsuzluk 3/5, hacim zayıf;4,37;4,25;;27.08.2026
298;OZRDN;İZLE;*;36;düşük (0);-;hacim zayıf;27,94;25,42;;27.08.2026
299;ZEDUR;İZLE;*;36;düşük (0);-;Supertrend aşağı;7,98;8,49;;27.08.2026
300;PNLSN;İZLE;*;36;düşük (0);-;skor düşük;43,08;40,62;;27.08.2026
301;DOKTA;İZLE;*;36;düşük (10);osilatör 5/6;uyumsuzluk 1/5, hacim zayıf;23,52;21,43;;27.08.2026
302;THYAO;İZLE;*;36;düşük (6);-;dağıtım 3 gün;307,25;321,77;;27.08.2026
303;GOZDE;İZLE;*;36;düşük (0);-;hacim zayıf;22,62;25,47;;27.08.2026
304;SNPAM;İZLE;*;36;düşük (8);osilatör 5/6;momentum sönümü, hacim zayıf;20,4;18,99;;27.08.2026
305;BFREN;İZLE;*;36;orta (32);-;uyumsuzluk 3/5, hacim zayıf;130,5;134,63;;27.08.2026
306;ISKPL;İZLE;*;36;düşük (0);endeksten güçlü, osilatör 5/6;hacim zayıf;8,75;8,78;;27.08.2026
307;BANVT;İZLE;*;36;düşük (0);-;hacim zayıf;157,1;152,42;;27.08.2026
308;EMNIS;İZLE;*;36;orta (28);-;uyumsuzluk 2/5, dağıtım 3 gün;153,9;152,76;;27.08.2026
309;ALKA;İZLE;*;35;düşük (0);-;Supertrend aşağı;8,39;8,81;;27.08.2026
310;CWENE;İZLE;*;35;düşük (6);haftalık yukarı;dağıtım 3 gün, hacim zayıf;36,88;42,91;;27.08.2026
311;BESLR;İZLE;*;35;orta (28);-;uyumsuzluk 2/5, dağıtım 3 gün, hacim zayıf;12,97;11,92;;27.08.2026
312;HDFGS;İZLE;*;35;düşük (0);-;Supertrend aşağı;2,54;2,81;;27.08.2026
313;MAKIM;İZLE;*;35;düşük (0);-;hacim zayıf;16,5;15,53;;27.08.2026
314;TEHOL;İZLE;*;35;düşük (10);-;uyumsuzluk 1/5;33,7;41,34;;27.08.2026
315;EKOS;İZLE;*;35;düşük (0);-;Supertrend aşağı;5,6;6,02;;27.08.2026
316;TSKB;İZLE;*;35;düşük (6);-;dağıtım 3 gün;11,12;11,64;;27.08.2026
317;ISCTR;İZLE;*;35;düşük (0);osilatör 5/6;Supertrend aşağı;12,75;13,05;;27.08.2026
318;DGATE;İZLE;*;34;düşük (0);-;hacim zayıf;100,9;97,13;;27.08.2026
319;MTRYO;İZLE;*;34;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;9,22;9,63;;27.08.2026
320;ASGYO;İZLE;*;34;düşük (0);-;Supertrend aşağı;11,17;11,76;;27.08.2026
321;IHEVA;İZLE;*;34;düşük (0);-;hacim zayıf;2;2,09;;27.08.2026
322;DOFER;İZLE;*;34;düşük (0);-;hacim zayıf;29,06;27,00;;27.08.2026
323;SASA;İZLE;*;34;düşük (0);-;Supertrend aşağı;2,38;2,59;;27.08.2026
324;KLMSN;İZLE;*;34;düşük (10);-;uyumsuzluk 1/5;28,68;26,86;;27.08.2026
325;HOROZ;İZLE;*;34;düşük (0);-;hacim zayıf;62,35;58,38;;27.08.2026
326;IHAAS;İZLE;*;34;düşük (10);-;dağıtım 4 gün;54;51,22;;27.08.2026
327;BRMEN;İZLE;*;34;düşük (6);haftalık yukarı;dağıtım 3 gün, hacim zayıf;14,49;16,95;;27.08.2026
328;BIZIM;İZLE;*;34;düşük (6);osilatör 5/6;dağıtım 3 gün, hacim zayıf;24,64;25,28;;27.08.2026
329;ULAS;İZLE;*;33;düşük (0);-;hacim zayıf;21,36;19,75;;27.08.2026
330;AHSGY;İZLE;*;33;düşük (10);-;dağıtım 5 gün, hacim zayıf;18,66;20,97;;27.08.2026
331;HLGYO;İZLE;*;33;düşük (0);-;Supertrend aşağı;4,45;4,67;;27.08.2026
332;AVOD;İZLE;*;33;düşük (0);-;hacim zayıf;3,93;4,16;;27.08.2026
333;AKSEN;İZLE;*;33;düşük (0);-;hacim zayıf;83,4;93,81;;27.08.2026
334;A1YEN;İZLE;*;33;düşük (8);osilatör 5/6;momentum sönümü;2,85;2,98;;27.08.2026
335;CIMSA;İZLE;*;33;düşük (0);-;Supertrend aşağı;46,16;48,89;;27.08.2026
336;VKGYO;İZLE;*;32;düşük (0);-;Supertrend aşağı;1,91;2,01;;27.08.2026
337;SUNTK;İZLE;*;32;düşük (6);-;dağıtım 3 gün, hacim zayıf;36,7;46,08;;27.08.2026
338;RUZYE;İZLE;*;32;düşük (0);osilatör 5/6;hacim zayıf;9,15;8,09;;27.08.2026
339;TOASO;İZLE;*;32;düşük (0);-;hacim zayıf;273,5;292,97;;27.08.2026
340;INVEO;İZLE;*;32;düşük (0);-;Supertrend aşağı;7,08;7,55;;27.08.2026
341;LOGO;İZLE;*;32;orta (32);-;uyumsuzluk 3/5, hacim zayıf;137,3;143,73;;27.08.2026
342;DAPGM;İZLE;*;32;düşük (0);-;Supertrend aşağı;8,48;9,69;;27.08.2026
343;KAPLM;İZLE;*;32;düşük (8);-;momentum sönümü;432,75;476,78;;27.08.2026
344;SANKO;İZLE;*;31;orta (32);-;uyumsuzluk 3/5, hacim zayıf;18,87;17,51;;27.08.2026
345;PGSUS;İZLE;*;31;düşük (0);-;Supertrend aşağı;151,5;159,58;;27.08.2026
346;CUSAN;İZLE;*;31;düşük (16);-;uyumsuzluk 1/5, dağıtım 3 gün, hacim zayıf;23,58;27,83;;27.08.2026
347;AKFYE;İZLE;*;31;düşük (6);-;dağıtım 3 gün, hacim zayıf;23,14;25,16;;27.08.2026
348;SRVGY;İZLE;*;31;düşük (0);-;hacim zayıf;2,56;2,61;;27.08.2026
349;SELVA;İZLE;*;31;düşük (0);-;hacim zayıf;1,73;1,64;;27.08.2026
350;MEGAP;İZLE;*;30;düşük (0);-;skor düşük;1,75;1,70;;27.08.2026
351;ARTMS;İZLE;*;30;düşük (10);osilatör 5/6;uyumsuzluk 1/5, hacim zayıf;39,56;40,73;;27.08.2026
352;TCELL;İZLE;*;30;düşük (0);-;Supertrend aşağı;102,8;109,99;;27.08.2026
353;GLCVY;İZLE;*;30;düşük (0);-;hacim zayıf;52,95;55,12;;27.08.2026
354;GARFA;İZLE;*;30;düşük (0);osilatör 5/6;Supertrend aşağı;27,1;28,60;;27.08.2026
355;ISMEN;İZLE;*;30;düşük (6);-;dağıtım 3 gün;32,9;34,47;;27.08.2026
356;BEGYO;İZLE;*;30;düşük (8);-;momentum sönümü, hacim zayıf;3,63;3,76;;27.08.2026
357;CMBTN;İZLE;*;30;düşük (0);-;hacim zayıf;1555;1724,81;;27.08.2026
358;SKYLP;İZLE;*;30;düşük (0);-;hacim zayıf;241,7;224,44;;27.08.2026
359;SKTAS;İZLE;*;29;düşük (0);-;Supertrend aşağı;3,17;3,49;;27.08.2026
360;VKFYO;İZLE;*;29;düşük (0);-;Supertrend aşağı;23,84;25,77;;27.08.2026
361;MAVI;İZLE;*;29;düşük (16);-;uyumsuzluk 1/5, dağıtım 3 gün;38;40,40;;27.08.2026
362;KMPUR;İZLE;*;29;düşük (0);-;hacim zayıf;19,7;23,21;;27.08.2026
363;QUAGR;İZLE;*;29;düşük (0);-;Supertrend aşağı;3,4;3,63;;27.08.2026
364;OYYAT;İZLE;*;29;düşük (8);osilatör 5/6;momentum sönümü, hacim zayıf;36,86;37,66;;27.08.2026
365;SOKE;İZLE;*;29;düşük (0);-;Supertrend aşağı;14,3;15,65;;27.08.2026
366;BRYAT;İZLE;*;28;düşük (0);-;Supertrend aşağı;1708;1872,38;;27.08.2026
367;BURVA;İZLE;*;28;düşük (6);-;dağıtım 3 gün, hacim zayıf;765;698,58;;27.08.2026
368;YYLGD;İZLE;*;28;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;10,19;10,00;;27.08.2026
369;SMART;İZLE;*;28;düşük (8);osilatör 5/6;momentum sönümü;25;26,43;;27.08.2026
370;ARCLK;İZLE;*;28;düşük (0);-;Supertrend aşağı;93,95;97,44;;27.08.2026
371;EUYO;İZLE;*;28;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;4,94;4,67;;27.08.2026
372;LILAK;İZLE;*;28;düşük (6);-;dağıtım 3 gün;29,86;31,00;;27.08.2026
373;ATAKP;İZLE;*;28;düşük (0);-;Supertrend aşağı;45,7;49,40;;27.08.2026
374;BRISA;İZLE;*;28;düşük (6);-;dağıtım 3 gün;78,1;85,19;;27.08.2026
375;KLSER;İZLE;*;28;düşük (0);-;hacim zayıf;24,76;26,04;;27.08.2026
376;ONRYT;İZLE;*;28;düşük (0);-;hacim zayıf;60,6;64,39;;27.08.2026
377;AKENR;İZLE;*;28;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;10,35;11,26;;27.08.2026
378;ARENA;İZLE;*;27;düşük (0);-;Supertrend aşağı;21,5;23,39;;27.08.2026
379;KUTPO;İZLE;*;27;yüksek (46);-;uyumsuzluk 5/5, dağıtım 3 gün;81;87,41;;27.08.2026
380;DESPC;İZLE;*;27;düşük (0);osilatör 5/6;hacim zayıf;41,9;46,45;;27.08.2026
381;HATEK;İZLE;*;27;orta (22);-;uyumsuzluk 2/5, hacim zayıf;12,88;11,48;;27.08.2026
382;BIGCH;İZLE;*;27;düşük (6);-;dağıtım 3 gün;6,28;6,77;;27.08.2026
383;ACSEL;İZLE;*;27;düşük (0);-;hacim zayıf;121,5;132,17;;27.08.2026
384;SMRVA;İZLE;*;27;düşük (0);-;Supertrend aşağı;11,63;12,73;;27.08.2026
