sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
23;ALARK;GÜÇLÜ AL;89;düşük (0);5,9;4/6;pozitif;notr;pozitif;154,34;1
24;MRGYO;GÜÇLÜ AL;88;orta (35);4,7;6/6;pozitif;notr;yok;;1
25;RYSAS;GÜÇLÜ AL;88;düşük (10);12,9;2/6;notr;negatif;yok;;0
26;AGHOL;GÜÇLÜ AL;88;düşük (0);4,8;5/6;notr;notr;pozitif;50,40;0
27;TEHOL;GÜÇLÜ AL;88;düşük (20);8,7;6/6;pozitif;notr;yok;;1
28;KZGYO;GÜÇLÜ AL;87;orta (35);3,0;5/6;notr;negatif;yok;;0
29;YKSLN;GÜÇLÜ AL;87;orta (35);0,0;6/6;negatif;notr;yok;;1
30;ISDMR;GÜÇLÜ AL;87;düşük (0);6,9;5/6;pozitif;notr;notr;68,20;0
31;PETKM;GÜÇLÜ AL;87;düşük (10);13,3;4/6;negatif;pozitif;notr;19,25;2
32;SOKM;GÜÇLÜ AL;86;orta (32);2,5;6/6;negatif;notr;pozitif;85,42;0
33;ALBRK;GÜÇLÜ AL;86;düşük (0);8,4;2/6;pozitif;pozitif;pozitif;11,85;4
34;KRPLS;GÜÇLÜ AL;85;düşük (10);19,7;5/6;negatif;yok;yok;;0
35;DMLKT;GÜÇLÜ AL;85;düşük (20);2,7;4/6;yok;yok;pozitif;33,43;2
36;KUYAS;GÜÇLÜ AL;84;düşük (0);11,8;5/6;negatif;notr;yok;;0
37;MARTI;GÜÇLÜ AL;84;orta (35);5,8;6/6;negatif;notr;yok;;0
38;MZHLD;GÜÇLÜ AL;84;orta (28);0,0;6/6;yok;yok;yok;;0
39;PATEK;GÜÇLÜ AL;84;düşük (12);18,4;6/6;negatif;notr;yok;;0
40;CATES;GÜÇLÜ AL;83;düşük (10);9,3;3/6;pozitif;notr;yok;;0
41;GENIL;GÜÇLÜ AL;82;orta (22);9,0;4/6;notr;pozitif;yok;;0
42;INDES;GÜÇLÜ AL;81;düşük (6);4,8;2/6;notr;notr;pozitif;15,00;0
43;OFSYM;GÜÇLÜ AL;81;düşük (16);8,1;3/6;notr;notr;notr;69,30;0
44;MPARK;GÜÇLÜ AL;81;düşük (0);4,7;6/6;notr;notr;pozitif;673,35;0
45;RYGYO;GÜÇLÜ AL;81;düşük (6);18,4;2/6;pozitif;notr;yok;;0
46;NETAS;GÜÇLÜ AL;80;düşük (10);11,4;4/6;yok;yok;yok;;0
47;AKFYE;GÜÇLÜ AL;80;düşük (0);18,6;5/6;pozitif;notr;yok;;0
48;TKFEN;GÜÇLÜ AL;80;düşük (10);13,4;5/6;negatif;notr;notr;160,00;1
49;KRDMD;GÜÇLÜ AL;80;düşük (0);6,5;2/6;pozitif;pozitif;notr;50,70;1
50;GUBRF;GÜÇLÜ AL;79;düşük (10);9,8;2/6;notr;notr;yok;;2
51;HUNER;GÜÇLÜ AL;79;orta (28);6,4;4/6;negatif;negatif;yok;;2
52;HALKB;GÜÇLÜ AL;79;düşük (10);15,4;4/6;notr;notr;notr;47,86;8
53;KLYPV;GÜÇLÜ AL;79;düşük (0);15,3;4/6;notr;yok;yok;;0
54;KERVN;GÜÇLÜ AL;78;orta (22);16,8;3/6;yok;negatif;yok;;0
55;MIATK;GÜÇLÜ AL;77;düşük (18);22,5;5/6;negatif;notr;yok;;0
56;AKFGY;GÜÇLÜ AL;77;düşük (0);9,2;6/6;pozitif;negatif;yok;;0
57;TURGG;GÜÇLÜ AL;77;orta (22);9,5;4/6;pozitif;yok;yok;;0
58;GMTAS;AL;94;düşük (0);6,9;4/6;negatif;notr;yok;;0
59;ETILR;AL;92;düşük (0);6,6;5/6;negatif;notr;yok;;1
60;GSDDE;AL;90;düşük (0);13,4;5/6;pozitif;yok;yok;;0
61;CEOEM;AL;89;orta (28);3,1;5/6;pozitif;pozitif;yok;;0
62;EGGUB;AL;87;düşük (0);3,1;4/6;pozitif;pozitif;yok;;0
63;TDGYO;AL;84;düşük (10);6,3;5/6;pozitif;pozitif;yok;;0
64;BAGFS;AL;82;düşük (0);3,7;5/6;pozitif;yok;yok;;0
65;AKSGY;AL;81;düşük (20);3,4;3/6;pozitif;notr;pozitif;13,68;0
66;DNISI;AL;76;düşük (10);13,2;5/6;pozitif;pozitif;yok;;0
67;EKGYO;AL;75;düşük (0);9,2;5/6;negatif;notr;pozitif;33,43;2
68;GOZDE;AL;75;düşük (0);19,1;4/6;notr;notr;yok;;0
69;ISCTR;AL;75;düşük (0);12,3;5/6;pozitif;negatif;pozitif;21,58;9
70;VESTL;AL;74;düşük (0);15,9;4/6;negatif;notr;notr;33,17;3
71;ARASE;AL;74;düşük (0);7,8;1/6;pozitif;notr;notr;214,70;0
72;OZRDN;AL;74;düşük (8);21,8;5/6;negatif;notr;yok;;0
73;BUCIM;AL;74;düşük (8);5,0;5/6;negatif;yok;yok;;0
74;IHLAS;AL;74;orta (28);14,2;6/6;negatif;notr;yok;;0
75;OZSUB;AL;73;düşük (10);14,4;1/6;notr;notr;yok;;0
76;ADGYO;AL;73;düşük (6);11,1;4/6;negatif;negatif;yok;;0
77;TRALT;AL;72;düşük (10);10,0;2/6;pozitif;notr;notr;57,09;9
78;MANAS;AL;71;düşük (0);17,8;2/6;negatif;negatif;yok;;1
79;TRMET;AL;71;düşük (0);10,0;0/6;pozitif;notr;notr;168,00;0
80;BRSAN;AL;71;düşük (6);11,3;2/6;notr;pozitif;pozitif;803,18;0
81;AVOD;AL;71;düşük (0);19,1;4/6;negatif;negatif;yok;;0
82;IHEVA;AL;70;düşük (0);10,5;5/6;pozitif;yok;yok;;0
83;TARKM;AL;70;düşük (0);12,1;2/6;yok;negatif;yok;;0
84;ARTMS;AL;70;düşük (0);14,3;4/6;pozitif;negatif;yok;;0
85;METRO;AL;70;düşük (0);10,8;3/6;pozitif;negatif;yok;;0
86;PNSUT;AL;70;düşük (0);11,6;3/6;negatif;notr;yok;;0
87;TRENJ;AL;69;düşük (16);6,7;1/6;pozitif;pozitif;notr;218,70;0
88;DSTKF;AL;69;düşük (0);52,0;5/6;notr;pozitif;yok;;0
89;AGESA;AL;69;düşük (6);7,6;1/6;pozitif;pozitif;pozitif;352,13;2
90;ATATP;AL;67;orta (22);30,7;2/6;pozitif;pozitif;notr;472,00;0
91;ECOGR;AL;67;düşük (0);20,9;5/6;notr;notr;yok;;0
92;GARAN;AL;67;orta (22);8,4;3/6;pozitif;notr;pozitif;179,60;4
93;AHSGY;AL;66;düşük (0);23,5;6/6;pozitif;notr;yok;;0
94;ORGE;AL;65;orta (22);15,6;2/6;pozitif;notr;pozitif;112,00;3
95;TTKOM;AL;65;düşük (0);11,8;5/6;pozitif;notr;pozitif;88,99;10
96;AEFES;AL;64;düşük (0);14,3;5/6;pozitif;notr;pozitif;27,20;1
97;AKBNK;AL;64;düşük (0);14,4;2/6;pozitif;notr;pozitif;107,00;2
98;DOHOL;AL;63;düşük (6);5,2;3/6;pozitif;notr;pozitif;32,43;2
99;POLHO;AL;63;düşük (10);6,9;1/6;notr;negatif;yok;;0
100;PETUN;AL;62;düşük (0);9,0;3/6;pozitif;notr;yok;;1
101;IHGZT;AL;62;düşük (12);18,3;6/6;pozitif;negatif;yok;;0
102;BINBN;AL;61;düşük (0);10,5;5/6;negatif;notr;yok;;0
103;ENKAI;AL;61;düşük (8);6,8;5/6;pozitif;pozitif;pozitif;129,88;0
104;SISE;AL;61;düşük (0);10,9;5/6;pozitif;notr;pozitif;63,50;1
105;IHYAY;AL;60;orta (22);43,4;6/6;negatif;notr;yok;;0
106;BAHKM;İZLE;97;yüksek (46);6,9;6/6;negatif;notr;yok;;0
107;EPLAS;İZLE;93;yüksek (60);0,0;6/6;notr;pozitif;yok;;0
108;AYGAZ;İZLE;93;yüksek (56);3,4;4/6;pozitif;pozitif;pozitif;337,67;1
109;IEYHO;İZLE;92;yüksek (43);0,2;5/6;negatif;notr;yok;;0
110;TUPRS;İZLE;86;yüksek (50);1,7;5/6;pozitif;pozitif;pozitif;366,18;12
111;OZATD;İZLE;85;yüksek (56);4,6;3/6;negatif;negatif;yok;;0
112;BOBET;İZLE;84;orta (32);14,7;4/6;negatif;pozitif;yok;;0
113;ENJSA;İZLE;82;orta (32);4,6;3/6;pozitif;notr;notr;158,36;0
114;TRHOL;İZLE;82;yüksek (43);0,0;4/6;pozitif;notr;yok;;1
115;TNZTP;İZLE;81;yüksek (48);2,3;3/6;pozitif;notr;notr;44,00;0
116;SANKO;İZLE;77;orta (32);13,5;6/6;notr;notr;yok;;0
117;RALYH;İZLE;76;orta (38);6,5;1/6;notr;negatif;yok;;0
118;KUVVA;İZLE;76;orta (38);11,8;1/6;negatif;notr;yok;;0
119;KGYO;İZLE;68;düşük (16);22,9;1/6;negatif;notr;yok;;0
120;AYDEM;İZLE;68;orta (40);12,0;3/6;pozitif;pozitif;pozitif;42,43;0
121;ZRGYO;İZLE;66;orta (40);6,5;5/6;pozitif;notr;yok;;0
122;SAHOL;İZLE;65;orta (40);7,8;3/6;pozitif;notr;pozitif;157,19;0
123;CEMZY;İZLE;63;düşük (0);30,9;0/6;negatif;negatif;yok;;0
124;IHLGM;İZLE;60;düşük (0);26,6;6/6;pozitif;notr;yok;;0
125;BORSK;İZLE;59;düşük (0);13,7;2/6;notr;notr;yok;;1
126;MRSHL;İZLE;59;düşük (0);57,4;5/6;negatif;notr;yok;;0
127;DZGYO;İZLE;57;düşük (0);16,6;5/6;pozitif;notr;yok;;0
128;LOGO;İZLE;57;düşük (10);5,7;4/6;pozitif;pozitif;pozitif;236,00;1
129;YKBNK;İZLE;56;orta (22);20,6;2/6;pozitif;notr;pozitif;52,27;3
130;ATSYH;İZLE;56;orta (32);15,4;0/6;negatif;notr;yok;;0
131;VBTYZ;İZLE;56;orta (40);18,1;0/6;notr;notr;yok;;1
132;NTGAZ;İZLE;55;yüksek (46);7,5;2/6;pozitif;notr;yok;;1
133;ANGEN;İZLE;55;düşük (0);25,2;5/6;negatif;pozitif;yok;;0
134;YGGYO;İZLE;55;düşük (0);21,9;2/6;pozitif;notr;yok;;0
135;ISBTR;İZLE;55;orta (32);30,6;0/6;notr;negatif;pozitif;;9
136;EYGYO;İZLE;55;düşük (0);9,4;4/6;negatif;pozitif;yok;;0
137;BIZIM;İZLE;54;düşük (16);20,4;4/6;yok;notr;notr;36,00;0
138;DIRIT;İZLE;54;düşük (0);16,6;0/6;negatif;notr;yok;;0
139;MEPET;İZLE;54;düşük (0);21,9;4/6;pozitif;notr;yok;;0
140;ZOREN;İZLE;54;düşük (0);29,5;5/6;negatif;notr;notr;3,58;0
141;GRTHO;İZLE;54;düşük (0);12,6;6/6;pozitif;notr;notr;178,00;0
142;TOASO;İZLE;54;düşük (0);26,0;5/6;notr;pozitif;pozitif;456,00;1
143;CANTE;İZLE;53;düşük (8);14,4;3/6;notr;notr;yok;;0
144;ALCAR;İZLE;53;düşük (0);28,9;6/6;negatif;negatif;yok;;0
145;MAALT;İZLE;53;orta (40);29,5;6/6;negatif;notr;yok;;0
146;ASELS;İZLE;53;düşük (0);10,8;0/6;pozitif;pozitif;pozitif;462,91;6
147;ATLAS;İZLE;53;düşük (0);25,4;5/6;notr;negatif;yok;;0
148;ISMEN;İZLE;52;düşük (8);7,8;4/6;negatif;notr;yok;;5
149;FMIZP;İZLE;52;orta (32);11,8;3/6;pozitif;pozitif;yok;;0
150;FROTO;İZLE;51;orta (32);11,9;5/6;notr;negatif;pozitif;145,00;2
