sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;DEVA;GÜÇLÜ AL;98;orta (28);4,9;6/6;notr;pozitif;yok;;0
2;TRCAS;GÜÇLÜ AL;98;düşük (8);2,4;5/6;pozitif;negatif;yok;;0
3;FLAP;GÜÇLÜ AL;97;düşük (18);5,9;5/6;notr;notr;yok;;0
4;CELHA;GÜÇLÜ AL;97;düşük (20);2,1;6/6;negatif;notr;yok;;0
5;HURGZ;GÜÇLÜ AL;94;düşük (10);4,7;6/6;negatif;negatif;yok;;0
6;KARSN;GÜÇLÜ AL;94;orta (28);17,9;4/6;notr;notr;notr;18,53;0
7;AHGAZ;GÜÇLÜ AL;94;orta (36);1,1;6/6;pozitif;notr;notr;65,00;2
8;VAKBN;GÜÇLÜ AL;93;düşük (6);6,5;5/6;pozitif;notr;pozitif;45,47;2
9;ENERY;GÜÇLÜ AL;93;orta (35);0,2;6/6;pozitif;notr;notr;20,00;2
10;EUKYO;GÜÇLÜ AL;92;düşük (10);2,8;6/6;negatif;pozitif;yok;;0
11;ALKLC;GÜÇLÜ AL;92;orta (35);1,4;6/6;negatif;notr;yok;;0
12;BJKAS;GÜÇLÜ AL;92;düşük (10);18,5;6/6;negatif;notr;yok;;1
13;SASA;GÜÇLÜ AL;91;orta (28);0,7;6/6;negatif;notr;yok;;1
14;EGEEN;GÜÇLÜ AL;91;orta (28);1,6;5/6;negatif;notr;yok;;0
15;KRGYO;GÜÇLÜ AL;91;orta (34);2,4;6/6;negatif;negatif;yok;;0
16;KONYA;GÜÇLÜ AL;91;düşük (20);3,0;6/6;pozitif;yok;yok;;0
17;AVPGY;GÜÇLÜ AL;91;düşük (0);6,8;6/6;pozitif;notr;pozitif;95,17;0
18;KLSYN;GÜÇLÜ AL;91;düşük (10);3,9;6/6;negatif;negatif;yok;;1
19;BIMAS;GÜÇLÜ AL;90;düşük (10);1,8;5/6;notr;pozitif;pozitif;503,80;2
20;KCHOL;GÜÇLÜ AL;90;düşük (20);3,1;6/6;pozitif;pozitif;pozitif;325,61;3
21;TERA;GÜÇLÜ AL;89;orta (35);0,5;5/6;notr;pozitif;yok;;10
22;SKYMD;GÜÇLÜ AL;89;düşük (10);5,6;5/6;negatif;negatif;yok;;2
