hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
SONME;AL;;68,4;26,3;22,5;19,7;0;0;zayif;34,9;54,5;31,3;yukari;guclu;yukselis;yukari;0,96;0,60;2;139,4;-0,43;6236895;126,44;SAT;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;5;11.09.2026
VESTL;AL;;67,8;20,0;29,2;18,6;0;0;zayif;33,2;60,7;74,9;yukari;guclu;yukselis;yukari;0,50;1,17;1;25,86;-0,39;187080369;22,39;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;11.09.2026
INVES;izle;;67,2;21,2;24,8;21,2;0;0;guclu trend;20,6;52,1;35,1;asagi;guclu;yukselis;yukari;0,27;1,21;2;781;0,77;18747905;846,10;SAT;POZITIF;SAT;NEGATIF;AZALIYOR;SAT;AL;PAHALI (SAT);2;11.09.2026
OZYSR;izle;;66,0;22,2;19,5;24,2;0;0;zayif;20,8;49,9;47,3;yukari;zayif;zayif;yukari;0,97;-0,07;2;12,45;3,84;33489155;11,14;AL;NEGATIF;SAT;NEGATIF;AZALIYOR;AL;SAT;NOTR;2;11.09.2026
ARTMS;AL;;65,7;22,0;23,5;20,2;0;0;zayif;21,3;53,5;58,3;yukari;zayif;yukselis;yukari;0,50;0,39;0;41,22;-0,53;22556862;37,04;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;11.09.2026
ECOGR;AL;EVET;65,5;22,5;24,6;18,3;0;0;ilimli;15,9;59,8;70,2;yukari;zayif;yukselis;yukari;0,77;0,81;2;37,7;3,91;202858460;32,03;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;11.09.2026
JANTS;izle;;65,3;15,0;28,5;21,7;52;4;zayif;40,6;60,2;37,8;yukari;guclu;yukselis;yukari;3,79;1,17;1;16,67;-4,52;380001018;15,25;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
AKFIS;AL;;65,0;28,8;17,9;18,3;0;0;ilimli;17,7;47,2;48,8;yukari;zayif;yukselis;yukari;0,50;0,56;2;16,48;-5,99;170183670;16,36;SAT;NEGATIF;NOTR;NEGATIF;ARTIYOR;SAT;SAT;PAHALI (SAT);0;11.09.2026
AEFES;AL;EVET;64,6;23,5;20,2;20,8;0;0;ilimli;24,6;55,6;62,0;yukari;zayif;zayif;yukari;0,75;0,11;1;19,74;0,82;716175234;18,25;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;11.09.2026
PRZMA;AL;;64,2;32,4;19,4;12,4;22;2;guclu trend;23,3;49,4;49,0;yukari;guclu;yukselis;yukari;0,17;0,67;2;77;-4,17;52024742;67,71;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;PAHALI (SAT);1;11.09.2026
HATSN;izle;;63,7;27,0;20,7;16,0;6;0;guclu trend;29,9;49,3;55,1;asagi;guclu;yukselis;yukari;0,45;0,39;3;64,15;-5,38;273181300;78,27;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;11.09.2026
MZHLD;AL;EVET;63,6;10,8;27,6;25,2;6;0;zayif;19,2;63,6;55,4;yukari;guclu;yukselis;asagi;4,45;1,27;3;5,7;9,83;10424251;5,18;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;11.09.2026
SAYAS;izle;;63,2;29,2;15,8;18,2;0;0;guclu trend;20,8;45,7;42,2;yukari;zayif;yukselis;yukari;0,74;-0,15;0;53,8;0,47;104602372;51,71;SAT;NEGATIF;SAT;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;11.09.2026
ANELE;izle;;63,1;22,4;24,7;16,0;0;0;guclu trend;34,5;53,2;68,1;asagi;guclu;yukselis;yukari;0,02;2,04;0;177,7;-9,98;24014023;221,63;SAT;POZITIF;SAT;NEGATIF;ARTIYOR;SAT;SAT;PAHALI (SAT);1;11.09.2026
POLHO;AL;;62,6;30,1;17,3;15,3;10;1;guclu trend;27,4;47,8;33,0;yukari;zayif;zayif;yukari;0,52;0,26;1;22,12;-0,09;21791341;21,29;SAT;NEGATIF;SAT;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;11.09.2026
IHLAS;AL;EVET;62,3;15,0;29,3;18,0;0;0;zayif;31,9;65,2;55,9;yukari;guclu;yukselis;asagi;2,48;1,22;2;1,16;9,43;256132140;0,99;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;UCUZ (AL);6;11.09.2026
YKBNK;AL;;62,1;25,2;21,1;15,8;22;2;ilimli;14,4;55,0;55,2;yukari;guclu;yukselis;yukari;0,83;0,70;2;36,7;1,38;7087111237;34,06;SAT;POZITIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;11.09.2026
ATATP;AL;;62,1;35,0;19,1;8,0;22;2;guclu trend;40,2;46,3;27,1;yukari;guclu;yukselis;yukari;0,45;0,43;2;277,75;-3,39;162063514;267,66;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;11.09.2026
ANHYT;izle;;62,0;10,8;25,0;26,2;0;0;ilimli;13,4;58,7;63,7;asagi;guclu;yukselis;yukari;1,02;0,85;2;109,1;1,68;74365942;112,43;AL;POZITIF;NOTR;POZITIF;AZALIYOR;AL;AL;NOTR;5;11.09.2026
ALTNY;AL;;60,8;28,2;20,1;12,6;0;0;ilimli;15,4;51,4;48,5;yukari;guclu;yukselis;yukari;0,67;0,51;1;17,49;-2,07;370674892;16,42;SAT;POZITIF;NOTR;NEGATIF;AZALIYOR;AL;AL;NOTR;3;11.09.2026
ETYAT;izle;;60,8;29,7;13,1;18,1;46;4;guclu trend;24,3;43,2;38,3;yukari;zayif;zayif;yukari;1,09;0,15;3;14,4;-0,69;14234688;13,55;SAT;NEGATIF;SAT;NEGATIF;ARTIYOR;SAT;SAT;NOTR;0;11.09.2026
RGYAS;izle;;60,7;20,9;16,8;23,0;40;4;zayif;18,8;46,9;51,6;asagi;zayif;zayif;yukari;0,58;-0,04;1;201,3;0,40;287529472;214,80;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;AL;NOTR;1;11.09.2026
KRDMA;izle;;60,2;27,0;21,2;11,9;20;1;guclu trend;41,5;47,2;63,5;asagi;guclu;yukselis;yukari;0,94;0,62;4;51,5;-6,96;669709039;65,05;SAT;NEGATIF;AL;NEGATIF;ARTIYOR;SAT;SAT;NOTR;1;11.09.2026
MTRKS;AL;;60,1;30,4;19,1;10,6;6;0;ilimli;18,1;49,2;49,1;yukari;guclu;yukselis;yukari;0,64;0,48;3;31,58;-0,06;32328572;31,00;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;11.09.2026
CEMZY;izle;;59,6;30,0;13,6;16,0;6;0;guclu trend;27,0;44,7;8,2;yukari;zayif;zayif;yukari;0,34;-0,16;3;14,2;-2,14;317794765;13,41;SAT;NEGATIF;SAT;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;11.09.2026
TTRAK;izle;;59,2;17,4;24,6;17,1;6;0;zayif;23,4;56,3;42,8;yukari;guclu;yukselis;asagi;0,76;0,67;3;436;-0,85;33323044;409,40;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;UCUZ (AL);6;11.09.2026
TSPOR;izle;;58,7;16,4;20,2;22,0;10;1;zayif;30,9;48,8;55,6;asagi;guclu;yukselis;yukari;1,02;0,31;2;1,04;1,96;433576083;1,15;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;AL;NOTR;2;11.09.2026
TGSAS;izle;;58,3;20,8;21,5;16,0;0;0;ilimli;18,2;49,6;69,8;asagi;guclu;yukselis;yukari;0,66;0,54;1;212,8;0,09;129327498;268,75;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;11.09.2026
RUZYE;izle;;58,3;11,4;26,3;20,6;6;0;zayif;20,9;56,5;52,5;yukari;guclu;yukselis;asagi;1,16;0,44;3;9,46;-4,35;83294572;8,13;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
BOSSA;izle;;57,7;15,9;21,3;20,4;0;0;zayif;13,8;50,2;35,9;yukari;zayif;zayif;yukari;0,64;0,04;2;6,54;-0,91;8728506;6,19;AL;POZITIF;NOTR;NEGATIF;AZALIYOR;AL;AL;NOTR;4;11.09.2026
OYAKC;izle;;57,6;10,2;22,9;24,4;6;0;zayif;18,2;55,2;70,6;asagi;guclu;yukselis;yukari;0,40;0,97;3;22,32;0,72;178310128;23,43;SAT;POZITIF;NOTR;NEGATIF;AZALIYOR;AL;SAT;NOTR;2;11.09.2026
NTGAZ;izle;;57,3;20,1;21,9;15,2;40;3;zayif;24,6;51,6;64,6;yukari;zayif;zayif;asagi;0,61;-0,02;2;11,32;-1,48;26677550;10,47;AL;POZITIF;AL;NEGATIF;AZALIYOR;AL;AL;NOTR;5;11.09.2026
DENGE;izle;;57,1;19,8;24,2;13,1;22;2;zayif;29,4;53,2;74,2;yukari;guclu;yukselis;yukari;0,60;0,48;2;2,44;-2,79;35161383;2,22;AL;POZITIF;AL;NEGATIF;AZALIYOR;AL;SAT;UCUZ (AL);4;11.09.2026
DZGYO;izle;;57,1;14,0;22,4;20,7;0;0;zayif;25,0;54,1;72,0;yukari;zayif;zayif;asagi;1,39;0,22;1;7,6;-3,68;24964472;6,97;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;11.09.2026
OZRDN;izle;;57,0;24,1;20,4;12,5;0;0;zayif;20,0;50,4;59,5;yukari;zayif;zayif;yukari;0,53;-0,12;0;29,46;-1,47;4154037;25,56;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;11.09.2026
YIGIT;izle;;56,9;11,7;23,6;21,6;8;0;zayif;21,4;55,1;72,8;yukari;zayif;yukselis;asagi;1,44;0,27;1;22,26;1,74;119168732;20,59;AL;POZITIF;AL;NEGATIF;ARTIYOR;AL;SAT;NOTR;4;11.09.2026
NUHCM;izle;;56,3;10,7;23,2;22,4;0;0;zayif;19,0;56,9;44,7;yukari;zayif;zayif;asagi;1,17;0,44;1;222,2;1,18;18040640;204,30;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;11.09.2026
EREGL;izle;;56,3;14,6;20,8;20,9;0;0;ilimli;16,2;53,3;53,3;asagi;zayif;zayif;yukari;0,76;0,27;0;39,4;1,08;4795768552;40,26;AL;POZITIF;NOTR;POZITIF;AZALIYOR;AL;SAT;NOTR;4;11.09.2026
IZMDC;izle;;56,0;22,4;11,6;22,0;32;2;guclu trend;30,6;43,7;32,8;asagi;zayif;zayif;yukari;1,51;-0,66;4;10,82;9,96;191461642;12,29;SAT;NEGATIF;SAT;NEGATIF;ARTIYOR;SAT;AL;NOTR;1;11.09.2026
CRFSA;izle;;55,7;27,0;20,7;8,0;50;4;guclu trend;49,1;46,7;47,2;asagi;guclu;yukselis;yukari;0,58;0,61;4;248,5;-5,33;463765113;326,40;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;11.09.2026
FROTO;izle;;55,5;13,4;25,5;16,6;32;3;zayif;25,8;59,7;54,7;yukari;guclu;yukselis;asagi;0,89;0,73;1;82,85;1,16;1517853259;76,70;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;11.09.2026
YGGYO;izle;;55,3;21,1;16,8;17,4;0;0;zayif;12,8;49,1;49,9;yukari;zayif;zayif;yukari;0,62;-0,16;2;223,8;-0,53;19341020;215,58;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;AL;AL;NOTR;2;11.09.2026
