hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
CELHA;GUCLU AL;;99,3;35,0;29,3;35,0;28;0;guclu trend;30,8;73,4;69,5;yukari;guclu;yukselis;yukari;2,09;3,63;1;29,5;3,87;147148124;24,80;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;15.09.2026
AHGAZ;GUCLU AL;;98,9;35,0;28,9;35,0;36;0;guclu trend;36,3;74,2;87,6;yukari;guclu;yukselis;yukari;1,61;4,31;0;41,1;0,78;395950208;37,30;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;15.09.2026
ISDMR;GUCLU AL;;98,6;34,3;30,0;34,3;18;0;guclu trend;28,3;69,1;76,0;yukari;guclu;yukselis;yukari;1,86;2,24;0;61;1,67;210257545;54,38;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;15.09.2026
FLAP;GUCLU AL;;97,7;35,0;30,0;32,7;0;0;guclu trend;41,3;69,9;73,3;yukari;guclu;yukselis;yukari;1,33;2,06;0;12,92;-1,82;23140973;10,92;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;15.09.2026
BMSTL;AL;EVET;94,6;30,2;30,0;34,5;20;1;ilimli;17,6;68,6;68,9;yukari;guclu;yukselis;yukari;4,25;2,84;1;49,86;9,97;634459276;42,10;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;15.09.2026
SKYMD;GUCLU AL;;94,2;35,0;30,0;29,2;10;1;guclu trend;31,9;60,6;77,7;yukari;guclu;yukselis;yukari;1,03;1,90;2;16,96;-0,24;60548760;14,07;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;15.09.2026
EUKYO;GUCLU AL;;93,8;35,0;30,0;28,8;10;0;guclu trend;46,8;64,8;53,4;yukari;guclu;yukselis;yukari;0,94;2,31;0;14,3;-0,69;14199457;12,51;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;PAHALI (SAT);6;15.09.2026
TKFEN;GUCLU AL;;93,5;34,1;26,0;33,3;20;0;guclu trend;27,8;64,4;60,4;yukari;guclu;yukselis;yukari;2,07;3,05;1;230;6,33;2582124900;197,64;SAT;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;5;15.09.2026
TDGYO;GUCLU AL;EVET;93,2;30,0;28,2;35,0;28;0;zayif;31,7;75,6;88,0;yukari;guclu;yukselis;yukari;2,36;3,21;0;20,48;9,99;68586619;16,24;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;UCUZ (AL);5;15.09.2026
TRCAS;GUCLU AL;;92,9;33,1;30,0;29,9;8;0;guclu trend;25,0;58,4;72,0;yukari;guclu;yukselis;yukari;1,00;1,64;1;49,08;-0,85;51472306;45,06;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;15.09.2026
IEYHO;izle;;92,0;35,0;22,0;35,0;55;0;guclu trend;90,6;95,8;100,0;yukari;guclu;yukselis;yukari;7,09;11,41;0;230;0,22;3419645520;220,62;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;AL;PAHALI (SAT);5;15.09.2026
BIMAS;GUCLU AL;;91,8;34,9;29,6;27,2;0;0;guclu trend;29,9;53,1;47,8;yukari;guclu;yukselis;yukari;0,90;1,34;1;415,75;-3,26;3380675698;402,48;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;15.09.2026
ENERY;GUCLU AL;;91,8;35,0;23,5;33,3;35;0;guclu trend;49,6;85,0;95,2;yukari;guclu;yukselis;yukari;1,20;6,70;0;12,7;2,42;770990495;11,31;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;15.09.2026
PATEK;GUCLU AL;;90,1;27,2;30,0;32,8;10;0;zayif;22,9;64,1;49,7;yukari;guclu;yukselis;yukari;2,71;2,29;1;25,16;9,97;2075873931;19,78;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;15.09.2026
KLSYN;GUCLU AL;;89,5;35,0;23,3;31,2;0;0;guclu trend;30,8;50,6;76,3;yukari;guclu;yukselis;yukari;1,82;0,85;1;15,69;-6,72;98984931;14,59;SAT;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;3;15.09.2026
BAHKM;GUCLU AL;EVET;89,2;35,0;30,0;24,2;18;1;guclu trend;45,5;59,8;75,5;yukari;guclu;yukselis;yukari;1,06;2,08;2;170,1;-10,00;344709181;146,75;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;15.09.2026
KZGYO;GUCLU AL;;88,9;30,0;30,0;28,9;20;0;zayif;42,1;67,6;75,5;yukari;guclu;yukselis;yukari;1,99;3,11;1;27,76;-9,99;262942082;25,85;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;15.09.2026
KRGYO;GUCLU AL;;88,3;35,0;28,3;25,0;28;0;guclu trend;47,5;75,5;69,6;yukari;guclu;yukselis;yukari;0,62;4,23;2;3,68;-0,27;53508764;3,16;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;15.09.2026
HUNER;GUCLU AL;;88,0;32,5;23,4;32,1;28;2;guclu trend;23,6;54,5;70,9;yukari;guclu;yukselis;yukari;1,22;0,84;3;3,93;0,00;274291611;3,50;SAT;POZITIF;AL;NEGATIF;ARTIYOR;AL;SAT;NOTR;3;15.09.2026
TERA;GUCLU AL;;87,9;30,0;22,9;35,0;35;0;zayif;34,5;86,1;100,0;yukari;guclu;yukselis;yukari;1,51;5,37;0;224;3,80;5582497984;200,24;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;15.09.2026
CEOEM;GUCLU AL;EVET;87,7;26,3;26,4;35,0;35;0;zayif;20,4;79,2;85,0;yukari;guclu;yukselis;yukari;4,21;4,79;1;31,8;6,78;284410487;26,51;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;15.09.2026
DEVA;GUCLU AL;;87,1;35,0;30,0;22,1;18;0;guclu trend;49,1;59,7;69,8;yukari;guclu;yukselis;yukari;0,79;2,74;2;97,2;-6,72;86856365;91,73;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;15.09.2026
AVPGY;GUCLU AL;;87,0;25,6;29,3;32,0;0;0;zayif;28,9;60,3;58,7;yukari;guclu;yukselis;yukari;1,32;1,21;0;56,8;-2,41;54215827;51,57;AL;POZITIF;AL;NEGATIF;ARTIYOR;AL;AL;NOTR;5;15.09.2026
TEHOL;GUCLU AL;;86,9;35,0;30,0;21,9;10;1;guclu trend;35,9;58,3;86,1;yukari;guclu;yukselis;yukari;0,40;1,96;1;47,82;-1,03;1293177371;41,63;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;15.09.2026
TNZTP;izle;;86,5;30,1;30,0;26,4;48;3;ilimli;17,4;63,8;53,5;yukari;guclu;yukselis;yukari;0,80;2,39;3;31,7;-0,25;113753453;28,16;AL;POZITIF;NOTR;NEGATIF;AZALIYOR;AL;AL;NOTR;4;15.09.2026
SASA;GUCLU AL;;86,4;24,3;30,0;32,1;0;0;zayif;23,9;63,5;61,9;yukari;guclu;yukselis;yukari;1,72;1,90;2;2,8;-4,76;20071109290;2,45;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;15.09.2026
PETKM;GUCLU AL;;85,3;34,4;29,7;21,2;6;0;guclu trend;28,6;55,7;51,8;yukari;guclu;yukselis;yukari;0,86;1,35;3;22,68;-4,14;1968066957;21,89;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;15.09.2026
EGEEN;GUCLU AL;;85,1;23,3;30,0;31,8;22;0;zayif;28,3;66,2;81,8;yukari;guclu;yukselis;yukari;2,67;2,81;1;6260;-4,02;413316500;5541,03;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;15.09.2026
