hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
BAHKM;GUCLU AL;;98,8;35,0;30,0;33,8;28;1;guclu trend;44,9;65,8;79,7;yukari;guclu;yukselis;yukari;1,81;2,70;2;167;8,30;499551442;138,64;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;10.09.2026
SKYMD;GUCLU AL;;98,4;33,4;30,0;35,0;20;1;guclu trend;25,9;67,5;79,8;yukari;guclu;yukselis;yukari;1,91;2,81;1;17,65;7,49;113601772;14,00;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;10.09.2026
BORSK;GUCLU AL;;97,5;35,0;29,4;33,1;0;0;guclu trend;37,5;59,8;66,0;yukari;guclu;yukselis;yukari;1,30;1,25;1;6,66;0,15;97828460;5,97;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;10.09.2026
DEVA;GUCLU AL;;97,2;35,0;27,2;35,0;36;0;guclu trend;46,6;77,7;84,6;yukari;guclu;yukselis;yukari;2,44;5,71;2;105,1;9,99;294583739;86,87;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
KRPLS;GUCLU AL;;96,8;35,0;26,8;35,0;35;0;guclu trend;48,1;78,4;75,1;yukari;guclu;yukselis;yukari;2,08;4,71;1;13,75;10,00;161845076;10,79;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
ENERY;GUCLU AL;;95,9;35,0;27,0;33,9;36;0;guclu trend;41,7;78,0;91,8;yukari;guclu;yukselis;yukari;1,23;4,63;0;11,47;3,43;635850519;10,08;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
PETKM;GUCLU AL;;95,7;32,7;30,0;33,0;40;0;guclu trend;24,0;71,2;59,9;yukari;guclu;yukselis;yukari;2,55;3,71;2;24,98;-3,55;6242964105;21,89;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
ALBRK;izle;;95,4;35,0;30,0;30,4;42;3;guclu trend;34,1;66,6;69,3;yukari;guclu;yukselis;yukari;1,02;2,26;2;9,21;0,00;138180890;8,39;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
AYGAZ;izle;;94,9;35,0;26,0;33,9;56;4;guclu trend;43,3;59,1;71,7;yukari;guclu;yukselis;yukari;2,00;2,61;3;328,75;-0,75;923712216;299,67;SAT;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;5;10.09.2026
SOKM;AL;;94,4;30,4;30,0;34,0;32;2;ilimli;18,2;68,5;67,2;yukari;guclu;yukselis;yukari;1,24;2,89;1;60,6;0,33;394752581;54,49;AL;POZITIF;NOTR;POZITIF;AZALIYOR;AL;AL;NOTR;5;10.09.2026
GENIL;GUCLU AL;;94,2;35,0;26,0;33,2;32;2;guclu trend;39,5;59,0;58,4;yukari;guclu;yukselis;yukari;1,97;2,07;4;11,94;-3,24;977330790;10,37;SAT;POZITIF;AL;NEGATIF;ARTIYOR;AL;AL;NOTR;4;10.09.2026
AKFYE;AL;;93,9;30,4;29,2;34,3;28;0;ilimli;18,2;73,6;79,7;yukari;guclu;yukselis;yukari;5,24;3,33;0;27,88;5,21;1501547658;23,70;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;10.09.2026
KLSYN;GUCLU AL;;93,7;34,8;26,0;32,9;10;0;guclu trend;29,6;63,5;78,8;yukari;guclu;yukselis;yukari;1,17;2,13;0;16,32;-0,67;65665805;14,19;SAT;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;5;10.09.2026
KRGYO;GUCLU AL;;93,7;30,0;28,7;35,0;34;0;zayif;42,8;74,7;77,8;yukari;guclu;yukselis;yukari;1,65;3,96;3;3,57;7,53;149366044;2,87;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
HUNER;GUCLU AL;EVET;93,6;32,6;26,0;35,0;28;2;guclu trend;23,9;61,1;63,2;yukari;guclu;yukselis;yukari;3,91;1,66;3;4,06;8,56;857750711;3,50;SAT;POZITIF;AL;POZITIF;ARTIYOR;SAT;AL;NOTR;4;10.09.2026
AHGAZ;GUCLU AL;;93,6;35,0;30,0;28,6;28;0;guclu trend;31,4;67,8;82,1;yukari;guclu;yukselis;yukari;0,91;3,31;0;39,24;2,13;196994218;35,70;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;10.09.2026
ETILR;AL;;92,6;29,2;29,9;33,4;0;0;ilimli;15,2;58,4;57,1;yukari;guclu;yukselis;yukari;2,62;1,47;2;6,5;8,15;131464801;5,10;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;10.09.2026
TUPRS;izle;;92,5;35,0;25,9;31,6;50;2;guclu trend;45,6;72,2;63,9;yukari;guclu;yukselis;yukari;1,09;5,00;1;416,75;0,60;14122210127;371,63;SAT;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;PAHALI (SAT);5;10.09.2026
BIMAS;GUCLU AL;;92,3;34,2;30,0;28,1;20;0;guclu trend;28,0;67,3;55,1;yukari;guclu;yukselis;yukari;0,88;3,01;1;430;0,58;3812392900;396,18;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;10.09.2026
KARSN;GUCLU AL;;92,0;35,0;22,0;35,0;35;0;guclu trend;40,3;90,1;97,1;yukari;guclu;yukselis;yukari;2,68;6,42;0;16,51;6,11;1965207638;13,02;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;10.09.2026
IEYHO;izle;;92,0;35,0;22,0;35,0;43;0;guclu trend;88,8;95,2;100,0;yukari;guclu;yukselis;yukari;1,44;12,00;0;225,5;1,67;380217805;213,52;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;PAHALI (SAT);4;10.09.2026
BOBET;izle;;91,7;35,0;30,0;26,7;42;3;guclu trend;45,2;64,8;79,9;yukari;guclu;yukselis;yukari;0,94;2,72;0;23,62;-4,99;207199388;20,54;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;10.09.2026
GUBRF;GUCLU AL;;91,6;35,0;30,0;26,6;10;1;guclu trend;31,4;62,2;69,3;yukari;guclu;yukselis;yukari;0,83;1,86;1;504,5;-1,46;1634676360;452,83;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
KLYPV;GUCLU AL;EVET;91,5;33,0;27,7;30,8;8;0;guclu trend;29,5;58,8;64,2;yukari;guclu;yukselis;yukari;1,46;1,13;2;63,75;3,74;265160093;59,40;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
MRGYO;GUCLU AL;;91,4;30,0;26,4;35,0;35;0;zayif;39,9;79,2;73,6;yukari;guclu;yukselis;yukari;2,18;4,44;1;1,95;9,55;671125086;1,53;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
MANAS;GUCLU AL;;91,0;30,3;30,0;30,7;0;0;guclu trend;28,9;57,6;69,4;yukari;guclu;yukselis;yukari;2,67;1,57;1;35,9;1,07;2794980140;33,87;AL;POZITIF;SAT;POZITIF;ARTIYOR;SAT;SAT;PAHALI (SAT);3;10.09.2026
ISDMR;GUCLU AL;;90,2;33,0;30,0;27,3;18;0;guclu trend;24,7;71,1;78,0;yukari;guclu;yukselis;yukari;0,92;2,45;0;60,55;1,51;100373917;53,30;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;10.09.2026
AVOD;GUCLU AL;;89,8;30,0;29,5;30,3;0;0;zayif;41,4;61,4;76,7;yukari;guclu;yukselis;yukari;1,66;1,30;2;4,46;3,48;90282281;3,92;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;10.09.2026
EGGUB;AL;;89,8;30,8;30,0;29,0;8;0;ilimli;19,2;62,1;77,5;yukari;guclu;yukselis;yukari;0,94;2,00;2;112;2,94;89770800;100,13;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;NOTR;5;10.09.2026
ALARK;GUCLU AL;;89,6;34,6;30,0;25,0;10;0;guclu trend;29,1;67,3;66,7;yukari;guclu;yukselis;yukari;0,48;2,57;1;116,6;0,26;325623340;105,15;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;10.09.2026
TEHOL;GUCLU AL;;89,6;35,0;30,0;24,6;20;1;guclu trend;42,6;61,8;87,8;yukari;guclu;yukselis;yukari;0,81;2,53;0;48,78;3,79;2609965656;40,68;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
MARTI;GUCLU AL;;88,8;30,0;23,8;35,0;35;0;zayif;47,5;84,4;89,3;yukari;guclu;yukselis;yukari;1,94;5,45;0;2,55;9,91;769224799;1,89;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;10.09.2026
INDES;GUCLU AL;;88,2;33,3;30,0;24,9;8;0;guclu trend;25,6;59,3;58,3;yukari;guclu;yukselis;yukari;0,56;1,64;2;11,83;-0,76;55339711;10,83;AL;POZITIF;AL;NEGATIF;AZALIYOR;AL;SAT;NOTR;4;10.09.2026
MHRGY;izle;;87,9;35,0;22,0;30,9;45;1;guclu trend;31,2;91,6;58,2;yukari;guclu;yukselis;yukari;1,23;7,55;1;2,25;0,00;28920681;1,84;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;10.09.2026
